julian_date,filter,flux,flux_unc,proc_status_code
2459076.986169,ZTF_g,-6.64232130701982,30.5661351150122,0
2459079.9502431,ZTF_r,2.69129649587695,41.4672761588605,0
2459079.9801852,ZTF_g,-76.7309406185115,24.8453466327984,0
2459080.9637731,ZTF_g,4.84961157771899,25.9494603800316,0
2459080.9996412,ZTF_r,-59.9038060900893,28.6415139702137,0
2459081.9448727,ZTF_r,-22.8267844849174,27.2312533628122,0
2459081.9893634,ZTF_g,21.3961557346819,23.1840537797469,0
2459082.9522338,ZTF_g,40.1069830531813,36.2798164398764,0
2459083.9779745,ZTF_r,-31.2359419181916,25.2318221176468,0
2459083.9898264,ZTF_g,24.7125912839129,21.0013815874735,0
2459084.9635648,ZTF_g,-29.7625291716041,29.8167414274526,0
2459085.9459259,ZTF_g,-26.3324102329653,25.9022393072203,0
2459085.9849653,ZTF_r,-13.5210926872706,22.3675456570897,0
2459086.9482639,ZTF_r,-24.411825262632,25.5927594481518,0
2459087.9490856,ZTF_r,-26.293789464841,32.5715177199048,0
2459087.9802431,ZTF_g,26.8257861949762,25.1570109163991,0
2459088.99375,ZTF_g,22.0550972213624,26.0999939833128,0
2459089.9712616,ZTF_r,7.76209920954204,46.3824080356054,0
2459090.9300694,ZTF_g,-16.1950486637889,27.4293734084564,0
2459090.9832176,ZTF_r,11.1719711884366,27.5914112662992,0
2459091.9547685,ZTF_g,26.5558516837168,24.1021038256257,0
2459091.9823495,ZTF_r,-36.4422707982887,22.3802301600195,0
2459092.9489931,ZTF_g,28.3322287294998,62.7694571044093,0
2459092.9728125,ZTF_g,47.0511664629546,55.3377838068177,0
2459093.939294,ZTF_g,34.8768115710287,93.0968051434661,0
2459093.9817824,ZTF_r,-39.1620063042422,61.7857854218348,0
2459094.9417361,ZTF_r,14.8470872393247,91.1479906562504,0
2459094.9426736,ZTF_r,57.5697422736793,85.0482498782222,0
2459094.9431366,ZTF_r,,,61
2459095.0008449,ZTF_g,,,61
2459095.0013194,ZTF_g,109.931125984868,79.8338458280607,0
2459095.0027199,ZTF_g,23.5940189852864,82.0204152157377,0
2459095.9659491,ZTF_r,3.50294332472484,66.928882314547,0
2459095.9925116,ZTF_g,120.688602772512,75.6799136384846,0
