# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 20:23:11
#
# Requested input R.A. = 86.25362916666666 degrees
# Requested input Dec. = -21.609161111111113 degrees
# Requested JD start = 2458221.771365741 days
# Requested JD end = 2458721.771365741 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 256 13 3 ZTF_r 622522025115 0 2.8362 434.119 10.0052 26.0935 3.1346e-06 0.0277467 0.0782106 6.28724e-06 1447 30. 0.043388 0.050031 19.5594 26.0935 1 2458377.0220255 256120251 -29.2352152703738 43.4817258710296 -0.747918582105323 1.12154354750204 50.3093030968698 72.6308701400557 0.697336257298067 1.04462368597561 0.726853974624245 17.3790000915527 0.0359999984502792 3.22000002861023 0.170000001788139 2458377.022025 2458442.897454 0
 1 256 13 3 ZTF_r 625522525115 0 2.551 441.806 9.31454 26.1119 2.4976e-06 0.0247835 0.073301 4.98502e-06 1452 30. 0.042754 0.050789 19.7027 26.1119 1 2458380.0225231 256120251 -13.3669118437642 41.0873423264666 -0.361891043200538 1.1507544864559 13.9037060664278 70.587757349856 0.198297110607414 1.04164941357934 0.726853974624245 17.3790000915527 0.0359999984502792 3.22000002861023 0.170000001788139 2458377.022025 2458442.897454 0
 2 256 13 3 ZTF_r 629521745115 0 2.2488 428.146 7.18796 26.061 2.5745e-06 0.0249265 0.0834825 5.13071e-06 1421 30. 0.058966 0.045557 20.0642 26.061 1 2458384.0217477 256120251 -112.022322839739 32.3422269207434 -3.85291523848266 0.958846531341714 -31.1598733875039 59.3106197569583 -0.528905903463753 1.03790619292369 0.726853974624245 17.3790000915527 0.0359999984502792 3.22000002861023 0.170000001788139 2458377.022025 2458442.897454 0
 3 256 13 3 ZTF_g 632521675115 0 3.3483 177.337 17.1251 26.1129 1.75473e-05 0.0437406 -0.0426642 5.55944e-05 788 30. 0.044628 0.066071 18.846 26.1129 1 2458387.0216782 256120151 17.1981331187868 92.4261695549215 0.206986086068221 1.006637339055 -21.7552936987558 138.055529307829 -0.158644981213829 1.06772740226461 0.773394542859977 18.3789999008179 0.0399999991059303 3.16000008583069 0.0839999988675117 2458387.021678 2458450.918229 0
 4 257 16 2 ZTF_g 632522146215 0 2.6825 144.63 15.713 26.0639 1.21882e-05 0.0409987 -0.0447023 3.64119e-05 947 30. 0.043016 0.059767 19.0823 26.0639 1 2458387.0221412 257120162 75.7672237695681 82.518854197154 1.02136973874961 0.932389949175257 22.3417282910084 132.571766606549 0.169660567194754 1.05017177017671 0.724816398396749 18.3329998970032 0.0370000004768372 3.37299990653992 0.025000000372529 2458387.022141 2458476.780926 0
 5 256 13 3 ZTF_r 635521415115 0 2.5696 437.357 11.6715 26.1023 3.8726e-06 0.0308335 0.0703093 7.74371e-06 1436 30. 0.042974 0.048902 19.5069 26.1023 1 2458390.021412 256120251 -37.5489074593536 46.395001948339 -0.900286854555167 1.17241071794927 -66.5344510983684 82.0092702129973 -0.816768205357761 1.03880814583111 0.726853974624245 17.3790000915527 0.0359999984502792 3.22000002861023 0.170000001788139 2458377.022025 2458442.897454 0
 6 257 16 2 ZTF_r 636521736215 0 2.2513 240.65 10.5347 26.0326 2.9137e-06 0.0270311 0.0856083 6.00643e-06 1495 30. 0.038108 0.046311 19.5781 26.0326 1 2458391.0217361 257120262 -444.489132519613 52.4902380694239 -9.41970724976461 1.10413207353024 -417.031123350647 95.0234081567317 -4.41827819170385 1.0407113305478 0.730324205660037 17.1919998168945 0.0509999990463257 3.22300004959106 0.212999999523163 2458439.881539 2458468.858461 0
 7 256 13 3 ZTF_g 668438475115 0 2.9128 173.825 8.19686 26.0707 8.4977e-06 0.0415748 -0.0256229 2.05746e-05 1238 30. 0.058237 0.060767 19.7383 26.0707 3 2458422.9384722 256120151 33.5736740622993 45.3155043757541 0.824151119374432 1.01661979283463 -9.6660806620611 68.3228726166212 -0.142429349041887 1.08958039674012 0.773394542859977 18.3789999008179 0.0399999991059303 3.16000008583069 0.0839999988675117 2458387.021678 2458450.918229 0
 8 256 13 3 ZTF_r 668501775115 0 2.7962 425.958 9.47551 26.0524 4.2497e-06 0.0321357 0.0905328 8.4072e-06 1429 30. 0.056428 0.057807 19.5606 26.0524 3 2458423.0017708 256120251 139.68604667728 48.2281427090337 3.22186463720816 0.967383819071434 114.467817418858 76.2743337830513 1.51084590371967 1.05468462884892 0.726853974624245 17.3790000915527 0.0359999984502792 3.22000002861023 0.170000001788139 2458377.022025 2458442.897454 0
