# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 20:57:39
#
# Requested input R.A. = 70.42017083333332 degrees
# Requested input Dec. = -23.623469444444446 degrees
# Requested JD start = 2458938.84596 days
# Requested JD end = 2459438.84596 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1296 2 2 ZTF_g 1338497630615 0 2.5385 154.855 5.46274 26.0627 1.24114e-05 0.033195 -0.0583737 1.90409e-05 569 30. 0.06568 0.082993 20.2375 26.0627 2 2459092.9976389 1296120106 -53.3067339546182 25.7370090204201 -2.30398050986749 1.05259957320032 -31.3859755450512 42.8424208462413 -0.737525127479075 1.04293588218951 1.41863343554564 18.0859996795654 0.0549999997019768 5.15799999237061 0.167999997735023 2458430.895938 2459169.850822 0
 1 1296 2 2 ZTF_g 1338498100615 0 2.7411 153.255 5.43718 26.0644 1.40242e-05 0.0349266 -0.0657218 2.205e-05 557 30. 0.064892 0.088364 20.1286 26.0644 3 2459092.9981019 1296120106 61.9613585005084 30.0221372130451 2.29580039703073 0.960729208217235 41.4485993755476 47.5994185840696 0.876644280925074 1.0484938123024 1.41863343554564 18.0859996795654 0.0549999997019768 5.15799999237061 0.167999997735023 2458430.895938 2459169.850822 0
 2 1296 2 2 ZTF_r 1342452140615 0 2.3027 624.979 15.2616 26.071 1.60233e-05 0.0377827 0.106724 2.37312e-05 591 30. 0.062212 0.075949 19.2535 26.071 2 2459096.9521412 1296120206 -45.5767871368104 66.0752325861906 -0.767290476063825 1.04959420925157 -164.274053830441 113.509171204534 -1.45697873818919 1.05017127571538 1.62476286664246 17.2760004043579 0.0750000029802322 6.58599996566772 0.587999999523163 2458442.897940 2459178.837396 0
 3 1296 2 2 ZTF_r 1342452600615 0 2.161 622.827 15.3007 26.0764 1.21063e-05 0.0330451 0.10623 1.80791e-05 591 30. 0.05584 0.075857 19.3372 26.0764 3 2459096.9526042 1296120206 -7.44925529180514 64.5258762248894 -0.128420320219212 0.970188667822242 -67.8325563699684 115.469108365217 -0.59140850316318 1.04350703893263 1.62476286664246 17.2760004043579 0.0750000029802322 6.58599996566772 0.587999999523163 2458442.897940 2459178.837396 0
 4 1296 2 2 ZTF_r 1370402810615 0 1.6987 652.008 18.8399 26.1015 1.53957e-05 0.0373874 0.107122 2.26028e-05 592 30. 0.055923 0.072471 19.2855 26.1015 2 2459124.9028125 1296120206 -53.8515422455803 73.9559236152995 -0.809990604635266 1.0034332794998 -332.717024449939 148.976190934049 -2.24839882569381 1.03298495249977 1.62476286664246 17.2760004043579 0.0750000029802322 6.58599996566772 0.587999999523163 2458442.897940 2459178.837396 0
 5 1296 2 2 ZTF_r 1370404690615 0 1.7275 652.946 18.8136 26.0896 1.13964e-05 0.0320867 0.112653 1.67289e-05 593 30. 0.055826 0.074085 19.259 26.0896 3 2459124.9046991 1296120206 -130.401296770942 71.2177852864486 -2.03679934840673 1.03178319318471 -251.351509092136 141.331510854 -1.79043140795941 1.03415755832816 1.62476286664246 17.2760004043579 0.0750000029802322 6.58599996566772 0.587999999523163 2458442.897940 2459178.837396 0
 6 254 9 2 ZTF_r 1370440123415 0 1.7221 331.495 18.8052 26.2594 9.4424e-06 0.0292577 0.106922 1.49973e-05 574 30. 0.053583 0.0729 19.3723 26.2594 1 2459124.9401273 254120234 190.096070965494 73.1271494340442 2.89167378091007 1.02192007920635 187.423539206408 146.438838533556 1.28849593055958 1.03468784755588 1.60466873855123 17.2870000839233 0.0740000009536743 6.92500019073486 0.370000004768372 2458370.001597 2458439.860498 0
 7 254 9 2 ZTF_g 1370495873415 0 2.42 171.501 19.5084 26.1972 2.36524e-05 0.0385024 -0.0507204 5.11736e-05 386 30. 0.056577 0.072073 19.0786 26.1972 1 2459124.9958796 254120134 112.390693134498 91.8073395992074 1.36178249779246 0.980663035682382 268.707983497704 161.705840507057 1.67290028843976 1.04854055673807 1.70542305983441 17.98600025177 0.0540000014007092 6.03800010681152 0.187000006437302 2458378.980069 2458434.894456 0
 8 254 9 2 ZTF_g 1372442173415 0 2.5229 164.756 17.9132 26.1458 2.77571e-05 0.0372 -0.0164064 5.97135e-05 316 30. 0.061065 0.074657 19.0478 26.1458 1 2459126.9421759 254120134 -142.075072271397 92.6269506367981 -1.70622114498781 1.0088163643313 -571.047871785779 150.558413601483 -3.81841106256038 1.06647544219712 1.70542305983441 17.98600025177 0.0540000014007092 6.03800010681152 0.187000006437302 2458378.980069 2458434.894456 0
