# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 21:35:30
#
# Requested input R.A. = 171.86610416666664 degrees
# Requested input Dec. = 23.997569444444444 degrees
# Requested JD start = 2458653.8135 days
# Requested JD end = 2459153.8135 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 623 3 1 ZTF_r 900175380915 0 1.7948 192.596 8.30979 26.0919 2.15241e-05 0.0278355 0.103023 3.03209e-05 227 30. 0.067295 0.067801 20.0681 26.0919 1 2458654.6753819 623120209 16.2657508114325 33.1181409170473 0.546339959416413 1.04606296260559 -169.376062768182 64.5234244040699 -2.64271188131803 1.04043224131987 4.74643871741126 17.0590003967285 0.068000003695488 5.43900012969971 0.497000008821487 2458155.837639 2458186.853333 0
 1 623 3 1 ZTF_g 900264060915 0 2.5704 64.1651 13.4054 25.9536 8.73814e-05 0.0446424 -0.0538971 0.000164853 128 30. 0.089934 0.087831 19.0844 25.9536 1 2458654.7640625 623120109 68.0650934530355 65.2544433241552 1.16029696728343 1.06286945978594 3.80204030275058 106.631655715546 0.0358959751422261 1.06220905157044 4.8532879566804 17.8120004653931 0.0579999983310699 5.42399978637695 0.234999999403954 2458166.838299 2458277.693958 0
 2 623 3 1 ZTF_r 904181800915 0 1.7121 193.641 6.82313 26.107 2.88873e-05 0.0324593 0.113795 4.09707e-05 225 30. 0.07157 0.076121 20.3694 26.107 1 2458658.6818056 623120209 12.2339458514586 26.8033045737691 0.507730220392123 0.975366649065388 -58.3502879589646 53.925597944031 -1.08933943702425 1.03930284357031 4.74643871741126 17.0590003967285 0.068000003695488 5.43900012969971 0.497000008821487 2458155.837639 2458186.853333 0
 3 623 3 1 ZTF_g 904194180915 0 2.274 76.1506 5.31767 26.1278 3.35019e-05 0.0351261 -0.0537553 4.77004e-05 224 30. 0.082118 0.078371 20.3879 26.1278 1 2458658.6941898 623120109 -9.568356627203 24.2080996210572 -0.439674680801573 0.985103582883057 -48.0110878145337 41.935861516059 -1.15258023815175 1.0575102957672 4.8532879566804 17.8120004653931 0.0579999983310699 5.42399978637695 0.234999999403954 2458166.838299 2458277.693958 0
 4 623 3 1 ZTF_r 908178730915 0 2.9139 194.661 8.23468 26.0995 3.72289e-05 0.036703 0.106655 5.16109e-05 227 30. 0.081906 0.082422 19.6902 26.0995 1 2458662.6787384 623120209 -17.3551724709293 46.3897508701094 -0.416161303180256 1.01913493539776 -87.4405037175819 69.289313064707 -1.27046172991776 1.09934403240009 4.74643871741126 17.0590003967285 0.068000003695488 5.43900012969971 0.497000008821487 2458155.837639 2458186.853333 0
 5 623 3 1 ZTF_g 908200620915 0 2.149 77.7364 6.19212 26.145 2.59397e-05 0.0306308 -0.049457 3.65995e-05 225 30. 0.075914 0.081243 20.3076 26.145 1 2458662.700625 623120109 -5.1856172478184 26.3528724592246 -0.218890694463152 1.12883327741467 -75.1731375969944 47.1780334875427 -1.60412436486512 1.05594748479479 4.8532879566804 17.8120004653931 0.0579999983310699 5.42399978637695 0.234999999403954 2458166.838299 2458277.693958 0
 6 623 3 1 ZTF_g 913207400915 0 2.2703 75.0771 6.86956 26.1275 3.02795e-05 0.0336497 -0.0795791 4.32921e-05 231 30. 0.082283 0.081673 20.0921 26.1275 1 2458667.7074074 623120109 25.6281016767318 29.6420385073793 0.961752164314967 1.08668468232754 23.7409504166267 52.4469733930724 0.455714515773624 1.05282865032913 4.8532879566804 17.8120004653931 0.0579999983310699 5.42399978637695 0.234999999403954 2458166.838299 2458277.693958 0
 7 623 3 1 ZTF_r 913226330915 0 1.9174 184.888 9.04724 26.0636 2.36304e-05 0.0294992 0.105133 3.25645e-05 235 30. 0.077598 0.076223 19.8764 26.0636 1 2458667.726331 623120209 -80.826795300396 39.6357628947888 -2.26841723937474 1.01526409374124 -284.962912243016 75.3221909702492 -3.80873352403677 1.04424235169206 4.74643871741126 17.0590003967285 0.068000003695488 5.43900012969971 0.497000008821487 2458155.837639 2458186.853333 0
 8 623 3 1 ZTF_g 918174240915 0 2.1782 73.0167 12.8241 26.08 6.95435e-05 0.0469858 -0.0472354 0.000124519 174 30. 0.076274 0.089307 19.4026 26.08 1 2458672.6742477 623120109 -32.8596413503213 55.1880068721687 -0.662327687483873 1.12875811896414 -24.2693000186213 98.5291102191844 -0.247974990297045 1.05535322636002 4.8532879566804 17.8120004653931 0.0579999983310699 5.42399978637695 0.234999999403954 2458166.838299 2458277.693958 0
