# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 21:41:47
#
# Requested input R.A. = 109.95519583333332 degrees
# Requested input Dec. = 34.79371944444444 degrees
# Requested JD start = 2459267.9655093057 days
# Requested JD end = 2459767.9655093057 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 662 10 1 ZTF_g 1516225703715 0 2.8704 188.943 17.3949 26.3096 1.84427e-05 0.0442412 -0.0287434 5.24956e-05 857 30. 0.059602 0.066732 19.1227 26.3096 1 2459270.725706 662120137 50.4039773400245 95.9524731465453 0.584337066159416 1.02077579908352 0.106010719569959 144.977778965825 0.000736145281207108 1.09449484137192 0.113993769497899 20.383000087738 0.0439999997615814 1.17999994754791 -0.00800000037997961 2458166.789954 2458444.004213 0
 1 662 10 1 ZTF_r 1516295773715 0 2.0149 187.132 17.5766 26.3015 5.0853e-06 0.0328539 0.0999079 1.02501e-05 1368 30. 0.048263 0.051925 19.3559 26.3015 1 2459270.7957755 662120237 63.2616979106266 72.4809917290179 0.970893331259256 0.990190745990207 6.49029169265651 132.18388071993 0.0494311722809008 1.04443246311608 0.131882815932551 19.8619998931885 0.034000001847744 1.2039999961853 0.00300000002607703 2458154.700382 2458227.645440 0
 2 662 10 1 ZTF_g 1518165283715 0 2.0716 189.107 17.9133 26.2962 1.1143e-05 0.0399768 -0.020242 2.95215e-05 1056 30. 0.038932 0.044665 19.34 26.2962 1 2459272.6652894 662120137 17.7413595466332 80.6625703297268 0.24466375775616 1.0415206984274 -97.3394164525248 141.018002942298 -0.694911294856761 1.07609757138755 0.113993769497899 20.383000087738 0.0439999997615814 1.17999994754791 -0.00800000037997961 2458166.789954 2458444.004213 0
 3 662 10 1 ZTF_r 1518216033715 0 2.1665 190.849 15.6554 26.3087 3.3364e-06 0.0266251 0.101535 6.70857e-06 1366 30. 0.041228 0.04873 19.4424 26.3087 1 2459272.7160301 662120237 69.207394199666 67.6380690278146 1.13819349175215 1.009165524586 215.112379214616 118.459940654672 1.82813845987315 1.05701201259023 0.131882815932551 19.8619998931885 0.034000001847744 1.2039999961853 0.00300000002607703 2458154.700382 2458227.645440 0
 4 662 10 1 ZTF_g 1520165683715 0 3.7975 188.079 8.87864 26.3 1.23361e-05 0.041796 -0.0366817 3.22468e-05 1018 30. 0.058114 0.066 19.61 26.3 1 2459274.6656829 662120137 128.758655958132 58.8403365424879 2.43419904508696 1.04819375775519 168.766556846202 75.4792631402204 2.25099189165235 1.17491329873918 0.113993769497899 20.383000087738 0.0439999997615814 1.17999994754791 -0.00800000037997961 2458166.789954 2458444.004213 0
 5 662 10 1 ZTF_r 1520338323715 0 3.6199 182.808 12.2512 26.266 7.88e-06 0.0398388 0.105327 1.59277e-05 1294 30. 0.082964 0.077423 19.2536 26.266 1 2459274.8383218 662120237 85.4287814631265 77.6403189369304 1.22397261782607 1.06445570090935 68.8091514196155 102.032297408566 0.678928013704992 1.15376448422237 0.131882815932551 19.8619998931885 0.034000001847744 1.2039999961853 0.00300000002607703 2458154.700382 2458227.645440 0
 6 662 10 1 ZTF_g 1522208103715 0 1.9738 191.162 5.53885 26.2968 2.5898e-06 0.0232381 -0.0589894 5.21534e-06 1355 30. 0.04597 0.044524 20.6787 26.2968 1 2459276.7081019 662120137 39.6981943169885 22.2057118189739 1.9886614495773 0.943994661690763 31.8424608383478 40.0510894629548 0.800400740004792 1.06463449060851 0.113993769497899 20.383000087738 0.0439999997615814 1.17999994754791 -0.00800000037997961 2458166.789954 2458444.004213 56
 7 662 10 1 ZTF_r 1522282873715 0 2.1861 188.032 9.49425 26.2832 2.1407e-06 0.0211685 0.0994901 4.3474e-06 1368 30. 0.04348 0.047757 20.0839 26.2832 1 2459276.7828704 662120237 40.3639347442414 37.2616704496814 1.20499702851625 1.0088660959846 133.970350463408 65.0190292062764 2.07435654035775 1.0529863282562 0.131882815932551 19.8619998931885 0.034000001847744 1.2039999961853 0.00300000002607703 2458154.700382 2458227.645440 56
 8 662 10 1 ZTF_r 1526153473715 0 1.3667 193.124 6.31301 26.3066 2.4372e-06 0.0226417 0.097577 4.9571e-06 1373 30. 0.043986 0.073182 20.6151 26.3066 1 2459280.6534722 662120237 17.5444641134745 21.5562102422146 0.905362491099695 0.987899011275364 100.008120029831 42.4301812483681 2.37287886853092 1.03469397830211 0.131882815932551 19.8619998931885 0.034000001847744 1.2039999961853 0.00300000002607703 2458154.700382 2458227.645440 0
