julian_date,filter,flux,flux_unc
2458634.7424653,ZTF_g,239.308169754169,174.6634689958706
2458634.7813773,ZTF_r,-215.65019292932,436.2006236897081
2458637.8032407,ZTF_r,927.67647288178,388.97127233528965
2458637.9767361,ZTF_g,1176.34262250514,277.60783901901385
2458640.7676505,ZTF_r,1279.50754161471,385.720020021057
2458640.8451736,ZTF_g,224.344426667624,189.4086651115509
2458643.6995833,ZTF_g,356.320742103838,233.86387034437018
2458643.7495602,ZTF_r,-207.163966795078,459.73070546141673
2458646.6981481,ZTF_g,553.605909253516,491.42783152718835
2458646.7187731,ZTF_r,-548.342814775589,468.0002923841605
2458649.6963542,ZTF_g,727.207121449813,437.47402942677485
2458649.7439352,ZTF_r,-1088.04800421912,599.8113349880183
2458652.6948495,ZTF_g,493.817872274565,371.7410057990764
2458652.8035417,ZTF_r,1997.02101894143,675.7055686434071
2458655.7035417,ZTF_r,2084.52890266493,509.8431235518823
2458655.8066435,ZTF_g,936.563338356771,453.07787643175925
2458658.7262037,ZTF_g,821.464749734968,163.43441646627056
2458661.8215856,ZTF_r,1011.97220538015,447.85142972713703
2458667.8523264,ZTF_g,460.683852144006,166.11040358356428
2458670.7890046,ZTF_g,435.845962552276,176.04671976569662
2458670.8069907,ZTF_r,-1993.24372158083,292.8653645136309
2458673.7144444,ZTF_r,350.081467939857,399.40870289609296
2458673.8232292,ZTF_g,313.235821709742,162.86929521274087
2458676.7856829,ZTF_r,-134.777541037315,539.8080142477618
2458676.8257176,ZTF_g,-460.398481486711,298.0001243539399
2458683.7157639,ZTF_r,-993.388451140782,511.5812729191586
2458683.7439699,ZTF_r,529.603027303924,554.5722958833028
2458683.7721759,ZTF_g,1113.8116949229,348.47709270221395
2458684.7342014,ZTF_r,1577.6344919546,630.6779069174652
2458684.7622106,ZTF_g,1086.35628138066,447.7876370022582
2458685.8356134,ZTF_r,2868.90588788331,607.8624756471571
2458688.830081,ZTF_g,-4127.05885399284,271.2852691734764
2458689.6651273,ZTF_r,3783.46725151569,590.654345515135
2458690.6790972,ZTF_r,-3433.86524011646,432.9612309001027
2458690.703044,ZTF_g,-86.9496413010893,166.74853888727577
2458691.6770602,ZTF_r,-2589.02254613618,354.4022448581931
2458691.8070602,ZTF_g,1010.9008476631,192.50345995029633
2458693.7154861,ZTF_r,-349.282808499282,424.9974137931495
2458693.804375,ZTF_g,517.93853478737,186.95220123820667
2458694.6854861,ZTF_r,-604.10632687532,449.7389565465164
2458694.8078704,ZTF_g,1173.53465491957,195.82304854815038
2458695.7736111,ZTF_r,-1653.35159929587,468.44039168113386
2458695.8029861,ZTF_g,-1618.9506474164,266.89038242183665
2458696.7750579,ZTF_r,304.711899584201,439.41211190123664
2458696.8042824,ZTF_g,1165.93320539212,184.67289339091636
2458697.7970486,ZTF_r,-1711.59455516712,416.16663427514175
2458698.7777662,ZTF_r,-872.580743272962,519.1768666262642
2458699.7780093,ZTF_r,-971.508824677461,339.7123706903371
2458699.8064931,ZTF_g,1936.0916252108,235.10874641361252
2458700.774537,ZTF_r,-2478.33211353032,393.75428044758235
2458700.8030556,ZTF_g,474.355201122707,196.9533894446096
2458701.7784028,ZTF_r,697.630814441441,470.09004174695525
2458701.8066435,ZTF_g,1698.6027424292,243.0438280721171
2458702.7778009,ZTF_r,-769.687750338342,421.7050053950942
2458702.8058218,ZTF_g,-8.35184203732653,174.34067221203213
2458703.7796644,ZTF_r,-2653.83586101083,435.3426184273814
2458704.7742708,ZTF_r,1087.95559239892,527.9200539710566
2458705.6920718,ZTF_r,-319.289760414954,559.7107472797924
2458705.7205671,ZTF_g,616.089419736125,308.37108176308226
2458706.6928241,ZTF_r,1349.57116170204,529.8606766974945
2458706.7233218,ZTF_g,619.971858158907,281.38288065138715
2458707.6915046,ZTF_r,215.60755040327,513.2359659697555
2458707.7202315,ZTF_g,1192.74894716246,369.80048757490664
2458708.6928704,ZTF_r,982.669553226435,593.0282403777828
2458708.7213426,ZTF_g,1318.71412148505,503.1475700406206
2458709.6924769,ZTF_r,-461.354471264438,537.9226413811392
2458709.7209375,ZTF_g,404.941563105041,421.65783676477173
2458712.6801736,ZTF_g,-245.581096442132,330.00763492547657
2458712.7433796,ZTF_r,-2682.34829962886,575.0183750948319
2458716.6541204,ZTF_g,1623.17546230231,254.29323659564997
2458720.6792014,ZTF_g,976.147959334309,227.64251997668373
