julian_date,filter,flux,flux_unc
2459215.583588,ZTF_r,,
2459215.6302894,ZTF_g,,
2459216.6024306,ZTF_r,-21.2524345833437,55.7314066891726
2459216.6728704,ZTF_g,-219.573171301403,81.1305972763681
2459217.6002778,ZTF_r,,
2459218.6324074,ZTF_r,-44.4921002886253,42.0429190890949
2459219.6029861,ZTF_g,,
2459219.6290394,ZTF_r,,
2459220.6453241,ZTF_g,-84.9791370064669,46.9817184428096
2459227.6246875,ZTF_g,50.8586073521728,53.2976835099815
2459227.6343403,ZTF_r,-103.441652341349,98.6971581224515
2459229.6119676,ZTF_r,48.2175616700278,73.9966530312445
2459359.9332639,ZTF_r,80.3677517994954,74.760839698626
2459359.9509144,ZTF_g,-104.745284819455,84.5320056238536
2459369.9113657,ZTF_g,31.948288614519,30.734221741465
2459369.9546759,ZTF_r,-17.3510100254245,29.1053392385857
2459371.9139468,ZTF_g,-26.2890465076092,30.0524713052554
2459371.9816319,ZTF_r,-6.04172610573104,39.828953626504
2459373.9032292,ZTF_r,,
2459373.9396644,ZTF_g,,
2459374.9111574,ZTF_g,-17.9274927288734,30.414259228104
2459374.9555093,ZTF_r,-14.3254220597588,39.1679251742147
2459375.9336458,ZTF_g,,
2459376.914456,ZTF_g,66.0335585411108,37.7895660100318
2459376.944537,ZTF_r,45.8157074635251,34.7328171146106
2459377.9340509,ZTF_r,,
2459377.9569097,ZTF_g,,
2459378.914375,ZTF_r,15.0461718705627,26.9904793852874
2459378.9262616,ZTF_g,-14.0096417035309,25.4984608838517
2459380.9233912,ZTF_g,0.887894851162733,31.6920456838123
2459380.9532986,ZTF_r,-15.748708035822,36.7469400507192
2459384.8612963,ZTF_r,8.99191345652945,41.696387587676
2459384.8841667,ZTF_g,24.0039081068429,29.855527189049
2459386.8804861,ZTF_r,6.41823116446991,56.299840703106
2459386.9586806,ZTF_g,-31.2669045002558,25.8391717526481
2459390.8816667,ZTF_r,,
2459390.9410532,ZTF_g,,
2459391.9029514,ZTF_r,35.9468207297038,61.861832638209
2459391.9417245,ZTF_g,-35.9616822107756,76.9975873786368
2459392.9564236,ZTF_g,,
2459393.8670486,ZTF_g,-49.5362360324556,91.1788627949464
2459396.8994907,ZTF_r,,
2459396.8999653,ZTF_r,-46.0693733276183,40.5431470285152
2459396.9510764,ZTF_g,-18.8807583686597,48.6277103633047
2459400.8997569,ZTF_g,,
2459400.9006944,ZTF_g,30.0352096402566,26.1425610442196
2459400.9535648,ZTF_r,0.157261345607892,26.1972925127841
2459402.9213889,ZTF_r,33.4050327336727,28.5435994538341
2459402.9425463,ZTF_g,,
2459402.9430208,ZTF_g,7.6685920420355,26.130414589848
2459404.9022685,ZTF_g,4.66724644358712,26.1209020389289
2459404.9423148,ZTF_r,,
2459404.9427894,ZTF_r,39.7975749530692,25.8565464576646
2459406.9543287,ZTF_r,,
2459406.9548032,ZTF_r,41.4338736148992,24.5635042866417
2459408.8960648,ZTF_g,40.96858370889,22.8667877218017
2459408.9408681,ZTF_r,-5.8579107826316,23.0922944985368
2459410.9101505,ZTF_r,-23.8820203492769,24.9531544893275
2459410.9218171,ZTF_r,,
2459410.9412963,ZTF_g,,
2459410.9417708,ZTF_g,6.24752197783677,25.5248144302343
2459412.9353588,ZTF_r,-1.55281931769764,20.6199493673302
2459412.9358333,ZTF_r,,
2459412.958287,ZTF_g,-19.3708817499986,24.11354319566
2459412.9587616,ZTF_g,,
2459415.9017477,ZTF_r,,
2459415.9022106,ZTF_r,13.4116969262479,23.1675441473937
2459415.9567477,ZTF_g,26.8409495293105,25.4114417068858
2459415.9572222,ZTF_g,,
2459418.8947569,ZTF_r,204.281456702098,77.3556046192039
2459418.9223611,ZTF_g,-59.6176411027505,84.6735959040173
2459423.9147801,ZTF_g,-38.5596126584411,107.82968856446
2459423.9152546,ZTF_g,,
2459425.8774074,ZTF_g,,
2459425.8831134,ZTF_g,21.3510326315476,43.8068595562152
2459425.9413079,ZTF_r,50.6882789169124,65.5759723973106
2459425.9427199,ZTF_r,,
2459428.8803935,ZTF_r,,
2459428.8808681,ZTF_r,-8.03591694415116,25.2076562732722
2459428.9252315,ZTF_g,,
2459430.8727199,ZTF_r,-9.05170411844462,21.5170783739987
2459430.8986458,ZTF_g,,
2459430.9033912,ZTF_g,-39.3582817382566,24.56786958999
2459435.8745486,ZTF_r,12.5405552350434,20.59493162267
2459435.8996065,ZTF_g,,
2459435.9000694,ZTF_g,26.4734087472501,25.6956381449388
2459438.8370602,ZTF_r,,
2459438.8953472,ZTF_g,-21.6312857616385,23.5209200702466
2459438.8958218,ZTF_g,,
2459440.9004745,ZTF_g,-12.7621506260257,24.8700725102338
2459443.8125,ZTF_r,-8.18009541247574,26.4395306754962
2459443.835,ZTF_g,,
2459446.8712731,ZTF_r,55.9414477694434,69.0643242572201
2459446.8736227,ZTF_r,,
2459446.9207407,ZTF_g,,
2459446.9221528,ZTF_g,-45.8362502642581,70.5631830382174
2459451.8145718,ZTF_r,-51.9227894324312,87.1497245037957
2459451.83625,ZTF_r,,
2459453.8100694,ZTF_r,,
2459453.8251505,ZTF_r,58.2452022775928,34.3862580376322
2459453.8753935,ZTF_g,42.7024851144318,40.5368183936924
2459455.7821065,ZTF_r,48.8218660635913,29.1037367997671
2459459.7589815,ZTF_r,,
2459459.7969097,ZTF_g,,
2459459.8152199,ZTF_g,145.950149201938,22.9278498489891
2459461.7551852,ZTF_g,,
2459461.7585069,ZTF_g,217.068138249866,25.6689697235578
2459461.7993519,ZTF_r,175.065312273292,23.8388979367984
2459461.8127199,ZTF_r,,
2459463.7750463,ZTF_r,,
2459463.7938657,ZTF_r,183.306974705444,25.0153051216093
