# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:28:54
#
# Requested input R.A. = 63.830724999999994 degrees
# Requested input Dec. = -10.889819444444443 degrees
# Requested JD start = 2458212.8374074074 days
# Requested JD end = 2458712.8374074074 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 353 5 2 ZTF_g 580481211815 0 2.8132 75.0691 11.0247 25.8178 4.32956e-05 0.049105 0.029924 8.62345e-05 374 30. 0.096585 0.093274 19.123 25.8178 1 2458334.9812153 353120118 432.88697380365 69.4493680066146 6.93363571444323 11.9500986896288 651.993611680115 100.929227541539 6.50341672234663 1.111473927957 0.416367003976388 13.4370004653931 0.0189999993890524 1.11500000953674 -0.0320000015199184 2458344.981852 2458369.961748 0
 1 353 5 2 ZTF_r 583500821815 0 2.2373 184.429 10.6413 26.1259 9.8362e-06 0.0284722 0.1016 1.49786e-05 550 30. 0.053076 0.063855 19.6274 26.1259 1 2458338.0008218 353120218 -2015.20368340795 78.7950249918392 -28.4495205505985 230.495482652111 900.79226645479 122.198364962358 7.42120530398024 1.03981400381027 0.420144353375004 12.9050001144409 0.0140000004321337 0.493999987840652 0.0219999998807907 2458344.979028 2458376.000313 0
 2 353 5 2 ZTF_r 590479021815 0 2.0358 175.715 5.60425 26.0475 6.5204e-06 0.0227504 0.119745 9.85915e-06 531 30. 0.059675 0.060404 20.4184 26.0475 1 2458344.9790278 353120218 -477.00664566042 37.2391205157099 -14.2488500184547 169.173569188593 187.802050406782 62.9536503554897 3.00327156493409 1.04192217677907 0.420144353375004 12.9050001144409 0.0140000004321337 0.493999987840652 0.0219999998807907 2458344.979028 2458376.000313 0
 3 353 5 2 ZTF_g 590481851815 0 2.2599 83.4357 4.33721 25.9483 1.15144e-05 0.0301266 -0.0427457 1.78148e-05 524 30. 0.061466 0.059181 20.5371 25.9483 1 2458344.9818519 353120118 -208.035933504445 36.5789826893375 -6.32647118184242 168.057672396983 -777.016362256101 50.8858334708608 -15.3726402577135 1.06434247968054 0.416367003976388 13.4370004653931 0.0189999993890524 1.11500000953674 -0.0320000015199184 2458344.981852 2458369.961748 0
 4 353 5 2 ZTF_r 593453491815 0 2.0381 163.293 5.47217 25.9646 1.00042e-05 0.0284732 0.125309 1.51979e-05 545 30. 0.076812 0.07833 20.3593 25.9646 1 2458347.9534954 353120218 -2947.7972037546 44.9500928249173 -72.9494145303886 310.913019516114 1119.68830983014 70.4837732508614 15.9927515657546 1.05892523914272 0.420144353375004 12.9050001144409 0.0140000004321337 0.493999987840652 0.0219999998807907 2458344.979028 2458376.000313 0
 5 353 5 2 ZTF_r 593454401815 0 2.0082 163.471 5.43717 25.9645 7.6737e-06 0.0249089 0.125268 1.17022e-05 542 30. 0.072413 0.073851 20.4073 25.9645 3 2458347.9544097 353120218 7142.16388450434 59.0987904232742 134.433040154941 293.204534174039 3313.21853969779 62.9816201847191 52.9604231743417 1.05782067851959 0.420144353375004 12.9050001144409 0.0140000004321337 0.493999987840652 0.0219999998807907 2458344.979028 2458376.000313 0
 6 353 5 2 ZTF_g 593484961815 0 2.5893 86.2903 4.0519 25.965 1.4984e-05 0.0343984 0.00118977 2.35713e-05 525 30. 0.070396 0.075407 20.4825 25.965 3 2458347.9849653 353120118 1129.38114029948 44.3582980998442 28.3217742692426 68.5764859873552 -448.651602150602 51.2236507633329 -8.81767093468344 1.11160247093498 0.416367003976388 13.4370004653931 0.0189999993890524 1.11500000953674 -0.0320000015199184 2458344.981852 2458369.961748 0
 7 353 5 2 ZTF_g 593485871815 0 2.4013 86.3169 4.06871 25.9694 1.22155e-05 0.0310962 -0.0117061 1.92585e-05 530 30. 0.061236 0.06914 20.6097 25.9694 1 2458347.9858796 353120118 -55.965717530953 30.3873693806761 -2.04872549617596 28.7901211363377 -316.49973046126 42.898768702527 -7.42751794498312 1.11038977504498 0.416367003976388 13.4370004653931 0.0189999993890524 1.11500000953674 -0.0320000015199184 2458344.981852 2458369.961748 0
 8 353 5 2 ZTF_g 595440851815 0 2.573 76.8795 4.17482 25.834 1.47824e-05 0.0335971 0.00519772 2.35915e-05 523 30. 0.078231 0.074975 20.3658 25.834 3 2458349.9408565 353120118 -775.047283048689 37.7642263567485 -22.8298157850223 131.116468081477 622.99888407901 48.7550369585447 12.8642055576895 1.10667721265365 0.416367003976388 13.4370004653931 0.0189999993890524 1.11500000953674 -0.0320000015199184 2458344.981852 2458369.961748 0
