# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 15:19:51
#
# Requested input R.A. = 93.16756249999999 degrees
# Requested input Dec. = -27.67655277777778 degrees
# Requested JD start = 2458221.79744213 days
# Requested JD end = 2458721.79744213 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 257 1 3 ZTF_g 632522140315 0 2.7483 140.719 17.0624 25.8902 1.55532e-05 0.0442653 -0.0380149 5.09982e-05 927 30. 0.047389 0.080165 18.8169 25.8902 1 2458387.0221412 257120103 -164.899972788014 77.4017070578812 -2.36987176161391 1.01211299575955 -240.68133704866 122.238366234301 -1.98221186330998 1.05541629959959 null null null null null 2458387.022141 2458476.780926 57
 1 257 1 3 ZTF_r 636521730315 0 2.4665 238.287 10.8364 25.8946 3.8944e-06 0.0341702 0.0939004 8.94817e-06 1696 30. 0.042637 0.06013 19.3409 25.8946 1 2458391.0217361 257120203 -92.187100896464 51.4476359750855 -1.99323972906074 1.11603272067909 -246.961394987345 84.921713905459 -2.92769284506284 1.05606939555758 2.20122752193079 19.9819997787476 0.131999999284744 6.33300018310547 0.667999982833862 2458439.881539 2458468.861667 0
 2 258 4 2 ZTF_r 643521381415 0 2.0354 218.642 5.97711 25.6271 2.5151e-06 0.0275318 0.0892135 5.74638e-06 1719 30. 0.036527 0.050788 20.0143 25.6271 3 2458398.0213889 258120214 -42.283854233267 22.0215827467351 -2.13589962008582 0.997019549504103 -28.3252599291136 38.5739464474471 -0.739256280745801 1.05207724182976 null null null null null 2458398.021389 2458486.839433 57
 3 257 1 3 ZTF_r 668502230315 0 3.0771 233.659 9.16366 25.8808 5.2193e-06 0.0397162 0.0885159 1.1925e-05 1704 30. 0.057904 0.068763 19.3252 25.8808 3 2458423.0022338 257120203 466.258179350678 60.717849313512 8.54210458875938 2.32221363964799 656.706664772378 86.9304959058754 7.6052668865368 1.09008049953587 2.20122752193079 19.9819997787476 0.131999999284744 6.33300018310547 0.667999982833862 2458439.881539 2458468.861667 0
 4 258 4 2 ZTF_r 668502681415 0 3.8978 280.622 9.65222 25.8999 1.08131e-05 0.0512856 0.0903745 2.54818e-05 1443 30. 0.084052 0.088949 19.0304 25.8999 3 2458423.0026852 258120214 85.0409088244986 65.6227878951612 1.44154437913956 0.98079861740228 120.200291963051 82.6649881134095 1.46385852834237 1.20966696896969 null null null null null 2458398.021389 2458486.839433 57
 5 257 1 3 ZTF_g 669417460315 0 3.7305 129.743 7.16244 25.8315 1.34045e-05 0.0492259 -0.0144675 4.1882e-05 1204 30. 0.077706 0.082584 19.3676 25.8315 1 2458423.9174653 257120103 -8.15117807458867 47.6629777661332 -0.190236571578693 1.0224820564548 63.3864687963973 62.7278922961454 1.01730471046924 1.12441378124255 null null null null null 2458387.022141 2458476.780926 57
 6 257 1 3 ZTF_g 669423540315 0 3.7728 137.865 7.06427 25.9071 1.13524e-05 0.0465466 -0.0312659 3.5483e-05 1248 30. 0.092412 0.106643 19.4225 25.9071 3 2458423.9235417 257120103 62.1373710572941 50.9531093987132 1.35655368105136 0.977553756907896 66.4452796646098 66.4438790472401 1.00675627921294 1.12282018192244 null null null null null 2458387.022141 2458476.780926 57
 7 258 4 2 ZTF_g 669438361415 0 3.6018 183.5 6.9143 25.9421 9.6855e-06 0.0445752 -0.0470299 2.94525e-05 1333 30. 0.083315 0.085061 19.5293 25.9421 1 2458423.9383681 258120114 -29.8579387664841 50.0731568901537 -0.663299471911487 0.914769793537099 10.1870057129482 67.5151396781354 0.151900978527555 1.10213465155289 null null null null null 2458423.938368 2458766.001377 57
 8 258 4 2 ZTF_g 669446801415 0 3.7885 186.117 6.94482 25.9454 1.14438e-05 0.0467008 -0.0299909 3.56824e-05 1269 30. 0.072905 0.083967 19.4926 25.9454 3 2458423.9468056 258120114 26.4110356770173 49.8686219807735 0.589132342396111 1.05183971641919 14.4957517120813 64.85584546895 0.225012584885053 1.13851120635441 null null null null null 2458423.938368 2458766.001377 57
