# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:45:39
#
# Requested input R.A. = 119.08769583333333 degrees
# Requested input Dec. = 4.311019444444444 degrees
# Requested JD start = 2458245.762928241 days
# Requested JD end = 2458745.762928241 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 463 5 1 ZTF_r 616504161715 0 2.8101 264.833 7.65729 26.1117 7.1067e-06 0.0478402 0.0955094 1.86874e-05 2147 30. 0.070735 0.109361 19.8623 26.1117 1 2458371.0041667 463120217 647.139469266097 43.2996605302534 16.6252505104735 1.50445131722551 402.844338269708 64.9157562358778 6.24744348031522 1.06107922519626 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 1 463 5 1 ZTF_g 619504801715 0 3.094 139.792 5.58345 26.0137 3.7818e-06 0.0349742 -0.0324802 9.98159e-06 2133 30. 0.06198 0.076907 20.0183 26.0137 1 2458374.0048032 463120117 -36.2241009986062 31.8936673029307 -1.26342061103231 1.13143924683572 10.6859184915571 46.8108016219872 0.22981637559392 1.08971202275923 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 2 463 5 1 ZTF_g 622497531715 0 2.8666 141.076 5.58551 26.0188 3.4208e-06 0.0331596 -0.0551045 9.10408e-06 2139 30. 0.057925 0.062718 20.0623 26.0188 1 2458376.9975347 463120117 -63.9866046044772 27.4584241268412 -2.59219851500228 1.09199301900337 40.1973094184633 43.911590239609 0.921579937991914 1.05530011469626 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 3 463 5 1 ZTF_r 622523941715 0 2.3743 295.903 16.6013 26.1709 2.7544e-06 0.0296576 0.0932593 7.29098e-06 2143 30. 0.045565 0.055941 19.15 26.1709 1 2458377.0239468 463120217 -301.448203185547 77.9530518062512 -4.30164313561093 0.978127235933927 -194.610896290506 134.858673076131 -1.45279207784686 1.05203422325275 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 4 463 5 1 ZTF_g 625483431715 0 2.9958 140.241 5.75741 26.0056 5.1065e-06 0.0407842 -0.0394121 1.34621e-05 2137 30. 0.079972 0.095358 19.9774 26.0056 1 2458379.9834375 463120117 45.6409106601989 31.5190974168004 1.61077666623026 1.19365367850908 -79.1653570008176 46.4930287592098 -1.71420409386003 1.07812042939774 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 5 463 5 1 ZTF_r 625527121715 0 2.3157 303.947 18.6344 26.2018 2.8831e-06 0.0301524 0.091832 7.61002e-06 2125 30. 0.042952 0.045489 19.0939 26.2018 1 2458380.0271296 463120217 -196.056348498263 82.254940160985 -2.65139064788584 1.00860158149176 -263.874796791164 141.772126366458 -1.87379575617633 1.05773267120013 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 6 463 5 1 ZTF_r 628522041715 0 2.1422 283.846 8.95575 26.1783 4.4968e-06 0.0380666 0.0932366 1.1945e-05 2149 30. 0.078807 0.065671 20.1035 26.1783 1 2458383.0220486 463120217 74.3738517693593 36.7789648735215 2.24944600473776 1.26494486912458 -87.471014576048 65.5125743200813 -1.34417152441011 1.04153070114899 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 7 463 5 1 ZTF_g 631494391715 0 2.3222 146.795 15.966 26.0764 5.77e-06 0.0388399 -0.0560886 1.70001e-05 1844 30. 0.045083 0.045995 19.1404 26.0764 1 2458385.9943981 463120117 -61.8469626396847 71.5252651323161 -0.961864066649917 1.01439009652073 -199.544405106436 128.106449383994 -1.56813610182452 1.03765181519783 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 8 463 5 1 ZTF_r 631524391715 0 1.9944 284.326 13.5307 26.1797 1.7948e-06 0.0239703 0.0898262 4.79019e-06 2150 30. 0.045399 0.041846 19.6074 26.1797 1 2458386.0243981 463120217 -1.47598460865728 50.0556464583702 -0.0328007334721862 1.2109893141456 -161.87143029624 95.4184015676581 -1.70786390271893 1.03672217084287 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 9 463 5 1 ZTF_g 634477231715 0 1.9725 144.985 13.659 26.0599 4.5369e-06 0.0372817 -0.0507372 1.25103e-05 2056 30. 0.043591 0.047235 19.5348 26.0599 1 2458388.9772338 463120117 -35.3705037774969 49.6104989729398 -0.793089958932165 1.03979197520872 -36.9907327257463 96.3395969777416 -0.3865478848486 1.03518186074373 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 10 463 5 1 ZTF_g 669479221715 0 2.6874 160.028 7.65426 26.1637 3.2056e-06 0.0318222 -0.0525061 8.52757e-06 2110 30. 0.045686 0.042729 19.9306 26.1637 1 2458423.9792245 463120117 -88.2011272646493 38.6712157979089 -2.53712059435903 1.11635857521812 -46.6613217656763 61.8439139320135 -0.75958304489047 1.05842489752973 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 11 463 5 1 ZTF_r 669519491715 0 2.3203 297.557 8.10187 26.2183 1.6169e-06 0.0225952 0.0915342 4.27603e-06 2122 30. 0.050073 0.03969 20.106 26.2183 1 2458424.0194907 463120217 -211.235761082149 36.5703814181954 -6.42529031108372 1.34789543607443 -43.3864678952051 63.8409187116232 -0.684179976325489 1.04440087048704 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 12 463 5 1 ZTF_r 672433541715 4194304 2.8267 287.836 6.74275 26.1738 2.0457e-06 0.0251981 0.107199 5.41175e-06 2084 30. 0.053243 0.050944 20.2139 26.1738 1 2458426.9335417 463120217 545.332167204754 35.2005955906283 17.2331990878803 1.57618187186201 272.333331802143 53.542032028418 5.12060342265281 1.06719343517282 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 13 463 5 1 ZTF_g 672476881715 0 2.2238 168.086 4.90525 26.1847 1.7247e-06 0.0234215 -0.0204611 4.58011e-06 2118 30. 0.041594 0.041124 20.6888 26.1847 1 2458426.9768866 463120117 154.692739069304 22.8297643189197 7.53743018169468 1.56741080972963 -113.972320624215 37.2485397137685 -3.08038735592616 1.06055923247874 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 14 463 5 1 ZTF_g 675455811715 0 3.2956 166.051 4.24489 26.1958 3.1948e-06 0.0317416 -0.00473113 8.49786e-06 2106 30. 0.057521 0.056997 20.4468 26.1958 1 2458429.9558102 463120117 165.715137606269 29.3414586971529 6.28254028547271 1.20741054536107 128.557713807843 40.5681286389811 3.19027674553702 1.11095805353278 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 15 463 5 1 ZTF_r 675504141715 4194304 3.5121 298.811 6.10148 26.2136 2.3098e-06 0.026743 0.113319 6.07882e-06 2084 30. 0.050156 0.062779 20.1367 26.2136 1 2458430.0041435 463120217 349.091814951678 37.4363294795206 10.3729242496335 1.66692609103671 23.0628132967855 52.8604978330769 0.43923427933983 1.09196692000121 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 16 463 5 1 ZTF_g 676406251715 0 2.5123 160.8 4.30466 26.1575 1.7391e-06 0.0235388 -0.0302337 4.60338e-06 2118 30. 0.052001 0.047657 20.6331 26.1575 1 2458430.90625 463120117 83.9630618716487 21.4108476025599 4.36223651095932 1.18385003224625 33.9161633882932 34.5034039504043 0.989600641987574 1.06176676746911 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 17 463 5 1 ZTF_r 678393981715 0 2.5443 289.941 7.61202 26.188 2.272e-06 0.0267432 0.0905585 6.027e-06 2120 30. 0.0551 0.049645 20.0229 26.188 1 2458432.8939815 463120217 -152.565682917668 37.5633731121122 -4.51800881975426 1.43018599529359 -64.5438974954217 62.3404409492075 -1.04231865173239 1.05131920195519 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 18 463 5 1 ZTF_g 678444201715 0 2.2654 164.66 4.96912 26.1994 1.7117e-06 0.0232878 -0.0597736 4.53855e-06 2109 30. 0.047866 0.046174 20.6016 26.1994 1 2458432.9442014 463120117 -73.6599421929936 22.8178424566544 -3.59096851663717 1.09158945178577 -5.01773977025875 40.07142947972 -0.126063247602964 1.05003947277768 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 19 463 5 1 ZTF_r 678505111715 0 2.3261 300.878 7.09279 26.2228 1.1709e-06 0.0192444 0.0890347 3.08125e-06 2120 30. 0.043008 0.039832 20.3817 26.2228 1 2458433.0051157 463120217 -147.683531603829 27.8699310691411 -5.89455434105635 1.18256878666863 -158.56603840466 48.4381954939949 -3.29562214629132 1.05722829414716 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 20 463 5 1 ZTF_r 681519381715 0 4.6356 281.447 7.61233 26.1578 4.802e-06 0.0381075 0.0921304 1.24277e-05 2016 30. 0.074819 0.074253 19.4672 26.1578 1 2458436.0193866 463120217 -200.74198310035 62.4137786651842 -3.57777096071931 1.03357520793351 -268.582925049617 74.2302522788386 -3.64260982822772 1.2538071033917 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 21 463 5 1 ZTF_r 682388151715 33554480 4.3368 15.0579 9.41525 23.2324 0.00750054 0.161809 -0.263254 0.0192312 80 30. 0.11383 0.118272 16.3075 23.2324 1 2458436.8881597 463120217 102.164660356373 73.8446384187516 1.53899258840822 0.999868977318249 117.622744876873 90.176279538409 1.3131495492736 1.19435982865893 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 22 463 5 1 ZTF_g 684441381715 0 2.2214 157.783 4.87232 26.1353 1.9963e-06 0.0251278 -0.0426022 5.27205e-06 2115 30. 0.043825 0.046649 20.6189 26.1353 1 2458438.9413889 463120117 -113.197467866282 20.393676100036 -6.17441755278625 1.23236676810556 -39.5411983670211 35.7986895716742 -1.11198234039606 1.05756385390083 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 23 463 5 1 ZTF_g 684456661715 0 2.1495 168.445 4.76858 26.2107 1.484e-06 0.0216614 -0.0526301 3.94472e-06 2119 30. 0.042057 0.043295 20.7178 26.2107 1 2458438.9566667 463120117 -128.523309849119 20.007830582935 -7.14556708908838 1.05416374568518 -168.409605217221 35.8882111336883 -4.7242213596609 1.04745338693879 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 24 463 5 1 ZTF_r 684517621715 0 2.054 287.386 6.85867 26.1855 9.956e-07 0.0177043 0.0836575 2.6345e-06 2121 30. 0.03784 0.037838 20.41 26.1855 1 2458439.0176273 463120217 -131.903727366668 24.2719100446293 -6.04516160501302 1.33413149721274 -136.001477772229 46.2813611273673 -2.95837140945484 1.03779851626822 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 25 463 5 1 ZTF_r 685356301715 0 1.5361 238.248 7.94287 25.9609 2.8107e-06 0.0297349 0.0934388 7.4898e-06 2127 30. 0.045183 0.045165 20.1827 25.9609 1 2458439.8563079 463120217 -16.2287963521128 25.1800981069739 -0.71694145639162 1.19039489813235 -159.856947237698 51.8352690305131 -3.10471221592318 1.02860909639281 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 26 1457 13 0 ZTF_r 685356774815 0 1.8342 473.197 8.0844 25.8557 1.8023e-06 0.0232984 0.0775834 4.66101e-06 2032 30. 0.03418 0.036221 20.0266 25.8557 2 2458439.8567708 1457120248 -153.389637763363 23.3732771798856 -7.30014041405788 1.47428976331502 -157.350345217594 45.5463773584301 -3.47799579314846 1.04628070787343 0.727204957240292 16.0730003356934 0.046000000089407 3.74900007247925 0.241999998688698 2458439.856771 2458783.997488 0
 27 1458 16 1 ZTF_r 685363356115 0 1.7295 201.599 7.50666 25.7258 6.4345e-06 0.0435865 0.0763509 1.68955e-05 1998 30. 0.034693 0.042135 19.9012 25.7258 2 2458439.8633565 1458120261 -602.582008651311 25.5653117895567 -26.2192260698682 1.21714993625042 -732.972139069206 49.1792751422817 -15.0044657320073 1.04725035399094 0.718095438505243 16.0639995574951 0.0450000017881393 4.08199977874756 0.224999994039536 2458448.927349 2459144.956551 0
 28 463 5 1 ZTF_g 685437991715 0 1.8784 128.709 4.77465 25.9157 1.7124e-06 0.0232174 -0.0488523 4.55343e-06 2115 30. 0.037002 0.040863 20.5685 25.9157 1 2458439.9379977 463120117 -47.6501995769172 19.0652788354459 -2.78020207871344 1.02513964941156 -75.7224028848595 35.9458867069122 -2.1207544063814 1.04487029667401 0.763482834082722 16.7150003433228 0.0410000011324883 3.8289999961853 0.186000004410744 2458227.672153 2458439.937998 0
 29 463 5 1 ZTF_r 687390791715 0 2.012 253.748 10.1167 26.0373 1.6672e-06 0.0229251 0.0860999 4.42697e-06 2118 30. 0.037836 0.039571 19.7756 26.0373 1 2458441.8907986 463120217 -192.591300850634 39.3953375925902 -5.43809313525553 1.22012402171692 -147.506205626883 74.1332773789118 -2.00314452104311 1.04103195875608 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 30 1457 13 0 ZTF_r 687415714815 0 2.0062 384.441 11.1794 25.6288 3.4048e-06 0.0321383 0.0772352 8.73872e-06 2021 30. 0.036755 0.041097 19.4031 25.6288 2 2458441.9157176 1457120248 -282.392932788345 42.1876245946811 -7.44600891892461 0.986072841290466 -218.523989568749 75.755424342111 -2.90402651852035 1.06881311109958 0.727204957240292 16.0730003356934 0.046000000089407 3.74900007247925 0.241999998688698 2458439.856771 2458783.997488 0
 31 1458 16 1 ZTF_r 687417106115 0 2.3004 159.038 11.0943 25.5072 4.3131e-06 0.0357143 0.0716259 1.11855e-05 1984 30. 0.040632 0.043723 18.9913 25.5072 2 2458441.9171065 1458120261 -140.590966488539 46.3336349649356 -3.37532693272813 1.14988858247165 -130.397858245556 80.8910014069148 -1.62287637734754 1.04973876414296 0.718095438505243 16.0639995574951 0.0450000017881393 4.08199977874756 0.224999994039536 2458448.927349 2459144.956551 0
 32 463 5 1 ZTF_r 687436921715 0 2.2682 295.228 7.0635 26.2004 1.2484e-06 0.0198373 0.0886931 3.31825e-06 2122 30. 0.040818 0.042805 20.2864 26.2004 1 2458441.9369213 463120217 -58.9083120105998 29.7857075354968 -2.20000394016242 1.44082543908348 -122.691753640969 51.0518330314038 -2.41946434293201 1.05063829893859 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 33 463 5 1 ZTF_r 688365561715 0 1.8079 77.1099 17.03 24.6999 3.3738e-05 0.080543 0.105318 8.69606e-05 1314 30. 0.044599 0.042428 17.8841 24.6999 1 2458442.8655671 463120217 -469.503161972407 69.5748814470918 -7.50655805210067 0.957990952169395 -630.07520518005 136.873495777115 -4.63434351798235 1.04084516501928 0.776275352628921 16.0639995574951 0.0489999987185001 4.30900001525879 0.228000000119209 2458160.731667 2458441.936921 0
 34 1457 13 0 ZTF_r 688366034815 0 2.0027 145.673 16.2875 24.6155 0.000108689 0.136696 0.0710838 0.000274496 1105 30. 0.046729 0.042756 17.7505 24.6155 2 2458442.8660301 1457120248 -155.509869116806 70.3746642015356 -2.45808231006449 1.00217147600976 -207.671677814915 132.572331254388 -1.5770286041979 1.05304630325393 0.727204957240292 16.0730003356934 0.046000000089407 3.74900007247925 0.241999998688698 2458439.856771 2458783.997488 0
 35 1458 16 1 ZTF_r 688380676115 33554432 2.3557 160.029 15.2303 25.4887 4.0941e-05 0.107439 0.0690833 0.000104154 1886 30. 0.049614 0.039602 18.6029 25.4887 2 2458442.8806713 1458120261 -443.273441782023 63.5754212248667 -7.75599046689133 0.923950189998998 -602.782910972885 111.387639432202 -5.44802539718703 1.0471425876597 0.718095438505243 16.0639995574951 0.0450000017881393 4.08199977874756 0.224999994039536 2458448.927349 2459144.956551 0
