# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:41:06
#
# Requested input R.A. = 176.96832499999996 degrees
# Requested input Dec. = -20.72086111111111 degrees
# Requested JD start = 2458331.7529166667 days
# Requested JD end = 2458831.7529166667 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 319 3 2 ZTF_r 688545031015 0 2.066 475.14 7.64904 25.92 1.27504e-05 0.0270913 0.108366 2.29943e-05 357 30. 0.060046 0.057714 19.9036 25.92 2 2458443.0450347 319120210 -38.515086551349 36.5245004979876 -1.17300913406684 0.977735615862407 -76.9824490707753 67.9062416893245 -1.14129317668642 1.03632087874489 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 1 319 3 2 ZTF_r 688549931015 0 1.9305 479.625 8.00844 25.9204 1.17071e-05 0.0260875 0.103254 2.12487e-05 357 30. 0.054734 0.055496 19.9504 25.9204 2 2458443.0499306 319120210 -31.530976689252 34.5724440690771 -1.01452357137991 0.938051480258502 -62.5424793551996 66.1367028425658 -0.952023669851123 1.03542468489519 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 2 319 3 2 ZTF_r 688554821015 0 1.889 484.507 9.10598 25.9261 2.11106e-05 0.03494 0.104834 3.83054e-05 357 30. 0.060455 0.058368 19.8505 25.9261 2 2458443.0548264 319120210 -25.0859721683475 40.3464074833265 -0.691641217768144 0.955028044124192 -71.0139697971644 78.8392781986366 -0.90681009013559 1.03152858263009 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 3 319 3 2 ZTF_r 688559721015 0 2.2491 473.421 12.3734 25.8977 3.7955e-05 0.04682 0.118916 6.88393e-05 356 30. 0.082669 0.076136 19.2762 25.8977 2 2458443.0597222 319120210 -76.2670027328818 65.2904222466403 -1.29939742833287 0.986060843919115 38.9810099909179 116.80284466767 0.335981109429588 1.03969987476872 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 4 319 3 2 ZTF_r 689546881015 0 1.8759 536.255 7.6556 26.0444 8.3727e-06 0.0218468 0.101992 1.52148e-05 355 30. 0.051203 0.052363 20.1472 26.0444 2 2458444.0468866 319120210 -9.73453208534446 32.5633626240474 -0.332537506899905 0.93005323115723 -62.7559526688283 63.2669625281323 -0.998603617055549 1.03413290902808 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 5 319 3 2 ZTF_r 689551681015 0 1.9166 539.559 8.53263 26.0518 1.32076e-05 0.0275622 0.0991362 2.41064e-05 355 30. 0.052108 0.062567 20.0136 26.0518 2 2458444.0516898 319120210 -30.0073596102754 35.659052032369 -0.936079620782666 0.869070397942546 -18.2555655221077 68.504762573663 -0.268280877354608 1.03228144689816 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 6 319 3 2 ZTF_r 689556501015 0 1.8369 546.15 11.9905 26.0527 1.3945e-05 0.0283803 0.103652 2.55735e-05 355 30. 0.04802 0.049385 19.7502 26.0527 2 2458444.0565046 319120210 37.8424142062975 44.9267457422232 0.936976447674407 1.08810774148302 140.478136997958 88.6586767369176 1.59515425379845 1.03184558476072 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 7 319 3 2 ZTF_r 695541111015 0 2.3192 552.799 11.0278 26.0915 2.08259e-05 0.0346346 0.100352 3.7898e-05 355 30. 0.063784 0.05432 19.5841 26.0915 1 2458450.0411111 319120210 -75.8709477916872 58.1799836846648 -1.45063020249824 0.903433775593584 -104.676104728313 100.625529597902 -1.04726012113715 1.05039028975538 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 8 319 3 2 ZTF_g 715503501015 0 2.7207 219.369 4.78168 26.1385 2.51476e-05 0.0382202 -0.0693967 4.66104e-05 352 30. 0.059393 0.070603 20.2966 26.1385 1 2458470.0035069 319120110 -15.3476295903675 27.8374351373112 -0.61329142448464 0.963887456363142 39.6101290634643 45.1271756892814 0.883656132974955 1.04184350713785 1.46431358752237 19.7139999389648 0.0610000006854534 1.87300002574921 0.0759999975562096 2458203.803738 2458581.795509 0
 9 319 3 2 ZTF_r 718453641015 0 2.2445 560.011 13.9564 26.0481 1.99227e-05 0.0339579 0.103499 3.63656e-05 357 30. 0.057411 0.052466 19.3716 26.0481 1 2458472.9536458 319120210 -53.871171834218 60.8461516497824 -0.984868184830442 1.0074612290364 21.3528846487984 108.764359047989 0.197644685663615 1.04052712822038 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 10 319 3 2 ZTF_g 718473951015 0 2.7039 217.807 14.0299 26.0887 4.28884e-05 0.0390145 -0.00728263 0.000106095 244 30. 0.057513 0.060779 19.2607 26.0887 1 2458472.9739583 319120110 -97.3986777430435 65.8560597868123 -1.64517506730624 1.0125478491978 -74.2646071720071 103.819128281057 -0.720144590038517 1.06664631764006 1.46431358752237 19.7139999389648 0.0610000006854534 1.87300002574921 0.0759999975562096 2458203.803738 2458581.795509 0
 11 319 3 2 ZTF_r 722513471015 0 1.8325 583.582 12.7407 26.1084 1.31382e-05 0.0273765 0.100774 2.38724e-05 354 30. 0.048453 0.050484 19.7025 26.1084 1 2458477.0134722 319120210 44.0906058807449 47.0374371694295 1.04269482163685 0.972574285021038 128.819483365549 92.5835049539717 1.40075805147049 1.03171189426191 1.28676288640295 19.2000001907349 0.0829999968409538 3.9779999256134 0.280000001192093 2458218.775579 2458509.959826 0
 12 269 15 0 ZTF_r 722521485615 0 2.2301 461.958 12.4702 26.1289 1.32111e-05 0.02875 0.0948655 2.45618e-05 361 30. 0.052503 0.059257 19.5567 26.1289 1 2458477.0214815 269120256 -114.848706351411 56.0066602479207 -2.28108376162898 0.956477351309107 -288.367042171926 100.688254983271 -2.88324800981366 1.03906155867739 1.14379124415221 20.7020000457764 0.122000001370907 1.05200004577637 -0.101000003516674 2458218.776030 2458582.731215 0
