# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 20:11:49
#
# Requested input R.A. = 291.6636 degrees
# Requested input Dec. = 70.67281666666668 degrees
# Requested JD start = 2458523.6442824076 days
# Requested JD end = 2459023.6442824076 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 849 9 0 ZTF_r 785511533215 33554488 5.4619 21.708 15.8057 23.7359 0.00087866 0.0654466 0.0549872 0.00221061 73 30. 0.075206 0.181968 16.4927 23.7359 2 2458540.0115394 849120232 38.8414665356273 114.24647172482 0.378187894802849 1.03707917536261 14.5858237440866 161.626803147599 0.0908516398284972 1.3396499275014 0.68362867228466 18.726000213623 0.0579999983310699 4.08699989318848 0.222000002861023 2458187.019086 2458275.914792 0
 1 849 9 0 ZTF_g 786449293215 0 2.2757 66.996 6.81393 26.0248 1.04809e-05 0.0349765 -0.0250722 2.00424e-05 1234 30. 0.050934 0.052871 20.0697 26.0248 2 2458540.949294 849120132 28.8551857999104 36.007099522314 0.89143675604432 1.09224530784768 -1.59119054425303 57.8713400592259 -0.0276804943946032 1.12840756296748 1.04807834886119 19.3900000572205 0.0590000003576279 3.94899988174438 0.217999994754791 2458205.978090 2458288.905393 0
 2 850 12 0 ZTF_g 786487654415 0 3.0859 92.6702 7.2271 26.244 1.3324e-05 0.0367988 -0.130141 2.64093e-05 1113 30. 0.057499 0.050952 19.9022 26.244 1 2458540.9876505 850120144 87.3843637263871 40.7055213236171 2.38800487049246 1.05484201588074 190.289309415873 62.0832901473474 3.08570822210608 1.06195189512507 0.82443111530076 19.4170000076294 0.0689999982714653 3.99399995803833 0.351999998092651 2458230.988206 2458346.824734 0
 3 849 9 0 ZTF_g 786488623215 0 2.4285 69.7552 6.63128 26.0736 1.1277e-05 0.0357188 -0.0350869 2.19135e-05 1206 30. 0.050148 0.066672 20.0603 26.0736 2 2458540.9886227 849120132 20.1899103792796 38.0464479722728 0.59030311519556 1.07067580665067 -4.31049045189045 58.4870925963058 -0.0741962313469775 1.17445880947679 1.04807834886119 19.3900000572205 0.0590000003576279 3.94899988174438 0.217999994754791 2458205.978090 2458288.905393 0
 4 849 9 0 ZTF_r 786532363215 8 14.5187 224.052 7.33616 26.1521 1.17557e-05 0.0329747 0.115642 1.99078e-05 866 30. 0.060515 0.139036 19.7668 26.1521 2 2458541.0323611 849120232 37.5542111457067 54.1859101145472 0.770951526321111 0.957817510526613 21.8559508490981 76.234498370451 0.288624604422864 1.29534656638539 0.68362867228466 18.726000213623 0.0579999983310699 4.08699989318848 0.222000002861023 2458187.019086 2458275.914792 0
 5 850 12 0 ZTF_r 786558434415 0 2.2558 201.762 11.9123 26.3324 4.9209e-06 0.0257101 0.0735623 8.35716e-06 1224 30. 0.045686 0.045463 19.721 26.3324 1 2458541.0584375 850120244 -114.659617030844 50.1777733776713 -2.54187331723807 1.13225181508056 -84.7651146154102 92.565188756496 -0.92190178279423 1.03797345941317 0.778849485975289 18.7709998130798 0.0659999996423721 4.28200006484985 0.246999993920326 2458216.999815 2458310.908715 0
 6 849 9 0 ZTF_g 803468423215 0 4.3314 66.3293 5.16645 26.0445 2.16228e-05 0.0428989 -0.0471166 4.61032e-05 1023 30. 0.079494 0.075777 19.7757 26.0445 1 2458557.9684259 849120132 -10.8276954710029 44.7578317601577 -0.26910501689466 0.943188387422284 -18.362383244551 55.2032596923103 -0.334872524833096 1.21903895444281 1.04807834886119 19.3900000572205 0.0590000003576279 3.94899988174438 0.217999994754791 2458205.978090 2458288.905393 0
 7 849 9 0 ZTF_g 804400553215 0 2.9905 66.0383 8.82285 26.0309 2.10849e-05 0.0436157 -0.0405196 4.46378e-05 1055 30. 0.090377 0.075555 19.5071 26.0309 2 2458558.9005556 849120132 50.9029205030081 50.7572973987644 1.11557561235125 1.04177601069234 -11.9364333592706 74.4184179434785 -0.161476503489146 1.10603064932098 1.04807834886119 19.3900000572205 0.0590000003576279 3.94899988174438 0.217999994754791 2458205.978090 2458288.905393 0
 8 849 9 0 ZTF_g 804436793215 0 2.6475 68.3681 6.39157 26.079 1.24379e-05 0.038195 -0.0623629 2.35509e-05 1242 30. 0.077363 0.064421 20.0036 26.079 2 2458558.936794 849120132 40.2880694912403 35.5060273420234 1.26220290518553 1.03850089998445 131.26065327888 56.6330310050221 2.33335032552053 1.08545611847095 1.04807834886119 19.3900000572205 0.0590000003576279 3.94899988174438 0.217999994754791 2458205.978090 2458288.905393 0
