# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:47:08
#
# Requested input R.A. = 25.226808333333327 degrees
# Requested input Dec. = 45.96245555555556 degrees
# Requested JD start = 2458561.6597685185 days
# Requested JD end = 2459061.6597685185 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 738 5 2 ZTF_r 873467551815 0 2.2389 174.799 11.1783 26.0144 5.9506e-06 0.0385681 0.0921922 1.38233e-05 1756 30. 0.10436 0.065517 19.508 26.0144 2 2458627.9675579 738120218 -2923.89460554897 48.8596964098351 -66.5680370881747 13.7770566421768 -2945.58590566417 85.6638545603743 -34.6169876598636 1.04815901439499 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 1 738 5 2 ZTF_r 873468001815 0 2.0948 176.344 11.2111 26.0093 4.7385e-06 0.034361 0.0985073 1.09882e-05 1759 30. 0.085598 0.059228 19.5419 26.0093 2 2458627.9680093 738120218 -3565.45358287256 50.0303868042879 -79.2749044827789 4.95080487374615 -3117.06837617267 90.6694171830694 -34.6099281160087 1.05074439085609 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 2 738 5 2 ZTF_r 873471281815 0 2.0737 176.731 11.4018 26.0239 2.8895e-06 0.0268205 0.0960536 6.72665e-06 1755 30. 0.057324 0.04936 19.5338 26.0239 2 2458627.9712847 738120218 -2836.83876166189 49.7553531288817 -63.4234176098756 6.46304164425576 -2719.79116410376 90.7734255029154 -30.1642148999763 1.04647884381969 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 3 738 5 2 ZTF_r 873475021815 0 2.1311 178.675 12.1465 26.0349 3.1414e-06 0.0279915 0.0972491 7.29212e-06 1756 30. 0.058446 0.049782 19.4532 26.0349 2 2458627.9750231 738120218 -2413.97775524626 49.8641477434587 -53.8517305604086 3.43991403239044 -2671.61417317563 90.6273966801103 -29.6776443643925 1.04453548556792 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 4 738 5 2 ZTF_r 879460461815 0 2.4167 167.064 8.1989 25.9571 3.5641e-06 0.0298547 0.105738 8.31692e-06 1768 30. 0.089584 0.067006 19.7291 25.9571 2 2458633.960463 738120218 229.485315975537 39.5431604544387 6.45562546071035 4.16780807965816 439.734582977477 65.0028468037203 6.81041281208292 1.05454525241673 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 5 738 5 2 ZTF_r 879463221815 0 1.9315 169.713 8.1599 25.9669 2.1572e-06 0.0231883 0.101945 5.02144e-06 1769 30. 0.066762 0.049998 19.9297 25.9669 2 2458633.9632292 738120218 51.5777232564434 35.4086723680871 1.62034437307646 9.25589215669274 -0.196965323676682 61.3793144313793 -0.00323059809808909 1.04351317008372 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 6 738 5 2 ZTF_r 879465531815 0 2.2711 169.045 8.34738 25.9737 2.7656e-06 0.0263003 0.104201 6.43757e-06 1769 30. 0.061089 0.046917 19.7561 25.9737 2 2458633.9655324 738120218 -315.750499519853 35.9287272007251 -9.7759059573645 6.46804026506635 81.7112370893386 60.7787221259088 1.35345996255024 1.06032862377336 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 7 738 5 2 ZTF_r 879469271815 0 2.2907 170.696 8.68714 25.9837 4.9251e-06 0.0350892 0.0957232 1.14528e-05 1766 30. 0.080147 0.065108 19.759 25.9837 2 2458633.9692708 738120218 -654.119155848297 38.2043869553138 -19.0457655313651 6.05011201815533 -101.451092867982 66.225850237704 -1.54221307010536 1.05135939201031 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 8 738 5 2 ZTF_r 882460281815 0 2.0325 172.797 6.87443 25.9863 2.1662e-06 0.0233966 0.103619 5.01942e-06 1767 30. 0.066295 0.0544 20.0741 25.9863 2 2458636.9602894 738120218 1313.80617758654 36.0496970895403 40.5400687474372 18.1839152707411 1047.18633348681 54.3915774472563 19.382397848544 1.04320619194079 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 9 738 5 2 ZTF_r 882463091815 0 2.1426 175.063 6.93528 26.0026 2.1591e-06 0.0233311 0.0950624 5.01059e-06 1766 30. 0.064977 0.053979 20.045 26.0026 2 2458636.9630903 738120218 692.506851119681 30.1015560679443 25.5911574517754 3.80009663929744 991.792874220941 51.2476763872795 19.48327664158 1.04104956160271 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 10 738 5 2 ZTF_r 882465431815 0 2.1677 174.396 7.02396 26.0046 2.1284e-06 0.0231527 0.104914 4.94049e-06 1770 30. 0.058596 0.050686 20.0139 26.0046 2 2458636.9654398 738120218 843.337646183782 32.610863583616 28.7669612827896 3.07902854944074 947.610133100108 54.5513807212074 17.4879595943266 1.04063224725921 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 11 738 5 2 ZTF_r 882467781815 0 2.2633 176.675 7.31217 26.0117 2.409e-06 0.0245363 0.0997217 5.58212e-06 1757 30. 0.060515 0.048793 19.9637 26.0117 2 2458636.9677894 738120218 457.905039390493 34.3297586808286 14.8374570089378 3.37762893030317 539.394567380184 57.382631203261 9.46327154120892 1.05025892947649 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 12 738 5 2 ZTF_r 885460091815 0 1.8208 182.713 6.87337 26.0511 1.8137e-06 0.0213222 0.0942188 4.20159e-06 1744 30. 0.052728 0.045901 20.2534 26.0511 2 2458639.9600926 738120218 468.228719512688 29.1204010496302 17.8860935342662 15.3079828833402 1048.48918873481 50.0775564269491 21.0783212892079 1.03968926815144 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 13 738 5 2 ZTF_r 885463811815 0 1.7651 184.654 6.98879 26.0605 1.7082e-06 0.0207308 0.0976771 3.9552e-06 1742 30. 0.055111 0.046738 20.265 26.0605 2 2458639.9638194 738120218 512.453125601456 31.9836048322083 17.8230299340229 41.5471412735386 1010.76501379729 53.1553966199332 19.1433539964953 1.03862236773207 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 14 738 5 2 ZTF_r 885467101815 0 1.7532 185.174 7.29763 26.0639 1.5974e-06 0.0200053 0.0963187 3.69518e-06 1732 30. 0.053776 0.045178 20.2261 26.0639 2 2458639.9671065 738120218 943.325544394484 30.4513391844451 34.4595815380477 18.3430765336669 1294.00698744437 52.0630348326543 25.0220180814029 1.03840436470512 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 15 738 5 2 ZTF_r 885470381815 0 1.7634 186.867 7.92219 26.0752 1.7725e-06 0.0210405 0.0944979 4.10372e-06 1737 30. 0.054908 0.047713 20.1379 26.0752 2 2458639.9703819 738120218 1038.84427742773 38.4974643541528 30.0174037902702 25.1582345634275 1091.91771776446 64.8499728559386 16.9509993297757 1.03907458775692 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 16 738 5 2 ZTF_g 889455531815 0 3.1282 75.0635 5.80349 26.0138 6.5378e-06 0.0395715 -0.0430605 1.57082e-05 1681 30. 0.088277 0.062967 19.9317 26.0138 1 2458643.9555324 738120118 550.056431252182 33.0053551131306 18.5386300581647 2.07350784871205 618.077621295205 45.5926225252219 13.6478310562513 1.09496650343903 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 17 738 5 2 ZTF_g 892452751815 0 1.9396 73.0324 5.65765 25.9557 3.38e-06 0.0295516 -0.0343284 7.76941e-06 1742 30. 0.057183 0.04682 20.3177 25.9557 1 2458646.9527546 738120118 202.185850862599 23.0904745181798 9.74030829581308 10.0691047365976 609.898230461922 39.1754434059801 15.673234984771 1.05365973205829 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 18 738 5 2 ZTF_g 895475391815 0 1.7917 76.868 11.4621 26.0172 5.5329e-06 0.0356241 -0.0421173 1.38661e-05 1636 30. 0.0467 0.042535 19.6582 26.0172 1 2458649.9753935 738120118 161.547126241759 44.8285713224083 4.00865923502705 4.81224331593583 409.635202565923 82.9392587215464 4.97224264576644 1.05468888903719 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 19 738 5 2 ZTF_r 898451121815 0 2.1681 184.276 14.3411 26.0787 5.0636e-06 0.035952 0.0906559 1.16528e-05 1740 30. 0.071186 0.052371 19.3175 26.0787 1 2458652.9511227 738120218 -1507.1049220649 61.2311943672124 -27.3795028772143 5.43850515857163 -1528.75560448985 108.346996872862 -14.2048409818767 1.04480367857698 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 20 738 5 2 ZTF_r 901448681815 0 3.2534 199.913 10.8164 26.1548 4.8479e-06 0.034665 0.0987411 1.11761e-05 1704 30. 0.073841 0.057616 19.4138 26.1548 1 2458655.9486806 738120218 -3311.74452720812 59.0347885551929 -62.402733832693 1.88669369020475 -3176.45224714843 83.2362362996974 -38.4189143809412 1.11014381547579 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 21 738 5 2 ZTF_g 901472511815 0 3.6352 85.3452 12.8569 26.1396 1.71643e-05 0.043629 -0.03595 5.25577e-05 981 30. 0.06767 0.056311 19.0924 26.1396 1 2458655.9725116 738120118 -565.017762004947 84.062072099599 -7.47681802528449 1.06192208752839 -646.703654982991 110.968728517795 -5.86705146579141 1.16022235201224 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 22 738 5 2 ZTF_r 904409371815 0 1.8184 187.232 8.76119 26.078 2.0946e-06 0.0226401 0.0972512 4.81647e-06 1687 30. 0.064757 0.043636 20.0204 26.078 1 2458658.909375 738120218 315.230505801752 36.8195154181951 9.52368388115002 18.7987967470359 857.697818295594 65.1288616495831 13.2579388089905 1.04184558813792 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 23 738 5 2 ZTF_g 904471371815 0 2.499 84.2826 9.69976 26.1249 7.2009e-06 0.0402112 -0.0388798 1.81853e-05 1620 30. 0.065134 0.047702 19.6578 26.1249 1 2458658.9713773 738120118 -1345.93154089875 43.8760684832618 -34.123224705188 2.76029742331282 -1084.32667533761 72.3238536252201 -15.0936326421354 1.06999445529119 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 24 738 5 2 ZTF_r 907435721815 0 2.279 198.39 6.95964 26.141 1.8081e-06 0.0211367 0.0915668 4.1794e-06 1717 30. 0.050944 0.041139 20.1902 26.141 1 2458661.9357292 738120218 774.882095650287 31.5955657236807 27.2812516376262 10.0616761647509 706.053480809784 49.2882453851746 14.4214667426478 1.05770936728955 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 25 738 5 2 ZTF_g 907469521815 0 2.4132 85.6981 7.10726 26.1405 4.2593e-06 0.0327844 -0.0396035 9.94996e-06 1715 30. 0.049601 0.041412 20.0896 26.1405 1 2458661.9695255 738120118 -934.733696647191 33.2387051401475 -31.2822947143729 4.47912007080041 -772.615041097447 54.6961312056048 -14.220725135526 1.07886095799716 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 26 738 5 2 ZTF_r 912425341815 0 1.8807 200.55 6.49461 26.1504 1.5955e-06 0.019917 0.094677 3.67993e-06 1723 30. 0.04707 0.039069 20.384 26.1504 1 2458666.9253472 738120218 -2879.80476622113 24.4983160618528 -130.76201789464 32.4316765839907 -2497.08135890438 47.1513760301088 -53.3155033253045 1.04194493931309 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 27 738 5 2 ZTF_r 915433651815 0 1.9832 200.585 6.05314 26.1516 1.6362e-06 0.0202371 0.096833 3.76558e-06 1730 30. 0.057559 0.04442 20.4379 26.1516 1 2458669.9336574 738120218 -2098.14367807483 23.3916711487785 -99.7766172977387 19.4206940513341 -2381.35503580718 43.8430785995332 -54.6812330603515 1.0470941352971 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 28 738 5 2 ZTF_g 915467611815 0 1.9867 85.8442 5.00116 26.1631 2.351e-06 0.024398 -0.0752066 5.42141e-06 1733 30. 0.049403 0.036511 20.6341 26.1631 1 2458669.9676157 738120118 -676.94434803229 21.5309110194205 -34.9740044939272 6.56955830491222 -355.591137209205 38.7772384072217 -9.2318607173053 1.05436232126195 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 29 738 5 2 ZTF_g 918434711815 0 2.532 82.469 4.44733 26.1178 3.1915e-06 0.0285904 -0.0767767 7.33281e-06 1738 30. 0.064114 0.041418 20.4687 26.1178 1 2458672.9347106 738120118 -563.783053748557 20.1145732139093 -31.1785559318105 3.27692994865418 -329.503930135425 33.3400492626724 -9.94969009941637 1.06451778496549 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 30 738 5 2 ZTF_r 918469011815 0 2.0953 204.113 5.61823 26.175 1.7392e-06 0.0209696 0.0910959 3.9921e-06 1731 30. 0.049223 0.039275 20.4297 26.175 1 2458672.9690162 738120218 -2275.96328873676 21.7294041936142 -116.51242335762 16.8658881427512 -2120.71361149879 41.6130970700318 -51.3058842050197 1.03757305608248 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
 31 738 5 2 ZTF_g 921457251815 0 1.9363 86.8141 4.81937 26.1824 2.5316e-06 0.025466 -0.0900423 5.7862e-06 1736 30. 0.050781 0.036446 20.6975 26.1824 1 2458675.9572569 738120118 -1273.44777712464 17.0277435368121 -83.1914780340955 22.2634770625454 -549.269057561579 33.043154698853 -16.734734358932 1.05017419175402 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 32 738 5 2 ZTF_g 924445741815 0 2.0953 86.9175 6.94366 26.1619 3.5865e-06 0.030465 -0.0402726 8.28762e-06 1734 30. 0.049822 0.04083 20.2505 26.1619 1 2458678.9457407 738120118 63.5619040689184 31.2329395675505 2.26380408219214 8.30651456116422 417.711274642284 52.5451976202613 8.00310215120072 1.06527864961527 0.226027776404665 15.6879999160767 0.0270000007003546 1.57400000095367 -0.0610000006854534 2458279.969271 2458343.924051 0
 33 738 5 2 ZTF_r 924487071815 0 1.557 210.216 8.21147 26.2059 1.5828e-06 0.02003 0.0922557 3.62582e-06 1745 30. 0.048512 0.049678 20.3164 26.2059 1 2458678.9870718 738120218 -3835.1510727337 30.3773368634355 -140.438952023483 72.8370239997183 -2954.53698933252 60.0174166757049 -49.5595467231888 1.03231155929906 0.221202120363301 14.9869998931885 0.0219999998807907 1.05299997329712 -0.00899999961256981 2458288.969167 2458372.854062 0
