# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 07:17:45
#
# Requested input R.A. = 67.67270416666666 degrees
# Requested input Dec. = 72.20375555555556 degrees
# Requested JD start = 2458580.7942592595 days
# Requested JD end = 2459080.7942592595 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 837 16 1 ZTF_r 827145116115 0 2.0225 59.9964 12.7965 24.5032 1.9951e-05 0.0479548 0.0861791 4.12157e-05 1358 30. 0.045985 0.046233 17.9088 24.5032 1 2458581.6451157 837120261 -28.746199637024 48.9061827944162 -0.653839978566408 1.15653498684707 -32.5822841803022 88.9015579553626 -0.368966849325014 1.0625873093653 0.147105923240423 15.8770002365112 0.0149999996647239 0.64300000667572 -0.0419999994337559 2458218.707731 2458364.988912 0
 1 837 16 1 ZTF_r 827146036115 0 1.9466 76.3834 12.1914 24.7923 1.36327e-05 0.0433619 0.079863 2.78595e-05 1676 30. 0.046031 0.045527 18.2971 24.7923 3 2458581.6460301 837120261 -141.756907807127 48.8254743339212 -3.22962844312257 1.25695773009559 -1.06646899350241 91.2379009719325 -0.0117676065768231 1.05816786609312 0.147105923240423 15.8770002365112 0.0149999996647239 0.64300000667572 -0.0419999994337559 2458218.707731 2458364.988912 0
 2 837 16 1 ZTF_g 827194796115 0 3.0162 163.127 6.74959 25.694 1.63262e-05 0.0462701 -0.0404959 3.58787e-05 1874 30. 0.065706 0.068529 19.4732 25.694 3 2458581.6947917 837120161 131.322711187307 42.3684646855078 3.44787819346951 1.02392899335822 145.459379191167 62.0825573411087 2.35877938588148 1.1131702267386 0.138197730974585 16.5210000991821 0.017000000923872 0.569000005722046 0.0149999996647239 2458227.679931 2458364.968935 0
 3 837 16 1 ZTF_g 827195706115 0 2.8892 161.116 6.72481 25.6907 1.46997e-05 0.0455333 -0.0556023 3.16828e-05 1952 30. 0.06784 0.068016 19.491 25.6907 1 2458581.695706 837120161 -99.5839548569935 37.7315978886445 -2.93588454945355 1.73364827190746 120.899967097994 58.3132923322316 2.08724684311972 1.09246551682831 0.138197730974585 16.5210000991821 0.017000000923872 0.569000005722046 0.0149999996647239 2458227.679931 2458364.968935 0
 4 836 13 1 ZTF_g 828132334915 0 1.9864 110.507 12.4983 25.7593 2.19523e-05 0.052238 -0.0429672 4.86438e-05 1647 30. 0.041039 0.042544 19.2105 25.7593 1 2458582.632338 836120149 738.599322981348 59.311833002066 13.8523150522571 1.18044183173765 598.70729440616 102.05842010174 5.9058294443486 1.11488922833009 0.20740005626259 16.6099998474121 0.0179999992251396 0.879000008106232 -0.0149999996647239 2458307.970579 2458373.929444 0
 5 837 16 1 ZTF_g 828156846115 0 2.3533 181.124 6.86434 25.8137 9.6119e-06 0.038219 -0.053677 2.03404e-05 2034 30. 0.050579 0.043468 19.7859 25.8137 3 2458582.6568403 837120161 -210.907061138202 34.8892344776526 -6.7244145736109 3.49468706887701 -365.185314188505 58.1767583040288 -6.3194455828765 1.09140443398486 0.138197730974585 16.5210000991821 0.017000000923872 0.569000005722046 0.0149999996647239 2458227.679931 2458364.968935 0
 6 836 13 1 ZTF_r 828178414915 0 2.0832 238.355 10.1521 25.8941 3.1922e-06 0.022275 0.0728111 6.6628e-06 1961 30. 0.04307 0.040503 19.5334 25.8941 1 2458582.6784144 836120249 -221.708829271211 46.8324098811281 -5.26612645646899 1.81617582943195 -494.974384480411 83.7959918763182 -5.94668138988902 1.06862112756276 0.15388126311913 15.9609998703003 0.0179999992251396 0.60699999332428 -0.0160000007599592 2458216.646586 2458447.906551 0
 7 837 16 1 ZTF_r 828190206115 0 2.2946 199.187 8.76094 25.8411 3.9771e-06 0.0241956 0.0708207 8.49947e-06 2060 30. 0.04993 0.039467 19.5843 25.8411 3 2458582.6902083 837120261 -1219.08665387755 37.7499550238809 -35.9230282109895 1.474155268766 -1325.00496776849 66.6900669807103 -20.0019135210388 1.05502787502397 0.147105923240423 15.8770002365112 0.0149999996647239 0.64300000667572 -0.0419999994337559 2458218.707731 2458364.988912 0
 8 837 16 1 ZTF_r 830161526115 0 2.7283 204.944 8.83519 25.872 5.67e-06 0.0286195 0.0716768 1.21645e-05 2044 30. 0.053971 0.059918 19.4631 25.872 3 2458584.6615278 837120261 -85.8693500157853 43.6732561512693 -2.18714413169323 1.17702672176738 42.5251117911512 69.0364274070341 0.620129437077171 1.0744118605976 0.147105923240423 15.8770002365112 0.0149999996647239 0.64300000667572 -0.0419999994337559 2458218.707731 2458364.988912 0
