# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 21:13:22
#
# Requested input R.A. = 116.81724166666665 degrees
# Requested input Dec. = 85.20240555555556 degrees
# Requested JD start = 2458583.7350578704 days
# Requested JD end = 2459083.7350578704 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 871 10 0 ZTF_g 959479623615 0 2.2873 268.289 12.1237 26.0248 1.5178e-05 0.0378151 -0.068801 3.30498e-05 749 30. 0.053484 0.053679 19.412 26.0248 1 2458713.9796296 871120136 60.0332953688825 58.2673910238588 1.14609709561071 0.974273725674907 -123.906504257508 100.01224404414 -1.24725750216722 1.05932538157612 0.0260944356950996 18.9389998435974 0.0240000002086163 0.635999977588654 0.0500000007450581 2458713.979630 2458769.992940 0
 1 871 10 0 ZTF_r 962463943615 0 1.8208 610.434 8.84827 26.104 4.6459e-06 0.0246857 0.105147 7.68277e-06 978 30. 0.050999 0.049478 20.098 26.104 1 2458716.9639468 871120236 180.347940043309 29.8154239744825 6.72860444005974 1.15001645345608 128.356032357668 56.2791015834817 2.29606575060319 1.04859735932858 0.0109510839653186 18.2909997940063 0.025000000372529 1.01999998092651 0.0710000023245811 2458716.963947 2458773.861678 0
 2 871 10 0 ZTF_r 965469953615 0 2.5428 568.967 7.78252 26.0357 6.5557e-06 0.0294022 0.106705 1.08393e-05 981 30. 0.055622 0.067356 19.7813 26.0357 1 2458719.9699537 871120236 191.541989016525 43.5727430917665 4.88994407806282 1.01796793749983 185.201974253919 71.5674256372397 2.60522603050123 1.0608759476867 0.0109510839653186 18.2909997940063 0.025000000372529 1.01999998092651 0.0710000023245811 2458716.963947 2458773.861678 0
 3 871 10 0 ZTF_g 965492993615 0 2.8494 266.166 6.94563 26.0006 1.38742e-05 0.0391082 -0.0759265 2.74214e-05 838 30. 0.061507 0.066465 19.7532 26.0006 1 2458719.9929977 871120136 104.412638127197 38.0495398697408 3.05251959711676 1.01610062450217 214.514726989442 58.3674352205444 3.69999975503098 1.07097814561241 0.0260944356950996 18.9389998435974 0.0240000002086163 0.635999977588654 0.0500000007450581 2458713.979630 2458769.992940 0
 4 871 10 0 ZTF_g 968443563615 0 1.7197 261.529 5.20245 25.971 6.5204e-06 0.0293667 -0.0703244 1.08205e-05 977 30. 0.047842 0.04978 20.524 25.971 1 2458722.9435648 871120136 116.535204445079 20.0131331077078 6.47734246927405 1.01768547029977 104.600562411227 37.6546346179903 2.79660271001378 1.04801559920516 0.0260944356950996 18.9389998435974 0.0240000002086163 0.635999977588654 0.0500000007450581 2458713.979630 2458769.992940 0
 5 871 10 0 ZTF_r 968491813615 0 1.5379 582.772 6.31192 26.0477 4.0399e-06 0.0228706 0.0969974 6.64764e-06 967 30. 0.050191 0.056744 20.2988 26.0477 1 2458722.9918171 871120236 238.983037904356 22.0267277544587 12.0690168754626 1.13761835625195 200.913211179299 41.9739946567508 4.818849739468 1.0348088484174 0.0109510839653186 18.2909997940063 0.025000000372529 1.01999998092651 0.0710000023245811 2458716.963947 2458773.861678 0
 6 871 10 0 ZTF_g 971419833615 0 1.8339 271.457 5.14953 26.0155 7.136e-06 0.0304627 -0.0818636 1.19542e-05 970 30. 0.056384 0.0493 20.539 26.0155 1 2458725.919838 871120136 83.1869898401416 21.6918636849302 4.26592625887671 1.03184729812064 31.717741676999 40.3549631232565 0.791262338526806 1.05264713736777 0.0260944356950996 18.9389998435974 0.0240000002086163 0.635999977588654 0.0500000007450581 2458713.979630 2458769.992940 0
 7 871 10 0 ZTF_r 971492123615 0 1.4689 603.838 6.35659 26.0949 3.8854e-06 0.0225224 0.0965341 6.43899e-06 967 30. 0.054826 0.060833 20.3404 26.0949 1 2458725.9921296 871120236 158.708714223555 25.7808391020926 6.84791759957936 0.963341363609394 141.271140034244 50.2550284750145 2.83001748493897 1.03959454241471 0.0109510839653186 18.2909997940063 0.025000000372529 1.01999998092651 0.0710000023245811 2458716.963947 2458773.861678 0
 8 871 10 0 ZTF_g 978408223615 0 1.7701 262.327 4.94154 25.9728 6.4208e-06 0.0291507 -0.0753431 1.0693e-05 977 30. 0.049559 0.049438 20.5574 25.9728 1 2458732.9082292 871120136 24.7250471161177 21.0857215786083 1.30437798801734 0.971042394566073 -2.14842020446046 40.4786749950104 -0.0534328245283047 1.04613087265188 0.0260944356950996 18.9389998435974 0.0240000002086163 0.635999977588654 0.0500000007450581 2458713.979630 2458769.992940 0
