# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:41:06
#
# Requested input R.A. = 65.98458333333333 degrees
# Requested input Dec. = -19.47186111111111 degrees
# Requested JD start = 2458920.9253009027 days
# Requested JD end = 2459420.9253009027 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 303 2 1 ZTF_g 1338472810515 0 2.7987 449.516 10.9595 26.1244 1.96259e-05 0.0358413 -0.0452011 3.82406e-05 395 30. 0.077075 0.093796 19.4105 26.1244 1 2459092.9728125 303120105 3.02461025705799 59.7838829462017 0.056278187592237 0.972619699511224 -19.0947772452537 92.6493518829292 -0.207485333442021 1.0579149225288 0.40234374219678 18.843000125885 0.0399999991059303 2.42700004577637 0.13400000333786 2458344.982315 2458464.737211 0
 1 1295 9 0 ZTF_g 1338473283215 0 3.0259 266.593 10.0365 26.0049 3.21976e-05 0.044526 -0.0117589 6.65329e-05 375 30. 0.07037 0.092487 19.356 26.0049 2 2459092.973287 1295120132 61.9924216546458 60.2677273631544 1.14421750597825 1.04887113659429 44.9567007698697 88.7349752519656 0.51005239599852 1.10011328701322 0.234272431021843 18.9969999313354 0.0590000003576279 3.44700002670288 0.287000000476837 2458768.942951 2459167.889699 0
 2 1295 9 0 ZTF_g 1338473743215 0 2.5359 266.572 9.84858 26.0052 2.20363e-05 0.038722 -0.019251 4.36262e-05 418 30. 0.066295 0.088554 19.5607 26.0052 3 2459092.97375 1295120132 -25.2534945028601 48.0518441259326 -0.584609979260146 1.04109009439476 -16.4214651804512 77.5030303836214 -0.213308623048922 1.07896443608067 0.234272431021843 18.9969999313354 0.0590000003576279 3.44700002670288 0.287000000476837 2458768.942951 2459167.889699 0
 3 303 2 1 ZTF_r 1340443130515 0 1.898 321.241 21.6857 26.004 1.79192e-05 0.0374772 0.10962 2.74313e-05 497 30. 0.062275 0.090473 18.8779 26.004 1 2459094.9431366 303120205 -7.43273848372322 82.9538015848273 -0.0996706660016294 1.10847373856261 94.3364816901193 161.726649473491 0.587236819850833 1.03799971682015 0.30700926734807 18.0709995269775 0.0579999983310699 4.35500001907349 0.395999997854233 2458357.998553 2458448.875174 0
 4 303 2 1 ZTF_g 1340500840515 0 2.1278 408.414 19.9061 26.019 2.99013e-05 0.0398904 -0.0333919 6.41674e-05 332 30. 0.054869 0.069718 18.8969 26.019 1 2459095.0008449 303120105 14.4330769930916 78.6197047244874 0.204212499538628 1.02485238777652 -48.2904234538369 146.125242058151 -0.332698591628932 1.03903420311733 0.40234374219678 18.843000125885 0.0399999991059303 2.42700004577637 0.13400000333786 2458344.982315 2458464.737211 0
 5 303 2 1 ZTF_r 1342442700515 0 2.2896 380.083 15.4274 26.1644 1.69046e-05 0.0372914 0.108416 2.56513e-05 527 30. 0.061264 0.072243 19.2562 26.1644 1 2459096.9427083 303120205 -89.731117751177 71.1461272845224 -1.40296427959674 0.99324396900943 -115.622528709395 124.181701906693 -0.937346253959744 1.04916909616175 0.30700926734807 18.0709995269775 0.0579999983310699 4.35500001907349 0.395999997854233 2458357.998553 2458448.875174 0
 6 1295 9 0 ZTF_r 1342450723215 0 2.3851 308.031 14.4841 26.1177 1.56608e-05 0.0358526 0.122136 2.46283e-05 529 30. 0.062914 0.071782 19.3048 26.1177 2 2459096.9507292 1295120232 -33.202071219716 67.7547219112449 -0.545105307700102 1.0628878755751 -132.679239280426 113.927970035672 -1.17243238467994 1.06283138132362 0.289831603235356 17.9559997558594 0.0450000017881393 3.4300000667572 0.186000004410744 2459096.950729 2459173.809664 0
 7 1295 9 0 ZTF_r 1342451203215 0 2.1604 308.576 14.3924 26.1208 1.30177e-05 0.0327681 0.11693 2.04226e-05 532 30. 0.064967 0.074049 19.4506 26.1208 3 2459096.9512037 1295120232 -40.1444764694367 59.6591915046301 -0.748519702189154 0.95165895182003 -54.4723226293566 105.878849338839 -0.517942886598875 1.05756783567429 0.289831603235356 17.9559997558594 0.0450000017881393 3.4300000667572 0.186000004410744 2459096.950729 2459173.809664 0
 8 303 2 1 ZTF_g 1343453500515 0 2.2828 437.958 16.5792 26.1001 2.81166e-05 0.0410603 -0.0233267 5.71666e-05 362 30. 0.06413 0.065291 19.1059 26.1001 3 2459097.9535069 303120105 94.1140422202464 78.2341594663941 1.3381746763399 0.901990211029698 93.3363048567164 139.134157340088 0.675354866385123 1.04294610633699 0.40234374219678 18.843000125885 0.0399999991059303 2.42700004577637 0.13400000333786 2458344.982315 2458464.737211 0
