# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 10:29:19
#
# Requested input R.A. = 264.8481291666666 degrees
# Requested input Dec. = 64.92165 degrees
# Requested JD start = 2458617.0353703704 days
# Requested JD end = 2459117.0353703704 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 825 13 1 ZTF_r 863303984915 0 1.54 159.306 8.24331 26.0194 4.8755e-06 0.0250581 0.0955996 7.96383e-06 872 30. 0.04079 0.060257 20.0595 26.0194 2 2458617.8039815 825120249 null null null null null null null null null null null null null 2458186.911944 2458218.917315 56,57
 1 826 16 1 ZTF_r 863324316115 0 1.7669 135.688 7.16049 25.8909 4.8214e-06 0.0249063 0.0917232 7.99524e-06 874 30. 0.039949 0.051872 20.0415 25.8909 2 2458617.8243171 826120261 47.2919815172756 30.1846246356742 1.74283604267043 1.02518669704477 36.1811004746848 57.0748037050463 0.638193737052443 1.0620314761338 2.7501408513359 19.198999786377 0.137999996542931 5.74200010299683 0.462999999523163 2458187.016643 2458247.927546 0
 2 825 13 1 ZTF_r 863328024915 0 1.6555 159.397 8.09182 26.0231 3.7852e-06 0.022059 0.0906707 6.15236e-06 870 30. 0.038051 0.052045 20.0546 26.0231 2 2458617.8280208 825120249 null null null null null null null null null null null null null 2458186.911944 2458218.917315 56,57
 3 825 13 1 ZTF_r 863343914915 0 1.659 160.492 7.94927 26.0327 3.8615e-06 0.0223221 0.0888418 6.28501e-06 871 30. 0.040834 0.053837 20.0801 26.0327 2 2458617.843912 825120249 null null null null null null null null null null null null null 2458186.911944 2458218.917315 56,57
 4 826 16 1 ZTF_r 863346186115 0 1.6518 136.535 7.04656 25.8889 5.0161e-06 0.0254739 0.0909462 8.29395e-06 877 30. 0.040771 0.054665 20.1016 25.8889 2 2458617.8461806 826120261 47.1261501062574 30.6409265047406 1.71086156629166 1.22782545118425 100.863704478566 59.0406994030536 1.71988185028448 1.06153637597499 2.7501408513359 19.198999786377 0.137999996542931 5.74200010299683 0.462999999523163 2458187.016643 2458247.927546 0
 5 826 16 1 ZTF_r 863364736115 0 1.812 136.645 6.78203 25.8987 4.54e-06 0.0242699 0.0923798 7.51482e-06 875 30. 0.041715 0.051864 20.0935 25.8987 2 2458617.8647338 826120261 -10.0391811870926 30.4209166736419 -0.36709696759588 0.930443748719977 -106.038505256081 59.1397725847158 -1.80509115987851 1.0518874101088 2.7501408513359 19.198999786377 0.137999996542931 5.74200010299683 0.462999999523163 2458187.016643 2458247.927546 0
 6 826 16 1 ZTF_g 863400176115 0 1.9549 73.3673 6.37853 26.0111 1.03853e-05 0.0364784 -0.0769457 1.74979e-05 862 30. 0.040696 0.05258 20.2299 26.0111 2 2458617.9001736 826120161 -45.5444287795976 28.4578484658372 -1.78027870952639 1.03274521043317 -128.382233576115 53.4207656337281 -2.41941300863926 1.05233584662436 3.05713757730334 19.5909997940063 0.0799999982118607 3.28500008583069 0.170000001788139 2458203.872778 2458231.992651 0
 7 825 13 1 ZTF_g 863401084915 0 1.5545 83.9758 7.14767 26.1207 8.5968e-06 0.0332499 -0.0646171 1.43925e-05 858 30. 0.041955 0.060448 20.2723 26.1207 2 2458617.901088 825120149 null null null null null null null null null null null null null 2458203.894537 2458231.995394 56,57
 8 825 13 1 ZTF_g 863432324915 0 1.7131 85.8256 4.43442 26.1349 5.7572e-06 0.027478 -0.0718694 9.42398e-06 874 30. 0.039487 0.054147 20.7321 26.1349 2 2458617.9323264 825120149 null null null null null null null null null null null null null 2458203.894537 2458231.995394 56,57
