# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:03:35
#
# Requested input R.A. = 99.74409583333332 degrees
# Requested input Dec. = 59.064433333333334 degrees
# Requested JD start = 2458616.878993056 days
# Requested JD end = 2459116.878993056 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 813 3 3 ZTF_r 878165941115 0 2.6612 244.326 13.1585 25.9527 6.0532e-06 0.0379584 0.0956735 1.12982e-05 1582 30. 0.055049 0.070162 19.0928 25.9527 2 2458632.6659491 813120211 -51.1863501664525 67.4922593280669 -0.843635794171975 0.953437917234418 -34.2311855834942 108.489491225319 -0.317650439675438 1.05162574770415 0.851922085244223 22.6190001010895 0.300000011920929 0.778999984264374 0.028999999165535 2458160.729190 2458366.009005 0
 1 813 3 3 ZTF_g 959494361115 0 2.406 160.339 12.435 26.1117 7.7585e-06 0.036837 -0.0661536 1.89261e-05 1310 30. 0.047036 0.053243 19.4006 26.1117 3 2458713.9943634 813120111 58.0764261402809 55.9369523711461 1.15493058746009 0.956669829957804 145.341415390942 96.2044173841703 1.52093118137713 1.0443779960547 0.877543116318666 22.2960001945496 0.186000004410744 0.958999991416931 0.123999997973442 2458227.678519 2458370.970822 0
 2 813 3 3 ZTF_g 959496241115 0 2.3702 162.005 12.5625 26.1278 8.2041e-06 0.0388218 -0.080867 1.9526e-05 1344 30. 0.046799 0.047224 19.408 26.1278 1 2458713.99625 813120111 -79.0594845285298 56.2100117476799 -1.56457037777698 0.945132869669982 -116.831955424409 98.8796991506105 -1.18951439351525 1.04118454629994 0.877543116318666 22.2960001945496 0.186000004410744 0.958999991416931 0.123999997973442 2458227.678519 2458370.970822 0
 3 813 3 3 ZTF_r 962492661115 0 1.8636 271.639 8.85554 26.0759 1.8801e-06 0.0213956 0.0823447 3.51211e-06 1624 30. 0.047748 0.038889 19.9487 26.0759 1 2458716.992662 813120211 29.5045093684174 29.8453118457278 1.09968190056612 1.11969488579775 11.0233638566364 57.1213149352085 0.194281361677806 1.0379614400545 0.851922085244223 22.6190001010895 0.300000011920929 0.778999984264374 0.028999999165535 2458160.729190 2458366.009005 0
 4 813 3 3 ZTF_r 965470901115 0 2.5629 239.258 8.79408 25.9457 3.5533e-06 0.0295129 0.0890959 6.6541e-06 1628 30. 0.060852 0.061894 19.5918 25.9457 1 2458719.9709028 813120211 25.5744313750258 43.8913607320522 0.648159278284278 0.924088209749005 5.38989716651587 72.5258010151875 0.0748174905769507 1.05347862383088 0.851922085244223 22.6190001010895 0.300000011920929 0.778999984264374 0.028999999165535 2458160.729190 2458366.009005 0
 5 813 3 3 ZTF_g 965493941115 0 3.3746 155.526 7.80065 26.0906 1.04344e-05 0.0419218 -0.0587266 2.55624e-05 1255 30. 0.06779 0.057966 19.6124 26.0906 1 2458719.9939468 813120111 -66.8280156947776 49.5931476881659 -1.49896569258237 0.996101209130408 -94.3035794878766 67.8268454611266 -1.39972187820363 1.12387805422975 0.877543116318666 22.2960001945496 0.186000004410744 0.958999991416931 0.123999997973442 2458227.678519 2458370.970822 0
 6 813 3 3 ZTF_g 968467961115 0 2.0461 156.427 5.44066 26.1026 3.2938e-06 0.028336 -0.104913 6.20816e-06 1622 30. 0.041826 0.042621 20.4183 26.1026 1 2458722.967963 813120111 -16.7688976829703 20.2862898234449 -0.919510494205842 0.921511634873814 19.9603523399703 39.3804654356747 0.510272954854241 1.02870133500908 0.877543116318666 22.2960001945496 0.186000004410744 0.958999991416931 0.123999997973442 2458227.678519 2458370.970822 0
 7 813 3 3 ZTF_r 968492901115 0 1.5793 260.845 6.16616 26.0318 1.5965e-06 0.0196062 0.0845737 2.9864e-06 1614 30. 0.037401 0.049309 20.4028 26.0318 1 2458722.9929051 813120211 -51.0527428375601 21.0725098221749 -2.69499284137844 0.920917027063902 -95.643475167205 42.7819389697641 -2.25066095165405 1.02674064652479 0.851922085244223 22.6190001010895 0.300000011920929 0.778999984264374 0.028999999165535 2458160.729190 2458366.009005 0
 8 813 3 3 ZTF_g 971469471115 0 2.1849 162.615 5.10341 26.1612 3.4216e-06 0.0287855 -0.121547 6.41758e-06 1621 30. 0.051225 0.040697 20.4875 26.1612 1 2458725.9694792 813120111 -14.2654859778368 19.9354523717969 -0.796004049766142 0.975628023862788 -21.8683365173358 37.4011815189099 -0.58863437270937 1.03045425320956 0.877543116318666 22.2960001945496 0.186000004410744 0.958999991416931 0.123999997973442 2458227.678519 2458370.970822 0
