# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 19:53:39
#
# Requested input R.A. = 241.77166249999996 degrees
# Requested input Dec. = 65.69715555555555 degrees
# Requested JD start = 2458624.0300462963 days
# Requested JD end = 2459124.0300462963 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 824 16 0 ZTF_r 873370696015 0 1.6792 153.282 5.85622 26.0068 1.00886e-05 0.0260752 0.0992209 1.54707e-05 448 30. 0.049172 0.053079 20.4068 26.0068 2 2458627.8706944 824120260 7.48397278243623 24.5379952267212 0.339271924923354 0.988114119740045 79.0760126593672 49.4631037205098 1.60945408124985 1.0434066687204 0.697801893924341 17.8790000915527 0.0790000036358833 6.24499988555908 0.578000009059906 2458186.909537 2458218.976933 0
 1 824 16 0 ZTF_r 873391786015 0 1.9704 152.395 6.03218 26.005 8.6926e-06 0.0241448 0.0942976 1.33821e-05 448 30. 0.054006 0.055921 20.2459 26.005 2 2458627.8917824 824120260 48.5211728544486 27.4335493816152 1.9674517499642 1.07036551451675 17.1060513377453 50.9970898669837 0.337691064776803 1.0536481651061 0.697801893924341 17.8790000915527 0.0790000036358833 6.24499988555908 0.578000009059906 2458186.909537 2458218.976933 0
 2 824 16 0 ZTF_r 873392766015 0 1.938 152.193 6.01488 26.0013 8.2579e-06 0.0234731 0.097663 1.26882e-05 448 30. 0.052716 0.054857 20.2843 26.0013 1 2458627.8927662 824120260 -30.4176719001318 26.3918606838992 -1.28206711934465 1.020208105237 -6.73659711669329 50.8737754430838 -0.133309714618118 1.05072030373328 0.697801893924341 17.8790000915527 0.0790000036358833 6.24499988555908 0.578000009059906 2458186.909537 2458218.976933 0
 3 847 4 3 ZTF_r 873415681515 0 1.4571 153.976 6.72021 26.0397 7.4934e-06 0.0248846 0.0937363 1.16385e-05 546 30. 0.063222 0.063239 20.337 26.0397 1 2458627.9156829 847120215 null null null null null null null null 0.811502342292281 17.8090003967285 0.0829999968409538 6.84200000762939 0.435999989509583 2458218.844144 2458226.994896 61
 4 824 16 0 ZTF_r 873416136015 0 1.8022 152.222 6.188 25.9909 8.9384e-06 0.0244572 0.0980529 1.37301e-05 448 30. 0.049947 0.055087 20.2857 25.9909 2 2458627.9161343 824120260 -17.6070216876206 25.5594919988905 -0.76628175003602 1.07231479473827 28.3152583791228 49.538552468839 0.575429879412666 1.05158987706838 0.697801893924341 17.8790000915527 0.0790000036358833 6.24499988555908 0.578000009059906 2458186.909537 2458218.976933 0
 5 824 16 0 ZTF_i 873443176015 0 1.6105 186.82 5.4823 25.3134 3.5471e-06 0.0234205 0.194103 1.59357e-05 451 30. 0.056559 0.062355 19.8294 25.3134 2 2458627.9431713 824120360 14.4356801903191 21.7783063041605 0.737340266313722 0.976328088148628 -65.2489429596413 42.7460701610053 -1.53671198538597 1.05214548983793 0.575250380731463 17.5579997634888 0.0820000022649765 5.57999992370605 0.46900001168251 2458232.845683 2458379.615521 0
 6 847 4 3 ZTF_i 873443631515 0 1.3952 182.105 5.84525 25.3397 3.1701e-06 0.0249005 0.18538 1.38765e-05 549 30. 0.068066 0.075452 19.8177 25.3397 2 2458627.9436343 847120315 null null null null null null null null 4.98617069597914 20.8839999771118 0.291999995708466 1.65499997138977 0.155000001192093 2458232.827130 2458557.031412 61
 7 847 4 2 ZTF_r 874370351415 0 1.8637 138.198 6.17766 25.8691 1.01904e-05 0.0271315 0.106782 1.54158e-05 481 30. 0.059532 0.056091 20.1598 25.8691 2 2458628.8703588 847120214 null null null null null null null null null null null null null 2458187.008310 2458226.994896 57,61
 8 824 16 0 ZTF_r 874370816015 0 1.9784 150.033 5.69878 25.972 8.5395e-06 0.0241242 0.098384 1.32233e-05 451 30. 0.05083 0.055281 20.3224 25.972 2 2458628.8708102 824120260 75.6385984083322 27.800635527867 3.0265200107688 0.952979626120511 78.703681816773 51.3065864841435 1.54431937635347 1.06090026745852 0.697801893924341 17.8790000915527 0.0790000036358833 6.24499988555908 0.578000009059906 2458186.909537 2458218.976933 0
