# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:34:04
#
# Requested input R.A. = 105.40607083333332 degrees
# Requested input Dec. = 47.78015833333333 degrees
# Requested JD start = 2458624.750208333 days
# Requested JD end = 2459124.750208333 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 746 9 3 ZTF_r 878162523515 0 2.6594 225.497 17.708 26.0556 7.6114e-06 0.0408934 0.106718 1.47013e-05 1479 30. 0.053695 0.069995 18.8504 26.0556 2 2458632.6625231 746120235 9.24678579172606 88.25963453706 0.116542270084969 1.09501070188708 -18.5066743537338 142.496896869565 -0.130748937552937 1.06017830701993 1.75180460017559 22.6039999961853 0.300000011920929 0.839999973773956 -0.238999992609024 2458154.720671 2458362.951852 0
 1 747 12 2 ZTF_r 878164984615 0 2.9915 132.016 14.4744 25.997 7.3585e-06 0.0409796 0.123034 1.43922e-05 1521 30. 0.061097 0.072647 18.9538 25.997 2 2458632.6649884 747120246 -118.599817200871 85.5184014357717 -1.54269206813679 0.955416499726034 -91.0860601876904 127.710538922567 -0.718026333749022 1.07458311621306 null null null null null 2458154.687604 2458247.722141 57
 2 746 9 3 ZTF_r 878166433515 0 2.649 220.335 13.9852 26.0218 5.9706e-06 0.0372295 0.104343 1.12888e-05 1557 30. 0.055701 0.066605 19.0629 26.0218 2 2458632.6664352 746120235 51.3737904435279 80.5818163725037 0.709184701572396 1.13382672711199 74.8997858147612 129.469979479553 0.582407137814402 1.06061059180962 1.75180460017559 22.6039999961853 0.300000011920929 0.839999973773956 -0.238999992609024 2458154.720671 2458362.951852 0
 3 747 12 2 ZTF_r 878168904615 0 2.5838 129.782 12.3626 25.9862 5.7256e-06 0.0371769 0.105345 1.11978e-05 1610 30. 0.0536 0.065288 19.2028 25.9862 2 2458632.6689005 747120246 -141.925003412301 65.6119739313052 -2.40619384068252 0.954720932904507 -283.926426064343 104.657785255193 -2.73117462004944 1.05963089863744 null null null null null 2458154.687604 2458247.722141 57
 4 747 12 2 ZTF_r 878171824615 0 3.026 127.947 11.5423 25.9815 8.952e-06 0.0461461 0.103763 1.74564e-05 1586 30. 0.063564 0.085749 19.1685 25.9815 2 2458632.6718287 747120246 -66.2803670374019 65.670467509473 -1.12271518795367 0.975599246545834 -58.4224225351169 96.6441728694635 -0.608581967912973 1.08063851577284 null null null null null 2458154.687604 2458247.722141 57
 5 747 12 2 ZTF_r 878174754615 0 2.718 127.493 11.4178 25.9683 5.163e-06 0.0353731 0.103333 1.01032e-05 1611 30. 0.064373 0.075075 19.269 25.9683 2 2458632.6747569 747120246 11.0903808148805 64.0393451911119 0.19264350774008 0.933665226767202 -133.752869152293 100.244839531347 -1.34324822156442 1.06395379168057 null null null null null 2458154.687604 2458247.722141 57
 6 747 12 2 ZTF_r 884166224615 0 2.6152 124.388 19.0239 25.9479 7.8383e-06 0.0406927 0.0923157 1.59793e-05 1429 30. 0.065708 0.060365 18.7017 25.9479 2 2458638.6662269 747120246 -28.2548981903552 89.6108525923377 -0.350742132759354 1.08244879893989 -226.683137151633 147.498189359436 -1.54720449188988 1.05108110100484 null null null null null 2458154.687604 2458247.722141 57
 7 747 12 2 ZTF_r 884169514615 0 2.5557 126.426 15.4409 25.9287 6.5747e-06 0.0389011 0.11137 1.27781e-05 1539 30. 0.055834 0.058837 18.933 25.9287 2 2458638.6695139 747120246 -98.9251566056834 75.8659469944893 -1.4504897503949 1.01346390409205 -172.866153649393 122.331041327956 -1.4226186195334 1.06311006466736 null null null null null 2458154.687604 2458247.722141 57
 8 747 12 2 ZTF_r 884172804615 0 2.5962 124.093 13.4293 25.9187 5.6907e-06 0.0367514 0.113266 1.10848e-05 1588 30. 0.059118 0.057417 19.087 25.9187 2 2458638.6728009 747120246 71.2166624562189 71.2172856311102 1.11237443926719 0.960508875789123 -72.9059454269519 113.366338405105 -0.64743178792422 1.06605690469029 null null null null null 2458154.687604 2458247.722141 57
