# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 16:11:14
#
# Requested input R.A. = 199.70522916666664 degrees
# Requested input Dec. = 43.938538888888885 degrees
# Requested JD start = 2458650.8631018517 days
# Requested JD end = 2459150.8631018517 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 717 15 0 ZTF_g 897178075615 0 1.681 185.347 14.0903 26.1834 2.83759e-05 0.035543 -0.0342171 5.27428e-05 227 30. 0.076401 0.087461 19.6469 26.1834 2 2458651.6780787 717120156 32.2927691103089 61.1650738537189 0.587295379492161 1.04830486814409 -329.402374224485 114.002598004237 -2.90888913035733 1.08640582329373 0.958455433386542 18.0760004043579 0.0529999993741512 4.57200002670288 0.224000006914139 2458166.949201 2458204.894977 0
 1 756 1 3 ZTF_g 897178540315 0 1.8798 166.085 13.5194 26.0281 4.03971e-05 0.0385011 -0.044681 6.80636e-05 202 30. 0.077408 0.079793 19.4485 26.0281 2 2458651.6785417 756120103 23.6683212989523 58.3328075092294 0.451345771592084 0.917383027801191 -26.1092774886935 110.358981147917 -0.238178394738387 1.05419498273108 1.01645567613577 18.1709997177124 0.046000000089407 4.17399978637695 0.140000000596046 2458166.947720 2458204.894514 0
 2 757 4 2 ZTF_g 897179491415 0 1.6012 189.995 13.6666 25.9898 6.00792e-05 0.0475754 -0.0456982 0.000101181 206 30. 0.069427 0.067895 19.5478 25.9898 2 2458651.6794907 757120114 108.261955012226 51.9996047085752 2.31595770714697 0.933999925259912 -39.0428594472646 106.290129147823 -0.369797418321927 1.04535235080752 1.16793305966369 18.1580001831055 0.0480000004172325 3.90199995040894 0.188999995589256 2458167.028368 2458204.896609 0
 3 756 1 3 ZTF_g 897195930315 0 2.0125 166.591 14.0074 26.0209 4.83693e-05 0.0413171 -0.0523248 8.40671e-05 195 30. 0.088077 0.081387 19.3472 26.0209 2 2458651.6959375 756120103 -1.50382076711863 65.1455807560947 -0.0256782793391852 0.918248645849214 -16.245437659403 120.07140834484 -0.136209376088506 1.05676803915264 1.01645567613577 18.1709997177124 0.046000000089407 4.17399978637695 0.140000000596046 2458166.947720 2458204.894514 0
 4 717 15 0 ZTF_g 897196385615 0 1.8299 185.204 14.6152 26.2164 3.19657e-05 0.0374102 -0.0553711 5.95391e-05 226 30. 0.074119 0.0887 19.573 26.2164 2 2458651.6963889 717120156 -22.1768800971921 66.4609777513578 -0.37118338100415 1.01696831428584 -27.9500792937713 123.31141031299 -0.228189140116873 1.07371527718038 0.958455433386542 18.0760004043579 0.0529999993741512 4.57200002670288 0.224000006914139 2458166.949201 2458204.894977 0
 5 757 4 2 ZTF_g 897197301415 0 1.8211 192.81 13.969 26.0437 4.08435e-05 0.0388122 -0.0571021 7.12987e-05 193 30. 0.070616 0.059986 19.4568 26.0437 2 2458651.6973032 757120114 106.491627997488 56.6913736116546 2.08955250145574 1.04894038925339 48.3931827477727 109.67156340247 0.444227401401108 1.04585902644535 1.16793305966369 18.1580001831055 0.0480000004172325 3.90199995040894 0.188999995589256 2458167.028368 2458204.896609 0
 6 757 4 2 ZTF_g 897228701415 0 1.8797 194.834 14.9976 26.0408 6.06717e-05 0.046669 -0.0201452 0.000109877 185 30. 0.069795 0.059117 19.3439 26.0408 2 2458651.7287037 757120114 74.089649120447 61.6788338718169 1.33621451462328 1.02937862871279 60.3104274766249 116.730334784299 0.520144329131159 1.04320528900209 1.16793305966369 18.1580001831055 0.0480000004172325 3.90199995040894 0.188999995589256 2458167.028368 2458204.896609 0
 7 756 1 3 ZTF_g 897229170315 0 2.1077 169.221 14.9874 26.0606 5.08082e-05 0.0416797 -0.0696159 8.64587e-05 193 30. 0.088382 0.082821 19.2421 26.0606 2 2458651.7291782 756120103 -42.3542658228606 61.5518360246173 -0.765439635975385 1.15563059356141 -196.983443261086 114.110997894198 -1.73787050980611 1.04486652331018 1.01645567613577 18.1709997177124 0.046000000089407 4.17399978637695 0.140000000596046 2458166.947720 2458204.894514 0
 8 756 1 3 ZTF_r 897241080315 0 1.75 167.04 11.9937 25.9182 3.77307e-05 0.0400288 0.116416 5.11955e-05 269 30. 0.075508 0.065335 19.486 25.9182 2 2458651.741088 756120203 -135.79327606512 47.7469147260429 -3.16364506400232 1.07744264399229 78.5889018842223 91.8315453711947 0.861558001013835 1.04633149475814 0.888250803490435 17.3540004730225 0.0540000014007092 4.07999992370605 0.256999999284744 2458155.943588 2458198.907720 0
