# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 14:43:26
#
# Requested input R.A. = 243.1204791666666 degrees
# Requested input Dec. = 45.96006388888889 degrees
# Requested JD start = 2458729.84649 days
# Requested JD end = 2459229.84649 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 761 7 3 ZTF_r 977165992715 0 2.186 25.0747 14.3543 24.2946 0.000135621 0.0704379 0.0603543 0.000259985 257 30. 0.065517 0.073798 17.4948 24.2946 1 2458731.6659954 761120227 9.95753219241054 61.1745985286615 0.181065368296055 1.03261213066081 -12.8821280727371 113.922798218231 -0.113839285457471 1.04240518355375 2.31110469170993 22.8460000991821 0.216000005602837 0.319999992847443 -0.0549999997019768 2458186.967349 2458218.960359 0
 1 761 7 3 ZTF_g 977187242715 33554432 2.3605 13.3971 8.84355 23.7194 0.000380353 0.0696247 -0.0639403 0.00109109 121 30. 0.07002 0.067057 17.3842 23.7194 1 2458731.6872454 761120127 -18.4637828641305 42.3904148267212 -0.484515660337048 0.952893001563485 -5.08136013532616 75.5263318382941 -0.0677324485868837 1.0424648951275 null null null null null 2458203.883218 2458227.867118 57
 2 761 7 3 ZTF_g 978133952715 0 1.5729 110.331 7.76416 25.9988 9.8608e-06 0.0311502 -0.0454818 1.72719e-05 614 30. 0.054714 0.059461 20.1215 25.9988 2 2458732.6339583 761120127 46.1717698600133 31.7263473750563 1.61886729110092 0.942789673056345 42.0926258934998 64.8831668319659 0.653114270153203 1.03135400886202 null null null null null 2458203.883218 2458227.867118 57
 3 761 7 3 ZTF_g 978159542715 0 1.7789 112.967 6.96496 26.0437 8.2449e-06 0.0285425 -0.0784676 1.42327e-05 617 30. 0.055701 0.051213 20.2355 26.0437 2 2458732.6595486 761120127 16.8619868156404 24.9376637842387 0.752155752090702 1.00525995816385 42.0449983138741 49.8409588575828 0.849264836929062 1.03378914953025 null null null null null 2458203.883218 2458227.867118 57
 4 761 7 3 ZTF_g 978175092715 0 1.7861 112.978 6.93741 26.0505 8.7222e-06 0.0295503 -0.0705847 1.5194e-05 622 30. 0.057048 0.05432 20.2398 26.0505 2 2458732.6750926 761120127 11.8201630291624 28.2184920584215 0.465955524791132 0.958903360901039 77.0246398971705 55.7288103317409 1.39144196362501 1.03490214850795 null null null null null 2458203.883218 2458227.867118 57
 5 761 7 3 ZTF_r 978216222715 0 1.4354 132.615 8.27587 26.0457 7.4084e-06 0.0272504 0.109023 1.25653e-05 632 30. 0.065036 0.070685 20.1751 26.0457 2 2458732.7162269 761120227 57.9775402989796 30.3003038077521 2.1284703489157 0.965569421920939 58.9034986264174 62.1362045077094 0.954358534585359 1.03102315251241 2.31110469170993 22.8460000991821 0.216000005602837 0.319999992847443 -0.0549999997019768 2458186.967349 2458218.960359 0
 6 761 7 3 ZTF_i 979135462715 0 1.5229 208.524 6.51405 25.5658 1.8047e-06 0.020608 0.184302 9.46859e-06 635 30. 0.067373 0.06917 19.8818 25.5658 2 2458733.635463 761120327 -12.4261799643643 25.3713199441195 -0.54481540391387 1.08927422058392 -88.0951242800465 50.4402634312742 -1.75828681250757 1.03050661564559 null null null null null 2458173.990417 2458320.722292 57
 7 761 7 3 ZTF_g 979158482715 0 1.8424 122.027 7.22129 26.115 9.6582e-06 0.0310028 -0.0546945 1.68099e-05 625 30. 0.053188 0.058247 20.2392 26.115 2 2458733.6584838 761120127 40.1464741628413 27.731899516584 1.61035858483877 0.904414154770356 55.3442453851781 53.5825352539396 1.03983493498428 1.03838932965481 null null null null null 2458203.883218 2458227.867118 57
 8 761 7 3 ZTF_g 979179522715 0 2.1717 120.016 7.45634 26.0951 1.11768e-05 0.0328932 -0.0499363 2.03571e-05 602 30. 0.055834 0.058539 20.0729 26.0951 2 2458733.6795255 761120127 17.9096500540095 33.4857134403772 0.594952569832069 0.990505158774285 77.5599795623602 60.4014495314086 1.29272312325082 1.04523080640276 null null null null null 2458203.883218 2458227.867118 57
