# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:27:37
#
# Requested input R.A. = 243.81764583333333 degrees
# Requested input Dec. = 21.093383333333332 degrees
# Requested JD start = 2458733.012 days
# Requested JD end = 2459233.012 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 584 15 2 ZTF_i 979127235815 0 1.7652 212.583 10.1994 25.4748 2.4982e-06 0.0268368 0.181719 1.58252e-05 886 30. 0.053162 0.059968 19.2369 25.4748 2 2458733.6272338 584120358 69.1871926163948 40.0269941772458 1.92277086058068 0.974528775860616 92.8265462874769 77.9441334945281 1.19895794882434 1.04003512530549 1.37721424082621 16.9759999847412 0.0500000007450581 3.64800000190735 0.244000002741814 2458229.008796 2458367.639687 0
 1 584 15 2 ZTF_r 979211955815 0 1.8458 135.8 10.5336 26.0954 4.1897e-06 0.023862 0.0897701 7.76115e-06 881 30. 0.063294 0.05556 19.7837 26.0954 1 2458733.711956 584120258 -36.9218588163389 43.8983587642872 -0.935599702155027 1.16404086295865 -163.925767778039 83.0268510193327 -1.98766802822681 1.04548949362342 1.42690866209734 17.4539999008179 0.0570000000298023 4.00899982452393 0.342000007629395 2458158.970231 2458291.773819 0
 2 584 15 2 ZTF_g 983128065815 0 2.2046 73.7609 11.7596 26.2249 1.07335e-05 0.034754 -0.0662203 2.3057e-05 796 30. 0.051559 0.053106 19.6391 26.2249 1 2458737.6280671 584120158 -35.6319709997918 54.9906218450272 -0.720785458738652 0.965919283563409 -14.747437546898 99.0927058353941 -0.149826995459496 1.05490744466476 1.33647773355085 18.513000202179 0.0570000000298023 4.33599996566772 0.397000014781952 2458203.918623 2458306.711910 0
 3 584 15 2 ZTF_r 983173405815 0 2.448 136.994 11.266 26.1094 5.5332e-06 0.0274444 0.100346 1.018e-05 887 30. 0.053981 0.062132 19.5101 26.1094 1 2458737.6734028 584120258 -22.3597957974535 52.5509961931988 -0.473305641345258 1.11765486114138 -162.099342066375 86.8370561692994 -1.87927939592289 1.0798132894741 1.42690866209734 17.4539999008179 0.0570000000298023 4.00899982452393 0.342000007629395 2458158.970231 2458291.773819 0
 4 584 15 2 ZTF_r 988119975815 0 1.7679 88.317 12.1195 25.6191 4.65734e-05 0.0792468 0.0856377 8.54409e-05 878 30. 0.048968 0.055753 19.1766 25.6191 1 2458742.6199769 584120258 -34.0872377192114 49.2051628413379 -0.770612300630681 1.01554554653768 -145.844528713494 94.2360950536047 -1.55807389856308 1.05389139239329 1.42690866209734 17.4539999008179 0.0570000000298023 4.00899982452393 0.342000007629395 2458158.970231 2458291.773819 0
 5 584 15 2 ZTF_g 988143835815 48 1.8646 3.27139 11.5666 22.8457 0.0106738 0.143589 0.151256 0.036432 53 30. 0.068236 0.058266 16.3902 22.8457 1 2458742.643831 584120158 -70.5686683941291 51.8091154472014 -1.51516715067585 1.01441710724235 45.5190811792276 97.7423517476244 0.468841336335245 1.07262988176693 1.33647773355085 18.513000202179 0.0570000000298023 4.33599996566772 0.397000014781952 2458203.918623 2458306.711910 0
 6 584 15 2 ZTF_g 991133765815 0 1.681 73.1041 6.49087 26.1813 4.7797e-06 0.0253394 -0.0479278 8.96234e-06 880 30. 0.050085 0.052164 20.4946 26.1813 1 2458745.6337616 584120158 3.56950004104689 26.2673236737944 0.151163300855715 0.950381803062515 -132.553452239544 50.8353260886096 -2.62506838520563 1.05578735118167 1.33647773355085 18.513000202179 0.0570000000298023 4.33599996566772 0.397000014781952 2458203.918623 2458306.711910 0
 7 584 15 2 ZTF_r 995111805815 0 2.0766 135.25 11.2493 26.0715 5.2638e-06 0.0266398 0.106442 9.57429e-06 886 30. 0.053973 0.058493 19.645 26.0715 1 2458749.6118056 584120258 -65.1377104164762 51.3617053984856 -1.41074283983472 0.984698515619768 28.9181594091714 92.3530861077556 0.315234997589874 1.06655534053771 1.42690866209734 17.4539999008179 0.0570000000298023 4.00899982452393 0.342000007629395 2458158.970231 2458291.773819 0
 8 584 15 2 ZTF_g 995129745815 0 2.2391 68.864 6.2781 26.1294 6.2758e-06 0.0288817 -0.0486936 1.1886e-05 871 30. 0.060699 0.056711 20.2165 26.1294 1 2458749.6297454 584120158 -0.682426637793711 30.820051664094 -0.0246307371378727 1.01694205575847 41.334629895824 53.3476900354006 0.780034167903856 1.06562860504876 1.33647773355085 18.513000202179 0.0570000000298023 4.33599996566772 0.397000014781952 2458203.918623 2458306.711910 0
