# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 14:58:37
#
# Requested input R.A. = 294.603575 degrees
# Requested input Dec. = 64.36651111111111 degrees
# Requested JD start = 2458759.7876042016 days
# Requested JD end = 2459259.7876042016 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 827 13 3 ZTF_r 1005295115115 0 1.9336 223.668 7.49543 26.0105 1.4212e-06 0.0170572 0.0749598 3.48787e-06 1988 30. 0.041856 0.042161 20.2995 26.0105 2 2458759.7951157 827120251 -38.3027244895951 22.1545636130417 -1.92318590648504 1.02199399160284 -68.0972787288194 40.4655158090517 -1.69418124169057 1.05367144873761 0.47671743699247 19.9110001564026 0.0529999993741512 1.71599996089935 0.137999996542931 2458187.018484 2458242.979155 0
 1 827 13 3 ZTF_g 1006136575115 0 2.1287 114.426 6.45597 26.1209 2.7655e-06 0.0238623 -0.04761 6.79085e-06 1967 30. 0.039466 0.052459 20.483 26.1209 2 2458760.6365741 827120151 14.2827500780426 22.3847545113962 0.709764546473437 1.11555314422366 12.8970392082989 39.0033964852637 0.332891560208157 1.09683984287096 0.298635163772806 20.0480000495911 0.0729999989271164 3.36100006103516 0.151999995112419 2458205.997002 2458261.956968 0
 2 827 13 3 ZTF_r 1006156605115 0 1.7939 232.741 7.15908 26.0559 1.3816e-06 0.0166971 0.0707072 3.42203e-06 1977 30. 0.037242 0.046172 20.4566 26.0559 1 2458760.6566088 827120251 25.6856954115534 19.2138846663437 1.48706841663873 1.0671918388947 51.9078050624225 36.4822583306823 1.43240603809001 1.04048365944157 0.47671743699247 19.9110001564026 0.0529999993741512 1.71599996089935 0.137999996542931 2458187.018484 2458242.979155 0
 3 828 16 3 ZTF_r 1006157526315 0 1.734 212.506 6.34652 26.0848 3.4418e-06 0.0254808 0.0825803 8.85505e-06 2000 30. 0.04325 0.050761 20.4236 26.0848 1 2458760.6575231 828120263 4.15308339042589 28.701020001362 0.160963764787152 0.958405941872718 5.47387103355434 52.2958058368369 0.105376287480826 1.07674828224605 0.83898636391425 19.6729997634888 0.0920000001788139 4.44700002670288 0.384999990463257 2458216.999363 2458263.929630 0
 4 827 13 3 ZTF_g 1006184845115 0 1.9964 113.418 6.33196 26.1242 2.4219e-06 0.0223443 -0.0550887 5.98124e-06 1980 30. 0.040511 0.046275 20.5419 26.1242 1 2458760.6848495 827120151 -5.97613152418355 22.951793267038 -0.289639857152392 0.929010058945134 23.5670545955783 41.2308028124691 0.575438226903326 1.07359191130235 0.298635163772806 20.0480000495911 0.0729999989271164 3.36100006103516 0.151999995112419 2458205.997002 2458261.956968 0
 5 828 16 3 ZTF_g 1006185776315 0 2.214 82.0372 5.53217 26.1223 3.2136e-06 0.0248527 -0.0427324 8.22914e-06 2000 30. 0.040931 0.048871 20.4761 26.1223 1 2458760.6857755 828120163 -5.69754070135466 25.2578259971131 -0.250926350586277 1.03013968267732 -7.54157804408339 44.0635832289912 -0.172304893287003 1.09354173099288 0.833419090794895 20.0489999771118 0.0900000035762787 4.21000003814697 0.333000004291534 2458205.017222 2458280.907674 0
 6 827 13 3 ZTF_r 1006212235115 0 1.8084 232.429 7.10866 26.0387 1.499e-06 0.0174223 0.079512 3.69973e-06 1979 30. 0.039418 0.044219 20.4213 26.0387 3 2458760.7122338 827120251 20.5832172983537 19.7596747552255 1.15874605405699 1.09893330499444 38.0258941857849 36.0475236487166 1.06198697985473 1.05801231904157 0.47671743699247 19.9110001564026 0.0529999993741512 1.71599996089935 0.137999996542931 2458187.018484 2458242.979155 0
 7 827 13 3 ZTF_r 1006221935115 0 1.9595 231.79 7.07465 26.0383 1.3515e-06 0.0165123 0.0764733 3.34117e-06 1978 30. 0.038948 0.044161 20.3837 26.0383 3 2458760.7219329 827120251 0.114490676507527 21.0648891624069 0.00604596660921871 0.84903238358922 1.73101757678982 38.3879778766024 0.045396402107067 1.05876249258405 0.47671743699247 19.9110001564026 0.0529999993741512 1.71599996089935 0.137999996542931 2458187.018484 2458242.979155 0
 8 827 13 3 ZTF_g 1006232895115 0 2.3763 110.75 5.92739 26.0916 2.9208e-06 0.0243809 -0.0422899 7.21284e-06 1975 30. 0.045696 0.049792 20.4743 26.0916 3 2458760.7328935 827120151 30.3931486302446 22.5114900588337 1.50184894094083 1.02148556412832 34.7919598865623 37.8232162962481 0.926052545711852 1.10013013253959 0.298635163772806 20.0480000495911 0.0729999989271164 3.36100006103516 0.151999995112419 2458205.997002 2458261.956968 0
