# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 19:50:35
#
# Requested input R.A. = 269.5894083333333 degrees
# Requested input Dec. = 21.145777777777777 degrees
# Requested JD start = 2458765.81066 days
# Requested JD end = 2459265.81066 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 587 13 2 ZTF_r 1015091535015 0 1.5689 183.994 15.0538 26.1141 3.4224e-06 0.0215396 0.0685827 1.0453e-05 2005 30. 0.057824 0.057706 19.6317 26.1141 1 2458769.5915394 587120250 31.0888036563108 59.6252704484349 0.58000060854449 0.970271565224176 60.8047557744514 108.529803680143 0.564031973036623 1.07861571359181 4.68027833883252 22.2889999389648 0.270999997854233 1.11699998378754 -0.356000006198883 2458186.999306 2458224.946296 0
 1 587 13 2 ZTF_g 1015201805015 0 2.37 78.8272 18.7823 26.0039 1.13013e-05 0.0389773 -0.0269474 3.46695e-05 1991 30. 0.057603 0.05494 18.8714 26.0039 1 2458769.7018056 587120150 -42.8162202056931 91.7097246394838 -0.519335172923464 0.995680312232793 94.4850260513798 155.238536958248 0.612743394789957 1.0684314533183 null null null null null 2458204.002755 2458231.979201 57
 2 587 13 2 ZTF_g 1018115705015 0 2.2977 91.5153 8.08744 26.1571 3.5059e-06 0.0220013 -0.0182182 1.07151e-05 2023 30. 0.048782 0.053484 20.0906 26.1571 1 2458772.615706 587120150 38.303611454063 37.2561239377051 1.14365979728348 0.966268164934154 60.9492390247546 61.589808012115 0.996264441094304 1.0986880197963 null null null null null 2458204.002755 2458231.979201 57
 3 587 13 2 ZTF_r 1021103515015 0 1.7647 183.176 8.44253 26.1232 2.8249e-06 0.0195198 0.0736005 8.68485e-06 2036 30. 0.039099 0.065312 20.2696 26.1232 1 2458775.6035185 587120250 22.1057213194181 27.7608740672262 0.885780990500414 1.30873132543778 62.501540410155 52.7020762565779 1.19392814003195 1.05454410973224 4.68027833883252 22.2889999389648 0.270999997854233 1.11699998378754 -0.356000006198883 2458186.999306 2458224.946296 0
 4 587 13 2 ZTF_g 1021111255015 0 1.8629 90.7201 6.70265 26.1423 2.5899e-06 0.0188556 -0.0292919 7.91346e-06 2022 30. 0.044104 0.048064 20.4945 26.1423 1 2458775.61125 587120150 64.2387693673396 22.8144071514239 3.1321519714632 0.975626761482146 36.2971681319386 40.6651675295357 0.898597838583124 1.08328238684965 null null null null null 2458204.002755 2458231.979201 57
 5 587 13 2 ZTF_g 1024123075015 0 2.3114 90.4103 7.09626 26.1521 2.8684e-06 0.0199506 -0.0331491 8.78089e-06 2031 30. 0.053718 0.049915 20.1784 26.1521 1 2458778.6230787 587120150 21.4913178360246 29.9587374855092 0.79798428853107 1.0307329646322 -12.8417612057483 50.8515170097385 -0.254235310302399 1.06788824919329 null null null null null 2458204.002755 2458231.979201 57
 6 587 13 2 ZTF_r 1027087965015 0 3.2277 185.949 12.6838 26.1557 4.1674e-06 0.0237224 0.0768239 1.27845e-05 2034 30. 0.064052 0.064403 19.2648 26.1557 1 2458781.587963 587120250 26.4101801322362 73.5495723877389 0.399434903988959 1.0125234550955 -111.821930360556 103.930617534246 -1.08317510437292 1.11820357500377 4.68027833883252 22.2889999389648 0.270999997854233 1.11699998378754 -0.356000006198883 2458186.999306 2458224.946296 0
 7 587 13 2 ZTF_g 1027109435015 0 3.3015 92.9987 8.04387 26.1613 6.2724e-06 0.029037 -0.027045 1.9324e-05 2019 30. 0.094736 0.063656 19.7205 26.1613 1 2458781.6094329 587120150 24.3540813179255 45.1577154962521 0.599921725628807 0.967160834061843 62.1360816479663 63.2233373373674 0.98942217173795 1.11016725524149 null null null null null 2458204.002755 2458231.979201 57
 8 587 13 2 ZTF_g 1031112295015 0 1.791 91.4829 8.09913 26.1337 3.9908e-06 0.0233331 -0.0280174 1.2224e-05 2023 30. 0.057599 0.046486 20.2987 26.1337 1 2458785.6122917 587120150 33.6506121871888 29.5897226839903 1.26504762509907 0.916324857867597 55.2800487462743 55.4508561046756 1.00363397365871 1.06355445343023 null null null null null 2458204.002755 2458231.979201 57
