# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 19:14:24
#
# Requested input R.A. = 261.643175 degrees
# Requested input Dec. = 14.434844444444444 degrees
# Requested JD start = 2458770.77514 days
# Requested JD end = 2459270.77514 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 536 16 3 ZTF_g 1017107906315 0 2.2462 63.6352 10.1382 26.0201 5.3763e-06 0.030819 -0.027123 1.42998e-05 2078 30. 0.050395 0.05521 19.6141 26.0201 1 2458771.6079051 536120163 15.1458416192149 49.5412924622594 0.340079833742401 0.985786152451215 22.6747948896367 84.4276440712925 0.270379579922123 1.07824999798935 0.2341806509609 21.1660000801086 0.0740000009536743 1.2940000295639 -0.090999998152256 2458204.001771 2458330.686377 0
 1 536 16 3 ZTF_g 1020122976315 0 3.1775 65.2014 5.79519 26.0414 4.2961e-06 0.0272805 -0.0130798 1.14669e-05 2067 30. 0.061002 0.071044 19.9691 26.0414 1 2458774.6229745 536120163 20.2916495858019 36.1057865137681 0.625165992012383 1.0354396794813 55.5223727790015 51.6391249818608 1.08244125309593 1.11093633325967 0.2341806509609 21.1660000801086 0.0740000009536743 1.2940000295639 -0.090999998152256 2458204.001771 2458330.686377 0
 2 536 16 3 ZTF_r 1023089306315 0 2.4603 219.988 11.4292 26.0326 3.8082e-06 0.0255884 0.0782377 1.02141e-05 2091 30. 0.05417 0.056161 19.43 26.0326 1 2458777.5893056 536120263 29.3658515480093 59.4211396429314 0.549738841848346 1.02385778551987 47.8842741864658 97.0289527245377 0.496828793617783 1.07887807048003 0.33670417034457 21.341999912262 0.108000002801418 0.906000018119812 0.0299999993294477 2458187.028241 2458333.660660 0
 3 536 16 3 ZTF_g 1023109056315 0 2.8871 64.9544 5.89574 26.043 4.7323e-06 0.0286391 -0.0240448 1.26509e-05 2069 30. 0.060769 0.059554 20.0318 26.043 1 2458777.6090509 536120163 -54.7327288021915 36.619933125072 -1.66258690469493 0.884592577065097 -116.322674173764 54.8482684398424 -2.13509227197174 1.09954518431828 0.2341806509609 21.1660000801086 0.0740000009536743 1.2940000295639 -0.090999998152256 2458204.001771 2458330.686377 0
 4 536 16 3 ZTF_r 1027088416315 0 3.7818 219.495 11.0148 26.0405 7.3978e-06 0.0353355 0.0834925 1.96965e-05 2052 30. 0.076942 0.077354 19.1307 26.0405 1 2458781.5884144 536120263 -45.0375040541456 68.6631064691982 -0.729635014746066 1.10767383874461 -65.8049565805859 88.874487010583 -0.745412536011033 1.16300921764247 0.33670417034457 21.341999912262 0.108000002801418 0.906000018119812 0.0299999993294477 2458187.028241 2458333.660660 0
 5 536 16 3 ZTF_g 1027109896315 0 3.6475 63.9918 6.96299 26.0349 6.8207e-06 0.0342379 -0.017021 1.82083e-05 2055 30. 0.095836 0.076052 19.6391 26.0349 1 2458781.6098958 536120163 -40.5703350701279 46.6870401505359 -0.966645100647216 1.07980416218372 20.9335934479898 62.188562781279 0.338881965778739 1.12315462920115 0.2341806509609 21.1660000801086 0.0740000009536743 1.2940000295639 -0.090999998152256 2458204.001771 2458330.686377 0
 6 536 16 3 ZTF_g 1031111846315 0 2.0185 62.235 7.07546 25.994 3.0239e-06 0.0226989 -0.0215997 8.11959e-06 2066 30. 0.045468 0.049708 20.0768 25.994 1 2458785.6118403 536120163 5.74938318216349 30.2220648511342 0.211617667020506 1.00255048546109 -55.2620440613595 55.2544375685505 -1.00687364772445 1.05915392342316 0.2341806509609 21.1660000801086 0.0740000009536743 1.2940000295639 -0.090999998152256 2458204.001771 2458330.686377 0
 7 536 16 3 ZTF_r 1038109586315 0 1.8143 193.948 12.3185 25.9498 6.1751e-06 0.0323837 0.0816357 1.65536e-05 2068 30. 0.065406 0.06368 19.4998 25.9498 1 2458792.6095833 536120263 -14.1397942282053 53.4749788978772 -0.294135381314348 1.13210687586588 90.595888850163 94.9724221702719 0.960342542495923 1.08054251740084 0.33670417034457 21.341999912262 0.108000002801418 0.906000018119812 0.0299999993294477 2458187.028241 2458333.660660 0
 8 536 16 3 ZTF_r 1041076846315 0 1.808 213.144 14.498 26.0078 3.7894e-06 0.025286 0.0818507 1.02212e-05 2080 30. 0.048339 0.05351 19.4288 26.0078 1 2458795.5768403 536120263 20.2892442016939 59.4836810769693 0.379422283951317 0.962760887108195 3.13488486356237 111.133059060957 0.0283983768659934 1.06191412932098 0.33670417034457 21.341999912262 0.108000002801418 0.906000018119812 0.0299999993294477 2458187.028241 2458333.660660 0
