# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 07:16:14
#
# Requested input R.A. = 278.4711458333333 degrees
# Requested input Dec. = 27.910438888888887 degrees
# Requested JD start = 2458791.72619 days
# Requested JD end = 2459291.72619 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 637 10 1 ZTF_r 1039103583715 0 2.385 130.527 11.2953 26.116 3.024e-06 0.0187942 0.0843865 9.10365e-06 2034 30. 0.062141 0.055566 19.589 26.116 1 2458793.603588 637120237 -37.7562497991477 52.5303448592885 -0.799527488746419 0.980795969130387 -46.1820629916666 87.3136460471579 -0.532483797754654 1.07046562422439 null null null null null 2458217.985440 2458290.874792 57
 1 637 10 1 ZTF_g 1039144343715 0 2.3665 55.8332 10.8915 25.9777 4.5669e-06 0.02343 -0.015873 1.37586e-05 2027 30. 0.069376 0.055319 19.4578 25.9777 1 2458793.6443403 637120137 17.1635568581371 50.9685971784768 0.37459278964431 0.920490699947192 15.2956472228266 84.3502019678378 0.182556341628884 1.08066673491554 null null null null null 2458204.005984 2458305.794931 57
 2 637 10 1 ZTF_r 1042095963715 0 1.9313 132.881 12.0251 26.1242 1.6986e-06 0.0141711 0.0902327 5.10975e-06 2030 30. 0.053168 0.056567 19.74 26.1242 1 2458796.5959606 637120237 37.4240291867096 41.9077890148149 0.993368983087937 1.05756860572461 37.5948869220895 74.6842221611775 0.506774919163615 1.06546961383955 null null null null null 2458217.985440 2458290.874792 57
 3 637 10 1 ZTF_g 1042145503715 0 3.0399 56.6001 13.4066 25.9866 1.59715e-05 0.0438027 -0.0131029 4.80922e-05 2021 30. 0.10486 0.095677 19.0476 25.9866 1 2458796.6455093 637120137 23.0881634848649 74.8921542136415 0.342931885373322 1.0112628668047 46.4892589600957 108.754789577637 0.430347637797933 1.11231789205263 null null null null null 2458204.005984 2458305.794931 57
 4 637 10 1 ZTF_g 1047090103715 0 1.7604 38.3835 10.6492 25.5721 3.9249e-06 0.0214452 -0.0506536 1.18043e-05 2018 30. 0.041099 0.043697 19.3271 25.5721 1 2458801.5901042 637120137 -9.55194515966611 38.3031654745763 -0.277403511832721 1.10558604413681 -48.8265407342667 74.8533299658733 -0.656689426078348 1.05004865442239 null null null null null 2458204.005984 2458305.794931 57
 5 637 10 1 ZTF_g 1050096263715 0 3.3519 57.5215 7.31786 26.0249 6.1087e-06 0.0270309 -0.025607 1.83207e-05 2021 30. 0.092261 0.068602 19.6846 26.0249 1 2458804.5962616 637120137 63.4443396288219 40.4323524981536 1.7454952509289 0.942911717031638 97.9204051182758 55.9966962973067 1.76045929847705 1.12867343032754 null null null null null 2458204.005984 2458305.794931 57
 6 637 10 1 ZTF_g 1058112973715 0 2.4511 52.9729 8.30884 25.9249 5.098e-06 0.0244511 -0.0350122 1.53868e-05 2022 30. 0.076301 0.064241 19.671 25.9249 1 2458812.6129745 637120137 -26.6481255036923 41.542035144769 -0.713565258588539 0.843421753842936 -0.724640990799467 69.2104549633513 -0.0105406255449549 1.07068604220538 null null null null null 2458204.005984 2458305.794931 57
 7 637 10 1 ZTF_r 1134517443715 0 4.4609 139.588 21.3437 26.1721 1.1792e-05 0.0371666 0.0955313 3.5051e-05 1964 30. 0.098186 0.097899 18.4314 26.1721 1 2458889.0174421 637120237 102.748367650793 170.41120667779 0.670705056341913 0.909504065339425 182.48119295484 206.225039857578 0.890823997004934 1.30310648313228 null null null null null 2458217.985440 2458290.874792 57
 8 637 10 1 ZTF_r 1138538703715 0 2.3865 144.448 11.627 26.2205 4.6766e-06 0.0233522 0.0806177 1.41364e-05 2030 30. 0.084449 0.068456 19.6063 26.2205 1 2458893.0387037 637120237 -45.1140667979419 53.7309405778308 -0.933990236275713 0.990152121752577 -59.3740812429746 90.5558863029415 -0.660078229440142 1.06589009041877 null null null null null 2458217.985440 2458290.874792 57
