# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 20:45:06
#
# Requested input R.A. = 286.91818333333333 degrees
# Requested input Dec. = 75.39675000000001 degrees
# Requested JD start = 2458794.84501 days
# Requested JD end = 2459294.84501 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 866 8 1 ZTF_r 1041095492915 0 1.7821 231.741 11.0165 26.1041 4.101e-06 0.0264363 0.0994499 7.11017e-06 1346 30. 0.045896 0.048825 19.8255 26.1041 1 2458795.5954977 866120229 5.17890797112744 43.7844197681151 0.131575005241717 1.06565032494851 47.0177666575159 85.1316250820806 0.556014688730294 1.04247629204362 null null null null null 2458217.995949 2458318.867130 57
 1 866 8 1 ZTF_r 1041096402915 0 2.2574 233.797 11.083 26.0942 4.7908e-06 0.0286643 0.113979 8.29263e-06 1344 30. 0.045655 0.050912 19.6383 26.0942 3 2458795.5964005 866120229 24.0176677515576 53.4767327903338 0.499598088460372 0.944761431434143 -102.439688651534 95.0326822150453 -1.08520167425237 1.05099072983094 null null null null null 2458217.995949 2458318.867130 57
 2 865 5 1 ZTF_r 1041099131715 0 1.6678 205.77 10.3631 26.0713 3.4841e-06 0.0229778 0.0988537 5.93243e-06 1272 30. 0.04296 0.054572 19.8388 26.0713 1 2458795.5991319 865120217 3.12507006323386 38.9920906972205 0.0891534261356999 0.976523243842429 -123.562938234588 75.4921805411285 -1.64778843108141 1.03598759775079 3.83007165306796 22.9499999523163 0.360000014305115 0.745999991893768 -0.504999995231628 2458187.020382 2458293.803900 0
 3 865 5 1 ZTF_g 1041133201715 0 2.6012 86.8034 10.4354 26.0227 1.42198e-05 0.0380097 -0.0273966 3.0896e-05 998 30. 0.050017 0.055663 19.4797 26.0227 1 2458795.633206 865120117 63.4273334201589 57.7444878503429 1.22185795490837 0.989318750326531 32.9170800862386 91.5914360596572 0.361810884730707 1.09657238758783 null null null null null 2458262.916250 2458319.901574 57
 4 866 8 1 ZTF_g 1041168292915 0 2.4071 90.3468 11.1995 26.0654 1.17542e-05 0.0380162 -0.058651 2.49543e-05 1083 30. 0.053394 0.053837 19.4827 26.0654 1 2458795.6682986 866120129 49.1242383377692 55.8683100274931 0.978104138296367 0.906051871591718 43.0992454625689 92.8017835531762 0.467550511414556 1.06945595850574 null null null null null 2458262.922141 2458373.744433 57
 5 866 8 1 ZTF_g 1041173172915 0 2.3079 89.759 11.2686 26.0624 9.7066e-06 0.0348293 -0.0662936 2.05259e-05 1119 30. 0.055201 0.048929 19.4869 26.0624 3 2458795.6731713 866120129 -11.2016791563223 53.6677347727617 -0.23217992444165 1.01996944483107 56.9925980916366 93.7330698667217 0.612125972193493 1.05188182477865 null null null null null 2458262.922141 2458373.744433 57
 6 865 5 1 ZTF_r 1042102501715 0 1.8809 208.343 10.899 26.0942 4.3203e-06 0.025494 0.101967 7.37712e-06 1276 30. 0.052252 0.056144 19.7164 26.0942 1 2458796.6025 865120217 7.82722450025944 43.7276796640374 0.199115999739438 1.07265453638041 -43.7986567354986 80.9443786356283 -0.544740029533758 1.04112702328403 3.83007165306796 22.9499999523163 0.360000014305115 0.745999991893768 -0.504999995231628 2458187.020382 2458293.803900 0
 7 865 5 1 ZTF_r 1042103401715 0 1.9267 208.672 10.9686 26.101 3.5765e-06 0.0232642 0.0954838 6.10757e-06 1281 30. 0.045246 0.053696 19.6838 26.101 3 2458796.6034028 865120217 11.2435869529448 44.9607405427889 0.278180208403805 1.09998047345925 -18.8143606592399 84.008593882092 -0.225465938488944 1.03912407962896 3.83007165306796 22.9499999523163 0.360000014305115 0.745999991893768 -0.504999995231628 2458187.020382 2458293.803900 0
 8 865 5 1 ZTF_g 1042138171715 0 2.6734 87.8101 11.5101 26.0555 1.69697e-05 0.04011 -0.047378 3.79184e-05 944 30. 0.066683 0.07263 19.3618 26.0555 1 2458796.6381713 865120117 18.7919649602804 59.0974574744783 0.353718845017591 1.10150496736795 18.5540366091296 93.1403460593252 0.200546808160874 1.08452226325703 null null null null null 2458262.916250 2458319.901574 57
