# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:33:24
#
# Requested input R.A. = 31.550924999999996 degrees
# Requested input Dec. = -18.830380555555557 degrees
# Requested JD start = 2458862.018 days
# Requested JD end = 2459362.018 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 298 6 3 ZTF_g 1109133372315 0 2.6682 117.709 6.55883 26.2198 6.45851e-05 0.0492441 -0.0790912 9.15442e-05 247 30. 0.127331 0.080075 20.0903 26.2198 1 2458863.6333796 298120123 10.9123956809568 36.3505165004046 0.333936829889412 1.00569515730074 -56.1044503458558 57.6299761891728 -0.980085725898863 1.07334090146147 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 1 298 6 3 ZTF_r 1118109312315 0 2.3365 210.675 9.03824 26.2825 2.1451e-05 0.0285592 0.112808 2.78697e-05 267 30. 0.083637 0.075551 19.9322 26.2825 1 2458872.6093171 298120223 48.0293944006613 41.7067030832496 1.28102041686991 1.03686098949807 27.6000342315364 72.2030986259724 0.384830049939939 1.04594882682637 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 2 298 6 3 ZTF_g 1118148682315 0 2.3612 113.257 7.66324 26.2041 4.35821e-05 0.041272 -0.0859434 6.09727e-05 254 30. 0.099003 0.087584 20.0016 26.2041 1 2458872.6486806 298120123 -23.6106009824629 37.7915311723284 -0.694972075307006 0.923031451996767 -54.595004033833 65.7180030722025 -0.836341671348923 1.050371112038 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 3 298 6 3 ZTF_r 1121105772315 0 2.748 206.155 6.82826 26.2509 2.84985e-05 0.0333266 0.101938 3.68037e-05 271 30. 0.125125 0.083778 20.0693 26.2509 1 2458875.6057755 298120223 9.28646725952937 35.4881346932054 0.291086564336735 0.979958058555773 35.5676716347146 55.9369504270899 0.640135396659306 1.06827737503893 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 4 298 6 3 ZTF_g 1121149282315 0 2.5373 109.004 6.32433 26.1535 6.86994e-05 0.051757 -0.0892368 9.55141e-05 256 30. 0.138418 0.086605 20.1036 26.1535 1 2458875.6492824 298120123 24.2584189596783 34.4494315209786 0.783312818856463 0.982929599204431 -4.26565078213884 57.3283946651311 -0.074908432560599 1.05691419365449 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 5 298 6 3 ZTF_g 1124115862315 8 6.2521 83.9871 9.99229 25.9409 0.00134125 0.100027 -0.00783168 0.00283515 66 30. 0.150714 0.109812 18.5892 25.9409 1 2458878.6158681 298120123 20.563216599613 119.924698474142 0.190737996279149 0.979300573075897 16.1216418856259 134.76425626748 0.120434175357811 1.48504676196124 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 6 298 6 3 ZTF_r 1124128942315 8 6.4114 200.038 10.6257 26.2785 9.10697e-05 0.0428124 0.0943081 0.000127599 142 30. 0.124371 0.117616 18.8325 26.2785 1 2458878.6289468 298120223 26.2035196464637 117.668125756545 0.247716876122222 0.9118631938283 78.9356935990587 132.2587829316 0.600847280426768 1.51356508907834 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 7 298 6 3 ZTF_r 1127094762315 0 2.8398 210.31 16.5226 26.2907 5.45575e-05 0.0448167 0.113023 7.04782e-05 260 30. 0.08228 0.110185 19.1458 26.2907 1 2458881.5947685 298120223 -89.9990195328417 95.5646475035442 -1.04759958341244 0.984233357595144 23.6126396007831 144.562208467111 0.164439049037174 1.08440670603877 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 8 298 6 3 ZTF_g 1127128332315 0 3.0714 114.515 11.7262 26.1933 6.17094e-05 0.0421781 -0.0247647 0.000106271 174 30. 0.11074 0.149091 19.3325 26.1933 1 2458881.6283333 298120123 -55.3525547581576 66.7409837900549 -0.922571145215183 1.0134962335928 -90.3775045782963 97.5897037716057 -0.932334034791543 1.08287608348504 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 9 298 6 3 ZTF_g 1131097652315 0 2.9119 107.836 18.684 26.1887 7.69858e-05 0.0382159 -0.0816889 0.000147658 126 30. 0.082017 0.089253 18.8675 26.1887 1 2458885.5976505 298120123 75.7927553093752 101.144151747237 0.833569316442077 1.01247557608153 198.38592922462 155.130098444673 1.28744886952609 1.06520275708036 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 10 298 6 3 ZTF_r 1131127982315 0 2.9175 184.291 16.4154 26.1382 5.81338e-05 0.044553 0.106878 7.58761e-05 244 30. 0.0862 0.092609 18.9571 26.1382 1 2458885.6279861 298120223 26.6856211635821 88.2548146888513 0.336351764304806 1.03097135530313 -98.51666780246 134.111916608539 -0.739532964231325 1.06362018953675 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 11 298 6 3 ZTF_g 1138122832315 0 2.4906 102.118 9.01916 26.1025 4.10434e-05 0.0374987 -0.0835061 6.4155e-05 221 30. 0.092152 0.081439 19.7007 26.1025 1 2458892.6228356 298120123 -13.4307627524044 43.4591738316776 -0.343774779864212 0.995323745571179 13.7227654777143 74.9864531907819 0.184235798666139 1.04338583263425 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
 12 298 6 3 ZTF_r 1138129202315 0 1.8454 191.792 11.5842 26.1923 2.48697e-05 0.0313021 0.106266 3.2548e-05 271 30. 0.072487 0.071617 19.7664 26.1923 1 2458892.6292014 298120223 -23.606375464062 45.9707518336106 -0.571218816327289 1.02873169015701 -112.566910445766 91.8043061193727 -1.23441982031637 1.0336340188223 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 13 298 6 3 ZTF_r 1307454472315 0 1.884 201.961 6.45854 26.2378 1.94555e-05 0.0279924 0.104151 2.57805e-05 271 30. 0.110157 0.073713 20.4589 26.2378 1 2459061.9544792 298120223 -17.0907413795035 26.5178873769325 -0.716930045939453 0.917658321126258 56.0121067432871 51.7311177431578 1.09004703483935 1.03708560134126 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 14 298 6 3 ZTF_r 1310438862315 0 2.5793 208.829 17.3307 26.25 4.19239e-05 0.0404456 0.114463 5.53118e-05 264 30. 0.086269 0.097234 19.1136 26.25 1 2459064.9388657 298120223 13.6331144164254 83.0335536809601 0.182640150074412 1.03857705266427 -60.6598560586165 135.547765732925 -0.450530507448984 1.05107003540711 1.14501283407863 20.7270001411438 0.0970000028610229 2.83599996566772 0.244000002741814 2458319.964236 2458367.895463 0
 15 298 6 3 ZTF_g 1310462222315 0 3.0067 116.04 19.0995 26.236 0.000110552 0.0454543 -0.0498867 0.00022293 125 30. 0.099182 0.125542 18.857 26.236 1 2459064.9622222 298120123 -150.356520047183 106.381565463745 -1.5722104904025 1.00436586441153 -189.447948540303 156.841560689196 -1.21602903296492 1.08337964093695 1.48920122536342 21.1850001335144 0.111000001430511 1.76499998569489 0.165000006556511 2458314.978877 2458367.949607 56
