# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:28:54
#
# Requested input R.A. = 2.8502291666666664 degrees
# Requested input Dec. = -23.861700000000003 degrees
# Requested JD start = 2458862.8007176043 days
# Requested JD end = 2459362.8007176043 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1287 4 3 ZTF_r 1307434291515 0 2.3006 1043.48 6.57008 26.0934 1.72645e-05 0.030713 0.132095 2.6425e-05 335 30. 0.093753 0.078013 20.0702 26.0934 3 2459061.934294 1287120215 -24.6525407611745 31.3067127434701 -0.87594939755015 0.962429892622233 -45.6241387863423 54.7937774502372 -0.838259782833244 1.04112854701849 2.29555170630298 19.4879998207092 0.068000003695488 2.2039999961853 0.28099998831749 2458362.916643 2459503.734282 0
 1 245 10 3 ZTF_r 1307452963915 0 1.945 322.695 7.28531 26.2356 1.29856e-05 0.0276663 0.127713 2.02079e-05 341 30. 0.086089 0.069544 20.2715 26.2356 1 2459061.952963 245120239 0.482086776599847 30.9188366831318 0.017344303920524 0.95635302012059 -4.12324597183686 59.0196560588788 -0.0703327763643125 1.03231026309338 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 2 245 10 3 ZTF_r 1310417583915 0 2.018 319.153 22.2321 26.2089 2.68434e-05 0.0397965 0.125428 4.19936e-05 336 30. 0.089091 0.082313 19.0064 26.2089 1 2459064.917581 245120239 -58.4266358167591 93.3561577402197 -0.69618187527527 0.936667467080646 -39.0369934064334 176.207214023261 -0.223032354383786 1.03883462023271 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 3 245 10 3 ZTF_g 1310479133915 0 2.8037 122.121 20.789 26.1932 6.75297e-05 0.0437143 -0.058493 0.000161945 166 30. 0.109431 0.093851 18.7868 26.1932 1 2459064.9791319 245120139 42.0952273256666 112.050255747761 0.417902345008791 1.06725975356927 -43.2109800355445 172.922052516739 -0.251570044647791 1.07155563002752 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 4 245 10 3 ZTF_r 1345335253915 0 2.0515 297.031 13.3129 26.1295 2.20518e-05 0.036712 0.134866 3.47362e-05 343 30. 0.088553 0.093576 19.5057 26.1295 1 2459099.8352546 245120239 73.5805027511046 58.5810737808363 1.39720529889534 0.974437911296138 82.5735933899734 109.174210092613 0.76144110611654 1.03978779090581 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 5 245 10 3 ZTF_g 1345376293915 0 2.7361 107.209 12.9535 26.0425 4.95113e-05 0.045798 -0.0631856 0.000111073 224 30. 0.116602 0.096462 19.1782 26.0425 1 2459099.8762963 245120139 97.5109453634624 70.702675107493 1.53416588766231 1.05087893434775 119.868994784989 110.005338003923 1.09700421407927 1.06847770086122 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 6 245 10 3 ZTF_r 1350391513915 0 2.3545 149.835 10.4772 25.3777 3.12797e-05 0.0427815 0.137331 4.91643e-05 332 30. 0.091127 0.087036 18.9742 25.3777 1 2459104.8915162 245120239 16.2593982065137 46.5763012752385 0.388324034588234 1.00345798877603 85.1784836206292 83.1578054666218 1.03119803519791 1.05367179870435 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 7 245 10 3 ZTF_g 1352327013915 0 1.991 42.3098 4.84482 24.9705 5.1304e-05 0.0517156 -0.0304249 0.000100843 269 30. 0.109325 0.079459 19.4229 24.9705 1 2459106.8270139 245120139 16.0841176481839 21.1209542831536 0.847107458716864 0.948155313485847 30.9176963377234 39.7245954823463 0.78354300209897 1.04746116083526 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 8 245 10 3 ZTF_r 1352375433915 0 1.8874 166.401 7.79341 25.5072 1.90339e-05 0.034133 0.145344 2.98506e-05 342 30. 0.084692 0.080394 19.5195 25.5072 1 2459106.8754398 245120239 -32.3727781668985 32.9055084022715 -1.09437500945425 0.974432469110707 -72.8856821438365 63.0185658084759 -1.16436434985763 1.03869345373034 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 9 245 10 3 ZTF_g 1353335133915 0 2.4273 56.941 5.30041 25.3036 4.46713e-05 0.0488592 -0.0180153 8.93322e-05 280 30. 0.109997 0.084308 19.5033 25.3036 1 2459107.8351389 245120139 20.6059661709702 25.964886803684 0.88279801915666 1.00319661883707 77.1764828211617 43.9564089007091 1.76757548708786 1.05661126495753 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 10 245 10 3 ZTF_g 1354311683915 0 2.0225 51.1068 4.79046 25.162 3.85879e-05 0.0451232 -0.00591955 7.54633e-05 288 30. 0.103147 0.080069 19.6514 25.162 1 2459108.8116898 245120139 13.7588543210063 23.3567004028311 0.655277993950603 0.928647150031145 -67.0370142907206 42.789747178743 -1.57721222696225 1.05212727395709 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 11 245 10 3 ZTF_r 1354377123915 0 2.1068 212.049 7.43608 25.7582 1.67982e-05 0.032055 0.147475 2.61927e-05 347 30. 0.084219 0.084377 19.7563 25.7582 1 2459108.8771296 245120239 13.3917115444561 31.7852024973257 0.468668650849739 1.14022411547056 -10.0508280326957 57.7182577554297 -0.175308842145664 1.0417336804126 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 12 245 10 3 ZTF_g 1355319563915 0 2.0684 66.91 5.29521 25.4677 2.94045e-05 0.0410531 -0.0309868 5.2129e-05 311 30. 0.094538 0.080256 19.8146 25.4677 1 2459109.8195602 245120139 54.2887822645154 24.0722346939946 2.50869862852602 0.950663423354374 31.5102100052222 43.7310078207982 0.725399085530735 1.05094478327221 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 13 245 10 3 ZTF_g 1356331743915 0 2.6204 74.0341 5.89932 25.5988 3.91394e-05 0.0457224 -0.0192814 7.83787e-05 289 30. 0.104525 0.097835 19.6234 25.5988 1 2459110.8317477 245120139 27.6977179046764 31.8614332513588 0.967015601032671 1.02611125842098 61.7027852802176 51.277256746707 1.2114212231748 1.06524931366508 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 14 245 10 3 ZTF_r 1356363533915 0 2.274 188.38 10.9774 25.6051 0.000245167 0.122853 0.13449 0.000382515 346 30. 0.092673 0.093399 19.0684 25.6051 1 2459110.8635301 245120239 35.2938714180044 45.2655411330007 0.86733402465814 0.994301270982994 156.881280502991 80.705270199615 1.95697114404905 1.04188918910167 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 15 245 10 3 ZTF_r 1357408933915 0 2.3584 262.664 8.77729 26.0115 2.32076e-05 0.0380779 0.135553 3.68173e-05 351 30. 0.087013 0.107839 19.6986 26.0115 1 2459111.9089352 245120239 96.5382835064178 43.8817460762476 2.44720568945315 0.97546468366619 11.0148831446906 76.1460949270064 0.145628860246088 1.03977079965945 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 16 245 10 3 ZTF_g 1358300713915 0 2.0053 118.341 5.60909 26.1384 1.53731e-05 0.0309563 -0.0790725 2.43957e-05 347 30. 0.083431 0.077835 20.4239 26.1384 1 2459112.8007176 245120139 139.601700821674 24.5561134514744 6.32391289543854 1.00441220029828 176.571370917512 45.7226909978701 3.88779805781641 1.0397270360886 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 17 245 10 3 ZTF_r 1358360453915 0 1.7543 314.531 7.34499 26.222 1.07061e-05 0.0256349 0.123709 1.6648e-05 347 30. 0.080517 0.073286 20.3428 26.222 1 2459112.8604514 245120239 95.4171469639956 26.6614145660854 3.98105373787584 1.00387619683309 148.424475158849 53.2012436612312 2.8086584496054 1.02695443092819 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 18 245 10 3 ZTF_r 1359313733915 0 1.9459 282.461 7.44286 26.092 1.30648e-05 0.0284437 0.126679 2.05423e-05 350 30. 0.078489 0.073125 20.1505 26.092 1 2459113.8137384 245120239 132.269176542998 30.4129682012721 4.83787500082789 0.9944435389262 180.037218422006 56.9240763342239 3.1840618437498 1.03701521339698 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 19 245 10 3 ZTF_g 1359356303915 0 2.3955 101.919 5.57524 25.979 2.56756e-05 0.0394583 -0.0760665 4.20302e-05 336 30. 0.091761 0.092212 20.1045 25.979 1 2459113.8563079 245120139 102.901805282051 28.3498155341308 4.03763966050734 0.963903913293149 145.863066960487 48.5238363249179 3.02625419238084 1.04981430630365 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 20 245 10 3 ZTF_g 1363313093915 0 2.0771 122.004 6.21343 26.1571 1.66449e-05 0.0317227 -0.0599395 2.69422e-05 340 30. 0.088376 0.094933 20.3055 26.1571 1 2459117.8130903 245120139 209.613012301782 27.198742966891 8.57282991433733 1.00154946720032 159.301502338455 48.5582791128316 3.30272015508315 1.04920639783383 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
 21 245 10 3 ZTF_r 1363335253915 0 2.2072 322.559 6.85133 26.2061 1.5528e-05 0.0306261 0.141909 2.4634e-05 342 30. 0.08976 0.086052 20.2419 26.2061 1 2459117.8352546 245120239 161.382554987137 32.9092261191478 5.45498697890127 0.956908848171524 211.30318118402 57.9990954078834 3.66775238080161 1.04761819214279 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 22 245 10 3 ZTF_r 1374251193915 0 1.769 284.937 12.9928 26.0981 1.83787e-05 0.0333891 0.134705 2.88288e-05 342 30. 0.085054 0.081311 19.6202 26.0981 1 2459128.7511921 245120239 214.496380097467 49.338848264278 4.83599408538554 0.963574256037536 304.00140295858 96.0449651193974 3.18651653959932 1.03744811048922 2.32078396925538 19.3219999313354 0.0729999989271164 4.9060001373291 0.226999998092651 2458323.980498 2458364.834132 0
 23 245 10 3 ZTF_g 1374273353915 0 2.1465 101.31 12.6766 25.9549 3.46675e-05 0.0399871 -0.0352631 7.25591e-05 254 30. 0.086207 0.076384 19.2884 25.9549 1 2459128.7733565 245120139 134.029001272105 58.9222894342172 2.53031138418795 1.02706942949954 145.525267363243 106.897156083963 1.37052653015992 1.05108809123582 2.11504996095635 20.3909999847412 0.0890000015497208 3.00699996948242 0.263999998569489 2458313.980521 2458363.836215 0
