# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:36:29
#
# Requested input R.A. = 25.73752916666666 degrees
# Requested input Dec. = -16.445433333333334 degrees
# Requested JD start = 2458868.834 days
# Requested JD end = 2459368.834 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 297 9 2 ZTF_r 1118127313415 0 2.2131 191.919 9.80071 26.2752 1.71498e-05 0.0275843 0.120774 2.33207e-05 296 30. 0.083473 0.101075 19.8735 26.2752 1 2458872.6273148 297120234 8.07575215798218 47.0730441735559 0.190838282148752 0.943034061081559 -91.0145759294866 84.770537908645 -1.08088926406992 1.03951046686614 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 1 297 9 2 ZTF_g 1118149583415 0 2.4152 110.645 8.26501 26.1555 3.20368e-05 0.0378253 -0.0476286 4.73769e-05 282 30. 0.088775 0.107938 19.8829 26.1555 1 2458872.6495833 297120134 39.768686818126 40.7893973917687 1.08454796163094 1.05458605152165 12.8353767264591 67.7238717461851 0.190801609447587 1.07441529574435 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
 2 297 9 2 ZTF_r 1121091213415 0 2.5376 189.833 13.9339 26.2646 2.90909e-05 0.0355485 0.124545 3.98133e-05 295 30. 0.080918 0.110295 19.3804 26.2646 1 2458875.5912153 297120234 30.9144583910031 73.4708943956079 0.468059556288897 0.940233094413935 89.1000190453106 120.694602761783 0.743199039123439 1.05862391072462 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 3 297 9 2 ZTF_g 1121126743415 0 2.916 111.325 6.53335 26.1897 3.56369e-05 0.0395665 -0.0922812 5.17692e-05 281 30. 0.106114 0.110706 19.9863 26.1897 1 2458875.6267477 297120134 -37.0125575924246 38.1064685043104 -1.08045129564636 0.998893513160335 -35.9680727855842 58.5718859394701 -0.618220145115963 1.07972104754821 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
 4 297 9 2 ZTF_r 1124128493415 8 6.4466 181.923 11.5591 26.2567 8.40873e-05 0.0460461 0.113523 0.000134302 165 30. 0.14706 0.162977 18.7173 26.2567 1 2458878.6284954 297120234 31.1230473703589 135.938266506024 0.254680203007588 0.912246871911692 37.1826676456095 152.987215081223 0.24468119791337 1.52909289938796 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 5 297 9 2 ZTF_r 1127099133415 0 2.8723 192.717 13.8801 26.2732 7.73662e-05 0.0588718 0.122973 0.000105814 295 30. 0.117187 0.14945 19.3006 26.2732 1 2458881.5991319 297120234 187.05661107552 77.3328790623308 2.69069011962344 0.991130976134176 170.502476121241 118.099513346655 1.45344223056973 1.072695547561 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 6 297 9 2 ZTF_g 1127128783415 0 3.3927 111.031 12.1668 26.1578 6.92057e-05 0.0475429 -0.0278118 0.000134002 194 30. 0.114596 0.157833 19.1779 26.1578 1 2458881.6287847 297120134 -99.7966822715701 73.9508707822598 -1.50116217297112 1.00611459561372 -2.38821439313249 102.817851794833 -0.0233840632974279 1.11583146922169 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
 7 297 9 2 ZTF_g 1131098553415 0 2.9486 105.348 19.003 26.1214 5.84699e-05 0.0391021 -0.0455748 0.000120073 155 30. 0.085333 0.120208 18.7774 26.1214 1 2458885.5985532 297120134 -45.5288368822754 117.058952301577 -0.432650015800353 0.895627802733003 -74.3042267814819 175.835696978132 -0.425423684209272 1.09316255292648 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
 8 297 9 2 ZTF_r 1131128883415 0 3.3458 160.94 17.5002 26.0896 6.59808e-05 0.0499129 0.134964 9.13773e-05 244 30. 0.102011 0.132704 18.724 26.0896 1 2458885.6288889 297120234 3.78160738743443 104.071840637844 0.0404201576573698 1.00257870932347 -30.3071398068727 145.045910927408 -0.210355879335755 1.09574388351367 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 9 1340 3 3 ZTF_r 1307450631115 0 1.9023 319.198 6.24793 26.1453 2.21492e-05 0.0297194 0.127373 2.85695e-05 291 30. 0.086651 0.077394 20.4283 26.1453 3 2459061.9506366 1340120211 -406.772358296276 23.4679795630013 -19.2810434390874 1.14989412217881 -386.059059779729 44.5631450473324 -8.72153860205349 1.03598868997619 0.125520153193602 19.3549999237061 0.028999999165535 0.772000014781952 0.046000000089407 2458356.913183 2459157.832662 0
 10 297 9 2 ZTF_r 1307451093415 0 1.9069 189.362 6.93466 26.268 1.80345e-05 0.0287554 0.120089 2.47595e-05 304 30. 0.092002 0.086786 20.3909 26.268 1 2459061.9510995 297120234 -42.9429149220876 27.8878256349128 -1.71289865072619 1.01286157527364 -81.0359832323543 53.4293391638358 -1.5269094942698 1.03697676187806 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 11 297 9 2 ZTF_r 1310418113415 0 2.0322 182.163 19.6715 26.1825 3.99421e-05 0.0423236 0.130315 5.49621e-05 298 30. 0.08281 0.113235 19.0885 26.1825 1 2459064.9181134 297120234 76.6601179219273 80.526390830491 1.05897583384827 1.12859740405283 -28.0509623448579 150.883912255614 -0.187163010078362 1.03631378812391 0.263740298167091 21.1509999275208 0.141000002622604 3.0239999294281 0.239999994635582 2458314.941250 2458362.897141 0
 12 297 9 2 ZTF_g 1310461743415 0 2.9443 119.633 18.6932 26.2365 5.90921e-05 0.0405567 -0.0192829 0.000119477 171 30. 0.089711 0.126529 18.9141 26.2365 1 2459064.9617477 297120134 84.4063695315618 105.057854569553 0.89372003599186 1.01625316188372 259.005815335546 156.077634199523 1.670644456786 1.09638237279793 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
 13 297 9 2 ZTF_g 1330424663415 0 2.3056 105.434 5.4391 26.112 3.15338e-05 0.0374586 -0.073519 4.34153e-05 296 30. 0.125387 0.106358 20.3515 26.112 1 2459084.9246644 297120134 23.75712086287 23.4713011102289 1.12593013568983 1.0934960374539 11.1073594313369 41.3219513715189 0.27061084399502 1.05712175014973 0.970830982571882 21.8059999465942 0.142000004649162 0.806999981403351 -0.0509999990463257 2458314.979340 2458348.879537 0
