# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 15:16:50
#
# Requested input R.A. = 24.07314583333333 degrees
# Requested input Dec. = -0.09939444444444444 degrees
# Requested JD start = 2458886.831620405 days
# Requested JD end = 2459386.831620405 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 399 14 3 ZTF_r 1138130555515 0 1.7904 137.257 9.81559 26.1392 2.05316e-05 0.0292987 0.10089 2.88919e-05 300 30. 0.085596 0.064361 19.9148 26.1392 1 2458892.6305556 399120255 14.0544431036579 39.4104976546101 0.396694814813659 0.907560290546961 77.5767523950446 77.2260042894829 1.01130748643993 1.03572885473028 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 1 399 14 3 ZTF_g 1138152075515 0 1.982 94.7678 8.83199 26.0624 2.47949e-05 0.0321068 -0.0275299 3.62145e-05 287 30. 0.084344 0.069661 19.8649 26.0624 1 2458892.6520718 399120155 56.0897730082195 38.9874238272885 1.60034620491447 0.992125572490764 69.717916482965 71.2183656220539 0.985524871971466 1.06934145543549 1.08266875349693 21.8119999885559 0.174999997019768 1.91999995708466 0.34799998998642 2458307.961412 2458365.909074 0
 2 399 14 3 ZTF_r 1141115945515 0 1.9443 142.452 9.54697 26.1713 1.95287e-05 0.0289448 0.110154 2.68923e-05 308 30. 0.089067 0.067075 19.9126 26.1713 1 2458895.6159491 399120255 39.9156626203211 39.2465364514681 1.13134955000371 0.925400151740033 131.868504901899 75.0743550615808 1.76833549566373 1.04124677882212 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 3 399 14 3 ZTF_g 1141130605515 0 2.5618 103.155 8.08887 26.1606 3.1056e-05 0.0359428 -0.0173074 4.71443e-05 287 30. 0.094025 0.090981 19.872 26.1606 1 2458895.6306019 399120155 -5.44761419121358 43.2059396048449 -0.140254785854158 0.999082026864364 74.4042865792653 70.0845668812831 1.06878599759493 1.0932845601633 1.08266875349693 21.8119999885559 0.174999997019768 1.91999995708466 0.34799998998642 2458307.961412 2458365.909074 0
 4 399 14 3 ZTF_r 1146109425515 0 2.4815 36.1509 18.2467 24.9244 0.00138081 0.172541 0.0735155 0.00207111 151 30. 0.096674 0.083398 17.7648 24.9244 2 2458900.6094213 399120255 71.4708485880667 89.3646504282525 0.889647533102935 1.04047500309142 95.994587280671 147.207763126335 0.656494700392315 1.05902387168119 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 5 399 14 3 ZTF_r 1146114405515 0 2.5547 39.8979 17.221 24.8792 0.000250577 0.0750966 0.112336 0.000374486 159 30. 0.091273 0.075983 17.75 24.8792 2 2458900.6144097 399120255 57.7870007131399 87.1594627514692 0.737514240784333 1.01509326425004 -40.5826794337669 140.497151009074 -0.290795975727902 1.06443338286682 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 6 399 14 3 ZTF_r 1146119395515 0 2.8613 90.4123 13.6524 25.7106 5.05448e-05 0.0438549 0.103401 6.89046e-05 277 30. 0.095984 0.07603 18.7544 25.7106 2 2458900.6193981 399120255 49.7262353144207 74.3595124932562 0.743881654032518 1.06240222466152 83.6546602227964 111.540681412816 0.755043613735565 1.08577441486072 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 7 399 14 3 ZTF_r 1146124385515 0 2.8179 75.8964 17.2091 25.4509 0.000568277 0.136488 0.114965 0.000784892 237 30. 0.096754 0.075429 18.2619 25.4509 2 2458900.6243866 399120255 24.4665632495024 81.3982048901816 0.334358942720168 0.980393425150595 13.6549108788243 124.240645663708 0.11064718326108 1.07045200843788 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
 8 399 14 3 ZTF_r 1150109525515 0 2.0471 133.286 17.1923 26.1116 2.85034e-05 0.0343743 0.114764 3.91566e-05 304 30. 0.079881 0.062543 19.1489 26.1116 2 2458904.6095255 399120255 128.198129495952 78.7186992461119 1.81158443451144 0.946316468892384 107.297931818864 146.260479569451 0.738549400911461 1.0406971989229 0.576356491543753 21.0810002326965 0.141000002622604 3.53099989891052 0.45100000500679 2458312.942662 2458367.868241 0
