# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:52:04
#
# Requested input R.A. = 31.211875 degrees
# Requested input Dec. = -17.76120277777778 degrees
# Requested JD start = 2458886.833 days
# Requested JD end = 2459386.833 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 298 6 0 ZTF_g 1138122832015 0 2.2902 95.5734 8.86692 26.1054 5.79592e-05 0.0394216 -0.107959 7.98011e-05 185 30. 0.105091 0.084276 19.7719 26.1054 1 2458892.6228356 298120120 -15.2983192591551 44.4985407595504 -0.382430702824835 1.06092764224656 -51.4173232599303 78.9315545718285 -0.655803907210158 1.04717396065719 1.74718365740157 18.2410003662109 0.0810000002384186 6.39900016784668 0.414000004529953 2458314.978877 2458367.950532 0
 1 298 6 0 ZTF_r 1138129202015 0 1.8282 190.634 11.1908 26.1557 3.71214e-05 0.0326478 0.134915 4.54075e-05 217 30. 0.089292 0.080411 19.7672 26.1557 1 2458892.6292014 298120220 -5.50829691052301 48.6507631714655 -0.125945450883149 0.938890200670641 -151.215563412418 95.9799763468447 -1.58610175503736 1.0404489017035 1.77109377873556 17.9819997787476 0.0670000016689301 5.60900020599365 0.34400001168251 2458319.964236 2458364.877095 0
 2 298 6 0 ZTF_r 1307454472015 0 1.8104 202.855 6.35333 26.2438 3.86878e-05 0.0330068 0.117161 4.67338e-05 213 30. 0.13234 0.078441 20.4907 26.2438 1 2459061.9544792 298120220 -56.2234748353317 27.7070091786121 -2.25726649724618 1.08210614068119 -165.887102187933 54.0191410083117 -3.09157750842006 1.04083711186474 1.77109377873556 17.9819997787476 0.0670000016689301 5.60900020599365 0.34400001168251 2458319.964236 2458364.877095 0
 3 298 6 0 ZTF_r 1310438862015 0 2.5739 206.166 16.62 26.2389 5.78777e-05 0.0385952 0.114243 6.87634e-05 207 30. 0.098966 0.093041 19.1371 26.2389 1 2459064.9388657 298120220 -103.709179624442 91.539505287522 -1.26026953768736 0.895194338823395 -42.8409350340378 149.265621194295 -0.288944439123063 1.05393027363198 1.77109377873556 17.9819997787476 0.0670000016689301 5.60900020599365 0.34400001168251 2458319.964236 2458364.877095 0
 4 298 6 0 ZTF_g 1310462222015 0 3.1151 108.847 18.5842 26.1921 0.00014977 0.0472799 -0.0402901 0.000287081 92 30. 0.111335 0.102477 18.8244 26.1921 1 2459064.9622222 298120120 -94.8916571155435 112.796692937921 -0.935807378528168 0.988847005681316 -164.540993007626 162.361017122268 -1.02025220707776 1.09687298700553 1.74718365740157 18.2410003662109 0.0810000002384186 6.39900016784668 0.414000004529953 2458314.978877 2458367.950532 0
 5 298 6 0 ZTF_g 1330444362015 0 2.2063 97.1463 4.89275 26.1035 0.000134049 0.0599483 -0.163754 0.000163796 206 30. 0.189564 0.084925 20.4505 26.1035 1 2459084.9443634 298120120 -92.3654760638553 23.6833803956932 -4.33831201408822 1.07770936657028 -130.4541668018 42.5593193787957 -3.08587602052472 1.05443083374596 1.74718365740157 18.2410003662109 0.0810000002384186 6.39900016784668 0.414000004529953 2458314.978877 2458367.950532 0
 6 298 6 0 ZTF_g 1337429882015 0 2.1799 112.163 8.67816 26.283 5.09824e-05 0.0364366 -0.100489 6.82131e-05 180 30. 0.093412 0.080015 20.029 26.283 1 2459091.9298843 298120120 -68.1542135426662 43.5224596650698 -1.7419435631951 1.00701777784264 -46.421798992542 77.6908448855553 -0.601543882660489 1.05606562367711 1.74718365740157 18.2410003662109 0.0810000002384186 6.39900016784668 0.414000004529953 2458314.978877 2458367.950532 0
 7 1291 16 3 ZTF_g 1337432246315 0 2.0044 335.439 7.72421 26.2203 3.284e-05 0.0333304 -0.0524997 4.08003e-05 250 30. 0.082339 0.083324 20.2543 26.2203 2 2459091.9322454 1291120163 -204.100422770689 33.1584987299347 -6.84705546657779 1.00016117817627 -195.381313810796 61.9273165574847 -3.17625934942573 1.04653212111917 1.62111127105037 18.2050001144409 0.0820000022649765 6.53299999237061 0.625999987125397 2459091.932245 2459168.745104 0
 8 1291 16 3 ZTF_g 1337432706315 0 2.1867 334.564 7.58631 26.2191 2.81979e-05 0.0308306 -0.0457502 3.54566e-05 243 30. 0.088639 0.086351 20.1684 26.2191 3 2459091.9327083 1291120163 -186.317382149524 34.5495585820763 -5.99881780154114 1.03874203483087 -185.694701824099 61.7773535459179 -3.02611483973425 1.05102993501387 1.62111127105037 18.2050001144409 0.0820000022649765 6.53299999237061 0.625999987125397 2459091.932245 2459168.745104 0
