# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:33:24
#
# Requested input R.A. = 25.09607083333333 degrees
# Requested input Dec. = -14.079880555555555 degrees
# Requested JD start = 2458878.923 days
# Requested JD end = 2459378.923 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 297 13 1 ZTF_r 1127099134915 0 2.5851 167.915 12.8401 26.1452 3.15307e-05 0.0358038 0.106214 4.20157e-05 300 30. 0.094445 0.115575 19.3048 26.1452 1 2458881.5991319 297120249 18.6287280328625 67.1307570644095 0.308685662623436 0.960513395018909 35.1262362108351 107.979750348232 0.327494861940835 1.07487294134749 1.72537537690269 18.6080001831055 0.0879999995231628 8.37100028991699 0.335999995470047 2458314.941250 2458352.003264 0
 1 297 13 1 ZTF_g 1127128784915 0 3.123 99.9021 11.7215 26.1349 0.000136664 0.0615573 -0.0291279 0.000246121 184 30. 0.120273 0.127572 19.2717 26.1349 1 2458881.6287847 297120149 19.8318283332887 71.6441943429855 0.307919045805046 1.0418649613142 -12.7032924526994 103.252228242595 -0.12386027958838 1.14483022433445 0.575483936160632 18.9560000419617 0.111000001430511 7.90100002288818 0.671000003814697 2458314.979340 2458348.879537 0
 2 297 13 1 ZTF_g 1131098554915 0 2.8406 96.2667 17.7646 26.0911 9.51754e-05 0.0448646 -0.0373356 0.000199362 142 30. 0.095913 0.087852 18.8492 26.0911 1 2458885.5985532 297120149 52.5077375251764 105.278769114771 0.554801093079497 0.98724051898118 230.640147621284 158.875897107106 1.46147733239134 1.13441861328951 0.575483936160632 18.9560000419617 0.111000001430511 7.90100002288818 0.671000003814697 2458314.979340 2458348.879537 0
 3 297 13 1 ZTF_r 1131128884915 0 3.3415 139.575 16.6316 25.9435 7.86496e-05 0.0487139 0.0969011 0.000111712 221 30. 0.098005 0.088827 18.5943 25.9435 1 2458885.6288889 297120249 -63.6438085580166 99.7406791218927 -0.70980432429913 1.01040598286136 -40.6031351285174 138.722903080108 -0.294663668883147 1.10319160857467 1.72537537690269 18.6080001831055 0.0879999995231628 8.37100028991699 0.335999995470047 2458314.941250 2458352.003264 0
 4 1340 7 1 ZTF_r 1307450632515 0 1.8887 393.297 6.56189 26.2476 1.84787e-05 0.0283859 0.133419 2.68346e-05 288 30. 0.078284 0.06562 20.4617 26.2476 3 2459061.9506366 1340120225 -43.5785166010622 25.9223416857693 -1.87004911583137 0.964884372214334 -99.4956160314079 49.8246167985186 -2.01036618374612 1.03569126011683 1.84722603005754 18.5550002098083 0.104000002145767 6.54099988937378 1.03799998760223 2458356.913183 2459139.784456 0
 5 297 13 1 ZTF_r 1307451094915 0 1.9795 163.041 6.69947 26.1229 2.23718e-05 0.0298706 0.0836025 2.97524e-05 298 30. 0.098558 0.065473 20.2057 26.1229 1 2459061.9510995 297120249 23.7846280242418 28.0028919108691 0.94481826587852 0.994324087767978 15.5296413038063 52.0851262809777 0.300166966038321 1.04751319064688 1.72537537690269 18.6080001831055 0.0879999995231628 8.37100028991699 0.335999995470047 2458314.941250 2458352.003264 0
 6 297 13 1 ZTF_r 1310418114915 0 2.0245 159.334 18.0929 26.0821 3.37217e-05 0.036272 0.106606 4.42342e-05 294 30. 0.08934 0.082553 19.0051 26.0821 1 2459064.9181134 297120249 -162.363665684938 73.9104459314488 -2.44364338087441 1.03329341406237 -121.600549401236 137.20487447544 -0.892238971580006 1.04796277761915 1.72537537690269 18.6080001831055 0.0879999995231628 8.37100028991699 0.335999995470047 2458314.941250 2458352.003264 0
 7 297 13 1 ZTF_g 1310461744915 0 2.8612 104.796 18.0553 26.209 9.82311e-05 0.0461239 -0.0441487 0.000193133 148 30. 0.105021 0.090055 18.9424 26.209 1 2459064.9617477 297120149 28.0564938454352 105.177861973958 0.296731642170145 0.977839262996317 67.5137080688342 157.85743514481 0.43056835881517 1.12992026510525 0.575483936160632 18.9560000419617 0.111000001430511 7.90100002288818 0.671000003814697 2458314.979340 2458348.879537 0
 8 297 13 1 ZTF_g 1330424664915 0 2.2014 95.3082 5.38863 26.0743 5.90038e-05 0.0485812 -0.0990913 8.01764e-05 289 30. 0.137328 0.07555 20.3403 26.0743 1 2459084.9246644 297120149 3.916432215127 23.6249457786747 0.184405807807577 1.16843669204931 6.38415941213996 42.3656729353264 0.151706715550209 1.07781934229877 0.575483936160632 18.9560000419617 0.111000001430511 7.90100002288818 0.671000003814697 2458314.979340 2458348.879537 0
