# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:16:24
#
# Requested input R.A. = 83.16882083333333 degrees
# Requested input Dec. = 14.679749999999999 degrees
# Requested JD start = 2459225.966 days
# Requested JD end = 2459725.966 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 511 16 0 ZTF_g 1473214866015 0 1.96 106.489 5.38172 26.2451 5.6865e-06 0.0213957 -0.0529706 7.74714e-06 2116 30. 0.039104 0.045904 20.7021 26.2451 1 2459227.7148611 511120160 68.3650456853319 22.8254890440967 3.33172247305324 0.951906969965348 10.1495177120139 40.2362842394632 0.253946791829609 1.08780210913842 null null null null null 2458168.632836 2458438.906412 57
 1 511 16 0 ZTF_r 1473270136015 0 1.7243 232.636 6.41447 26.1466 4.0317e-06 0.0178061 0.0803305 5.5018e-06 2116 30. 0.034355 0.040626 20.4835 26.1466 1 2459227.7701389 511120260 -22.7772414299333 21.3272943066249 -1.18801018577126 0.981281709634536 33.3942563027893 40.8077927791141 0.823841875553013 1.05030710192673 null null null null null 2458160.707639 2458434.858345 57
 2 511 16 0 ZTF_g 1475214516015 0 4.4721 109.141 5.70733 26.2749 2.04593e-05 0.040122 -0.0453775 2.78909e-05 2038 30. 0.084812 0.084137 19.933 26.2749 1 2459229.7145139 511120160 7.06621404522422 39.937555617549 0.19681586780613 1.07335514065979 10.9835316288157 48.2828630250063 0.229015134014431 1.24935761587393 null null null null null 2458168.632836 2458438.906412 57
 3 511 16 0 ZTF_r 1475234886015 0 4.5128 238.266 6.89988 26.1934 1.15233e-05 0.0303438 0.0795245 1.5662e-05 2088 30. 0.091937 0.090936 19.6614 26.1934 1 2459229.7348843 511120260 10.5932415958948 53.6674160545758 0.219569995321446 0.941396445492937 3.55137229548163 64.4992254858398 0.0554315337167033 1.24959944355584 null null null null null 2458160.707639 2458434.858345 57
 4 511 16 0 ZTF_r 1477207126015 0 2.9787 241.084 6.57401 26.1973 5.0734e-06 0.0199593 0.0787509 6.95054e-06 2118 30. 0.053959 0.064166 20.0982 26.1973 1 2459231.7071296 511120260 14.5638430074193 38.0689727225543 0.425558855437211 0.867450083351137 50.0616163990507 55.7032348430163 0.90477302454379 1.11068658644076 null null null null null 2458160.707639 2458434.858345 57
 5 511 16 0 ZTF_g 1477228196015 0 3.1227 109.209 5.51712 26.2857 9.6071e-06 0.0280502 -0.0589061 1.30855e-05 2118 30. 0.059559 0.070195 20.286 26.2857 1 2459231.7281944 511120160 30.4246967795745 33.6178148972585 1.00672667956838 1.03016887714654 -8.87169597648594 47.874073946008 -0.186561255877087 1.12284380948249 null null null null null 2458168.632836 2458438.906412 57
 6 511 16 0 ZTF_r 1479243346015 0 2.1228 239.342 6.28677 26.1818 3.437e-06 0.0163853 0.076522 4.69929e-06 2119 30. 0.043867 0.049974 20.4477 26.1818 1 2459233.7433449 511120260 -15.6890352257023 22.345349788783 -0.781023105014893 0.924651871289437 -14.1128862123218 40.3614402229614 -0.352017599829418 1.04968956521783 null null null null null 2458160.707639 2458434.858345 57
 7 511 16 0 ZTF_g 1479301116015 0 2.63 106.268 4.84578 26.2611 7.5261e-06 0.0246506 -0.0660304 1.02595e-05 2117 30. 0.053539 0.061192 20.5314 26.2611 1 2459233.8011111 511120160 5.59913815252437 24.2039105372454 0.257330015069794 1.00331212361009 -17.4389826708658 39.0068527927911 -0.450085919921973 1.08232263479388 null null null null null 2458168.632836 2458438.906412 57
 8 511 16 0 ZTF_g 1495164026015 33554432 3.0051 30.5881 7.01888 24.8793 6.7452e-05 0.0545939 -0.0198886 9.58321e-05 1109 30. 0.06154 0.068869 18.6426 24.8793 1 2459249.6640278 511120160 -25.4079932797353 40.6070123067928 -0.696023863525876 1.03658862991389 -77.2156026692961 59.1912608509076 -1.31329613659808 1.12148093241792 null null null null null 2458168.632836 2458438.906412 57
 9 511 16 0 ZTF_r 1495206406015 0 2.503 240.736 6.41983 26.1888 3.9999e-06 0.0178251 0.0877707 5.46114e-06 2120 30. 0.042773 0.051595 20.3037 26.1888 1 2459249.7064005 511120260 15.3131101595141 26.5896569435897 0.640627346827234 1.08683715884566 50.1810427503448 42.9616028302512 1.17591085137208 1.07732577964798 null null null null null 2458160.707639 2458434.858345 57
 10 511 16 0 ZTF_g 1497165166015 0 2.7942 109.978 5.42007 26.2847 7.8857e-06 0.0253366 -0.0476786 1.07081e-05 2115 30. 0.050689 0.056674 20.4021 26.2847 1 2459251.665162 511120160 -13.2942251018446 29.2325007155791 -0.505885067427134 1.01049425176247 -4.45156410707182 44.0807016048459 -0.101666840233791 1.11852622609349 null null null null null 2458168.632836 2458438.906412 57
 11 511 16 0 ZTF_r 1497191036015 0 2.3324 243.191 6.31884 26.2095 3.1588e-06 0.0157622 0.075608 4.31248e-06 2118 30. 0.043072 0.04455 20.3876 26.2095 1 2459251.6910301 511120260 4.86676004533136 25.8997383894475 0.209025541756488 0.950030263831463 72.4482327461472 44.8448399252537 1.62641177632841 1.05338492698492 null null null null null 2458160.707639 2458434.858345 57
