# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 07:42:11
#
# Requested input R.A. = 7.2874333333333325 degrees
# Requested input Dec. = 4.721152777777778 degrees
# Requested JD start = 2459240.843 days
# Requested JD end = 2459740.843 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 447 9 2 ZTF_g 1631431133415 0 3.1993 84.0435 5.5366 26.0116 3.93004e-05 0.0441006 -0.0304989 5.88004e-05 313 30. 0.164624 0.108039 19.9438 26.0116 1 2459385.9311343 447120134 49.6670343555004 32.9629361197665 1.67608925176042 1.07245298751321 26.6447153046868 46.4627032351993 0.577326912286575 1.11239835323102 0.852492958776964 22.3180000305176 0.194000005722046 1.00399994850159 -0.0590000003576279 2458280.946493 2458376.829120 0
 1 447 9 2 ZTF_g 1636451463415 0 2.1986 100.703 17.5717 26.2438 3.40057e-05 0.0379871 -0.028086 5.58872e-05 257 30. 0.106131 0.083572 19.2306 26.2438 1 2459390.9514699 447120134 -79.3036052645931 80.3963960762118 -1.09726405241335 1.05437187980859 31.846582909235 140.016380505987 0.228980861821721 1.06528835529634 0.852492958776964 22.3180000305176 0.194000005722046 1.00399994850159 -0.0590000003576279 2458280.946493 2458376.829120 0
 2 447 9 2 ZTF_r 1638431643415 33554432 3.4275 202.652 14.3958 26.2493 5.41489e-05 0.0504191 0.134439 7.02268e-05 339 30. 0.145388 0.128786 19.0774 26.2493 1 2459392.9316435 447120234 36.5547200504516 92.2300211673431 0.440885641332721 0.966437490930285 4.28690824795179 125.695644152277 0.0343351661129971 1.11344361472155 null null null null null 2458283.964039 2458447.817986 57
 3 447 9 2 ZTF_g 1645422073415 0 2.814 92.0532 6.90236 26.1198 5.15625e-05 0.0517063 -0.0348291 7.46943e-05 331 30. 0.152065 0.095641 19.926 26.1198 1 2459399.9220718 447120134 -2.99230221311596 39.4293365395744 -0.084419113148308 0.951386776752662 50.2955966520215 60.8287315765931 0.832408289255033 1.09105788852389 0.852492958776964 22.3180000305176 0.194000005722046 1.00399994850159 -0.0590000003576279 2458280.946493 2458376.829120 0
 4 447 9 2 ZTF_r 1647438713415 0 2.4985 215.573 6.90275 26.3065 1.89139e-05 0.0317856 0.128938 2.49232e-05 368 30. 0.120583 0.087297 20.2179 26.3065 1 2459401.9387153 447120234 -3.3072836025251 33.1854550094629 -0.110860915844475 1.05286218447342 12.4974945192464 54.8159116314472 0.229525798065134 1.06095331579887 null null null null null 2458283.964039 2458447.817986 57
 5 447 9 2 ZTF_g 1649401973415 0 2.0478 83.8149 5.69328 26.0099 2.575e-05 0.0371986 -0.0520402 3.53021e-05 357 30. 0.118827 0.08649 20.2873 26.0099 1 2459403.9019792 447120134 -26.8623147099365 27.0666954974965 -1.10398455312686 0.920468274937803 -16.7444079164459 48.4345962854634 -0.348040115123462 1.06439622666778 0.852492958776964 22.3180000305176 0.194000005722046 1.00399994850159 -0.0590000003576279 2458280.946493 2458376.829120 0
 6 447 9 2 ZTF_r 1649423033415 0 1.6617 196.04 7.25133 26.2022 1.43402e-05 0.0274313 0.120693 1.88533e-05 367 30. 0.100388 0.07668 20.4073 26.2022 1 2459403.9230324 447120234 11.9047280221739 27.898024296753 0.474679887537884 0.950925135060727 64.8391796072503 56.2482831591099 1.16049542397188 1.03664352962406 null null null null null 2458283.964039 2458447.817986 57
 7 447 9 2 ZTF_r 1651435253415 0 1.8806 199.139 6.47346 26.2241 1.3157e-05 0.0262542 0.120777 1.73339e-05 364 30. 0.102765 0.073168 20.4372 26.2241 1 2459405.9352546 447120234 -2.48821411233283 25.2214204305301 -0.109742034760217 1.00886813460688 15.3761967731366 48.3770405465671 0.319981465756905 1.03949379093453 null null null null null 2458283.964039 2458447.817986 57
 8 447 9 2 ZTF_g 1651461673415 0 2.8864 95.2127 5.71543 26.1675 3.42386e-05 0.0422657 -0.0649351 4.76417e-05 345 30. 0.141594 0.0891 20.1469 26.1675 1 2459405.9616782 447120134 -44.541074693131 30.2825637741891 -1.63614900331492 0.970894487009786 -33.0845429119676 45.733052033561 -0.728299724836939 1.09578765573666 0.852492958776964 22.3180000305176 0.194000005722046 1.00399994850159 -0.0590000003576279 2458280.946493 2458376.829120 0
