# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 10:17:15
#
# Requested input R.A. = 28.456683333333327 degrees
# Requested input Dec. = 10.560875000000001 degrees
# Requested JD start = 2459241.906 days
# Requested JD end = 2459741.906 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 503 7 2 ZTF_g 1494130152615 0 1.7049 78.7304 7.77255 26.1811 3.83594e-05 0.0361356 -0.0715943 4.58295e-05 288 30. 0.066461 0.067196 20.2652 26.1811 1 2459248.6301505 503120126 34.1888937488006 31.0074997435334 1.22651566921022 0.986644419268412 2.82183999824514 61.7293581979701 0.0460209750420027 1.04087165288997 1.3244011344133 21.1699997901916 0.0670000016689301 1.15799999237061 0.100000001490116 2458313.964896 2458352.939062 0
 1 503 7 2 ZTF_r 1494149402615 0 1.6877 142.776 9.91786 26.1357 2.75043e-05 0.0301092 0.117662 3.11075e-05 296 30. 0.074218 0.06256 19.964 26.1357 1 2459248.6494097 503120226 9.87189065279723 38.6497160242939 0.284124595193297 0.995505815600501 -46.3088144303162 78.280403996123 -0.595560377565077 1.02991392998605 1.39302788577141 20.3609999656677 0.0900000035762787 3.92400002479553 0.375999987125397 2458313.927072 2458428.753819 0
 2 503 7 2 ZTF_g 1496145152615 0 3.6339 86.4568 7.28885 26.28 5.40308e-05 0.0391461 -0.0360087 7.83897e-05 219 30. 0.087208 0.083696 19.7894 26.28 1 2459250.6451505 503120126 27.9744565905662 52.0251203228604 0.598140716762384 0.931654916228552 3.74798826527399 68.968237003367 0.05470969457573 1.1284694450156 1.3244011344133 21.1699997901916 0.0670000016689301 1.15799999237061 0.100000001490116 2458313.964896 2458352.939062 0
 3 503 7 2 ZTF_r 1496150572615 0 3.7132 163.924 8.4332 26.3047 4.56427e-05 0.0392287 0.113799 5.22101e-05 294 30. 0.087584 0.079277 19.6462 26.3047 1 2459250.6505787 503120226 12.9237485697309 55.8285804665365 0.257505622472186 0.977666898594186 47.7921382613876 72.8484054492161 0.660467731113696 1.13994800484874 1.39302788577141 20.3609999656677 0.0900000035762787 3.92400002479553 0.375999987125397 2458313.927072 2458428.753819 0
 4 503 7 2 ZTF_r 1498152632615 0 1.6092 163.736 8.70845 26.2933 3.17589e-05 0.0322151 0.119277 3.62874e-05 292 30. 0.07182 0.067295 20.2801 26.2933 1 2459252.6526389 503120226 -24.7473333357428 32.5237952345446 -0.846412349114371 0.903960908151553 -94.6683433284725 66.3804430649114 -1.43575329821658 1.0316712350658 1.39302788577141 20.3609999656677 0.0900000035762787 3.92400002479553 0.375999987125397 2458313.927072 2458428.753819 0
 5 503 7 2 ZTF_g 1500144392615 0 1.6811 70.2306 8.02413 26.0509 3.37332e-05 0.0333562 -0.0791483 4.16104e-05 276 30. 0.067456 0.067362 20.1202 26.0509 1 2459254.6443981 503120126 7.83288275711837 33.4036855592783 0.260844714051235 0.921318203324456 -18.7752648386928 67.0620032004203 -0.281854350087413 1.04463425903514 1.3244011344133 21.1699997901916 0.0670000016689301 1.15799999237061 0.100000001490116 2458313.964896 2458352.939062 0
 6 503 7 2 ZTF_r 1500153542615 0 1.4512 153.723 9.39477 26.2256 2.67437e-05 0.0298532 0.105913 3.07554e-05 294 30. 0.074608 0.071945 20.2043 26.2256 1 2459254.6535417 503120226 34.425852655962 33.2029087000217 1.15335599005601 1.00856890803219 -2.12397368549818 70.738377702992 -0.0302279871253281 1.02946194984085 1.39302788577141 20.3609999656677 0.0900000035762787 3.92400002479553 0.375999987125397 2458313.927072 2458428.753819 0
 7 503 7 2 ZTF_g 1502143922615 0 2.8919 82.5207 7.40833 26.2225 5.84774e-05 0.0427024 -0.0524418 7.60444e-05 254 30. 0.087437 0.072978 19.908 26.2225 1 2459256.6439236 503120126 -59.0612389221294 42.9491973383258 -1.52968603573886 1.01043066645214 -78.4510586123512 65.1182513680981 -1.21286166852558 1.08142917067556 1.3244011344133 21.1699997901916 0.0670000016689301 1.15799999237061 0.100000001490116 2458313.964896 2458352.939062 0
 8 503 7 2 ZTF_r 1502164502615 0 1.8479 155.797 8.98016 26.2194 2.41845e-05 0.028403 0.116282 2.76652e-05 295 30. 0.076663 0.066618 20.0627 26.2194 1 2459256.6645023 503120226 17.9911072658481 38.5099165173248 0.519684922407843 1.04049396939661 74.0496243274624 74.3093692284314 1.00321606254765 1.03484750914287 1.39302788577141 20.3609999656677 0.0900000035762787 3.92400002479553 0.375999987125397 2458313.927072 2458428.753819 0
