# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 07:42:12
#
# Requested input R.A. = 128.14353749999998 degrees
# Requested input Dec. = 9.05248888888889 degrees
# Requested JD start = 2459250.9577431018 days
# Requested JD end = 2459750.9577431018 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 517 3 0 ZTF_g 1497289940815 0 2.6664 121.904 5.291 26.4375 5.2983e-06 0.0277653 -0.111445 8.75744e-06 1058 30. 0.055078 0.053441 20.4852 26.4375 1 2459251.7899421 517120108 -17.7953602830837 29.6526503609868 -0.66757193339262 1.01360335345059 -16.0416817026584 48.5801072351173 -0.332434905376418 1.05255265486117 1.23214698810237 20.6169998168945 0.0780000016093254 1.3400000333786 0.0759999975562096 2458166.752234 2458444.002222 0
 1 517 3 0 ZTF_r 1497319810815 0 1.7424 191.337 6.45447 26.3135 2.0788e-06 0.0174494 0.0907296 3.41204e-06 1065 30. 0.044615 0.050155 20.5682 26.3135 1 2459251.8198148 517120208 -10.1394615591184 25.1560214896736 -0.44836090499107 0.942784258614023 -14.0086132467875 47.8998164744942 -0.294426223334246 1.03789098898462 1.15171108962268 19.5529998779297 0.0500000007450581 2.74699997901917 0.168999999761581 2458154.731539 2458184.750544 0
 2 517 3 0 ZTF_g 1499252690815 0 2.3898 107.955 5.27875 26.2932 5.6089e-06 0.0289097 -0.0842645 9.26282e-06 1070 30. 0.050886 0.051593 20.4636 26.2932 1 2459253.7526968 517120108 -35.9230198619609 26.6051973245456 -1.50196964349785 0.98561309002952 -81.24753637946 45.5505019682958 -1.79569356378282 1.05008480121666 1.23214698810237 20.6169998168945 0.0780000016093254 1.3400000333786 0.0759999975562096 2458166.752234 2458444.002222 0
 3 517 3 0 ZTF_r 1499329120815 0 1.768 187.47 5.92977 26.2936 2.3052e-06 0.0185349 0.0888119 3.77216e-06 1076 30. 0.043925 0.05061 20.6304 26.2936 1 2459253.8291204 517120208 9.46645273607571 25.5645465963997 0.411911557216005 0.995154751622021 7.37145590390854 48.6548992881542 0.152525299447988 1.03813226222092 1.15171108962268 19.5529998779297 0.0500000007450581 2.74699997901917 0.168999999761581 2458154.731539 2458184.750544 0
 4 517 3 0 ZTF_r 1501296240815 33554432 2.0755 69.7735 6.58559 25.2128 9.7947e-06 0.038089 0.0912932 1.60998e-05 1067 30. 0.050162 0.05592 19.3088 25.2128 1 2459255.79625 517120208 -7.17740026193455 29.7745895833998 -0.268149001089806 1.08219600816931 27.6144945240454 54.1619077369253 0.513284721588731 1.04799865820822 1.15171108962268 19.5529998779297 0.0500000007450581 2.74699997901917 0.168999999761581 2458154.731539 2458184.750544 0
 5 517 3 0 ZTF_r 1503253270815 0 1.887 188.924 4.96332 26.3023 1.9955e-06 0.0172201 0.0861783 3.2609e-06 1076 30. 0.046341 0.047974 20.7856 26.3023 1 2459257.7532755 517120208 7.23841597739463 19.9775653786139 0.403047078972354 1.05958179017798 29.1809218182534 37.8266946134836 0.776632938875636 1.03676948241741 1.15171108962268 19.5529998779297 0.0500000007450581 2.74699997901917 0.168999999761581 2458154.731539 2458184.750544 0
 6 517 3 0 ZTF_g 1503316480815 33554432 2.9281 22.8928 5.29357 24.6067 3.71069e-05 0.0484455 -0.0838025 9.57702e-05 561 30. 0.060695 0.061394 18.6486 24.6067 1 2459257.8164815 517120108 25.6814493750696 26.9058432331421 1.06176333434097 1.10331232579018 19.0737660509758 41.0490216101982 0.4677877379169 1.06214198130087 1.23214698810237 20.6169998168945 0.0780000016093254 1.3400000333786 0.0759999975562096 2458166.752234 2458444.002222 0
 7 517 3 0 ZTF_r 1508230790815 0 2.2819 178.155 6.86813 26.2343 2.6607e-06 0.0198455 0.0951038 4.35518e-06 1062 30. 0.050621 0.05301 20.2479 26.2343 1 2459262.7307986 517120208 -10.8732728408133 31.332363234102 -0.386030779945929 1.07814453425456 33.7286332002858 54.2132439699215 0.626337680591533 1.05354315081645 1.15171108962268 19.5529998779297 0.0500000007450581 2.74699997901917 0.168999999761581 2458154.731539 2458184.750544 0
 8 517 3 0 ZTF_g 1508297040815 0 2.5433 118.498 5.12134 26.4166 4.9173e-06 0.0270117 -0.110872 8.06919e-06 1065 30. 0.056019 0.056724 20.5373 26.4166 1 2459262.7970486 517120108 -0.232378646433422 25.8715778715194 -0.00999144040301447 1.0798529350826 -23.0087110205321 43.8289656242617 -0.528501544198823 1.04232827205641 1.23214698810237 20.6169998168945 0.0780000016093254 1.3400000333786 0.0759999975562096 2458166.752234 2458444.002222 0
