# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 07:48:17
#
# Requested input R.A. = 75.21685833333332 degrees
# Requested input Dec. = 14.079372222222222 degrees
# Requested JD start = 2459237.923 days
# Requested JD end = 2459737.923 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 509 13 3 ZTF_g 1495150795115 33554432 2.7253 32.6754 9.03375 24.9361 5.55913e-05 0.0499147 -0.0288771 0.000108776 794 30. 0.059739 0.066859 18.5022 24.9361 1 2459249.6507986 509120151 63.4366151804472 54.3912116279008 1.2973766276443 0.937185429209591 96.1691295901755 83.4744476709893 1.15983797332384 1.12400935925741 0.729674690735052 19.8279997825623 0.0540000014007092 2.39499998092651 0.151999995112419 2458167.618426 2458430.815880 0
 1 510 16 2 ZTF_g 1495165456215 33554432 2.7043 41.5313 6.73055 25.3009 2.94779e-05 0.0442457 -0.0315805 4.62885e-05 999 30. 0.050909 0.060612 19.157 25.3009 1 2459249.6654514 510120162 22.4361752664035 36.2464049714292 0.688555079838364 1.01415201903785 54.2417323834274 56.3754698840624 0.96863145769115 1.07832238466947 0.781751865294785 19.8230001449585 0.0480000004172325 2.4760000705719 0.14300000667572 2458168.616898 2458437.931111 0
 2 509 13 3 ZTF_r 1495203575115 0 2.5104 209.842 6.68375 26.213 3.0446e-06 0.0210998 0.0751906 4.89005e-06 1794 30. 0.060093 0.045899 20.1405 26.213 1 2459249.7035764 509120251 26.8104718580501 33.9052399188694 0.879614615229578 0.980720161787446 -49.6543295831211 55.8059436169052 -0.895760399517332 1.06924911359878 0.776815781530574 18.6160000801086 0.0450000017881393 2.84899997711182 0.218999996781349 2458160.663623 2458437.857049 0
 3 510 16 2 ZTF_r 1495204526215 0 2.6789 230.161 6.53647 26.1574 4.5327e-06 0.0244125 0.0958016 5.9974e-06 1637 30. 0.044503 0.056267 20.0863 26.1574 1 2459249.7045255 510120262 -19.9292908878384 32.7672907124505 -0.67655968133737 1.00821084863692 -30.4530968015656 51.5320537832411 -0.594934568096153 1.08200538373477 0.651957499263081 18.5970000267029 0.0430000014603138 2.92799997329712 0.224999994039536 2458160.663090 2458448.911563 0
 4 510 16 2 ZTF_g 1497148816215 0 2.1247 101.035 5.40329 26.2839 6.1198e-06 0.0286757 -0.054589 8.08629e-06 1633 30. 0.039286 0.042736 20.6137 26.2839 1 2459251.6488194 510120162 28.706961642486 24.8108872824438 1.28706278910701 0.939813558563415 29.9109907211296 44.1341439752618 0.682293577087193 1.0613905788513 0.781751865294785 19.8230001449585 0.0480000004172325 2.4760000705719 0.14300000667572 2458168.616898 2458437.931111 0
 5 509 13 3 ZTF_g 1497150245115 0 2.0596 114.673 6.36338 26.3004 8.4684e-06 0.0352925 -0.0617878 1.35609e-05 1790 30. 0.065103 0.04462 20.5291 26.3004 1 2459251.6502431 509120151 12.1001776838565 29.1662713267057 0.46149355175411 0.960137570886679 96.5938131492088 51.5402301000829 1.88676647056973 1.10051756106034 0.729674690735052 19.8279997825623 0.0540000014007092 2.39499998092651 0.151999995112419 2458167.618426 2458430.815880 0
 6 509 13 3 ZTF_r 1497170485115 0 2.7863 212.689 6.79225 26.226 4.4498e-06 0.0253567 0.0746484 7.13698e-06 1786 30. 0.069079 0.052546 20.0375 26.226 1 2459251.6704861 509120251 -14.5235208905143 35.9477935267819 -0.449422153345167 1.08740954920379 -84.0096592236702 54.6400453429422 -1.54786601257742 1.10098360844043 0.776815781530574 18.6160000801086 0.0450000017881393 2.84899997711182 0.218999996781349 2458160.663623 2458437.857049 0
 7 510 16 2 ZTF_r 1497208146215 0 2.2409 235.618 6.37046 26.1801 3.6387e-06 0.0219198 0.0990516 4.82215e-06 1643 30. 0.039242 0.047034 20.3118 26.1801 1 2459251.7081481 510120262 -75.0551982990465 27.2611735565162 -3.06260530259264 0.937282025606007 -59.8952665682566 47.63121107932 -1.26594859270421 1.06194176556043 0.651957499263081 18.5970000267029 0.0430000014603138 2.92799997329712 0.224999994039536 2458160.663090 2458448.911563 0
 8 509 13 3 ZTF_r 1499163965115 0 1.48 195.623 7.51366 26.1232 3.5005e-06 0.0225214 0.0812326 5.63159e-06 1787 30. 0.044109 0.06382 20.3564 26.1232 1 2459253.6639699 509120251 -28.7015685278728 23.9790655653324 -1.33146016401829 1.10198471529406 -15.6533223587251 47.9844206020393 -0.328413851573188 1.0475495698565 0.776815781530574 18.6160000801086 0.0450000017881393 2.84899997711182 0.218999996781349 2458160.663623 2458437.857049 0
