# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:59:15
#
# Requested input R.A. = 79.27392083333332 degrees
# Requested input Dec. = -6.6570583333333335 degrees
# Requested JD start = 2458966.755625 days
# Requested JD end = 2459466.755625 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1400 6 0 ZTF_g 1338494832015 0 2.3617 690.614 5.07189 26.1181 1.89039e-05 0.054249 -0.101079 3.61213e-05 1103 30. 0.151293 0.055451 20.3058 26.1181 2 2459092.994838 1400120120 -50.9563008098491 26.9611460100593 -2.10239514723343 0.978276724959896 -153.245816515153 46.5282959587819 -3.31578736610162 1.05525209965437 0.40261034421836 19.1640002250671 0.090999998152256 4.55499982833862 0.481000006198883 2458384.933519 2458779.968981 0
 1 1400 6 0 ZTF_g 1338495302015 0 2.0866 695.788 5.01352 26.1373 1.8727e-05 0.054931 -0.126457 3.47101e-05 1122 30. 0.14143 0.057361 20.4358 26.1373 3 2459092.9953009 1400120120 -10.1027315564467 20.3399663366881 -0.552514124232739 1.07805195850595 -8.003433591178 37.2455799339382 -0.216330023352638 1.04664189229517 0.40261034421836 19.1640002250671 0.090999998152256 4.55499982833862 0.481000006198883 2458384.933519 2458779.968981 0
 2 355 13 0 ZTF_g 1338495774815 0 2.0292 131.909 9.58907 26.0035 1.1312e-05 0.0422853 -0.0766057 2.06568e-05 1195 30. 0.089662 0.054364 20.4269 26.0035 1 2459092.9957755 355120148 -36.0342334415974 14.3859212230018 -2.78632910226543 1.03513358710143 -20.5290690054311 25.3033872572228 -0.816781297153067 1.07446523550585 0.55470626585546 19.0239998817444 0.0780000016093254 6.53700017929077 0.174999997019768 2458362.997824 2458428.815104 0
 3 356 16 1 ZTF_g 1338499536115 0 2.1981 200.447 4.86507 26.0052 5.9311e-06 0.0310681 -0.0586822 1.07836e-05 1151 30. 0.049 0.056967 20.3105 26.0052 1 2459092.999537 356120161 50.2112942148269 23.2876531174842 2.39844902827 0.952142983614005 126.100019286792 40.9250665610923 3.10199398166729 1.06012708003486 0.254193075612922 19.0559999465942 0.0769999995827675 5.27899980545044 0.202000007033348 2458360.977859 2458443.824236 0
 4 355 13 0 ZTF_r 1340445964815 0 2.1473 120.635 18.8697 25.7905 1.154e-05 0.0410602 0.102115 2.13423e-05 1125 30. 0.054309 0.063253 18.7084 25.7905 1 2459094.9459606 355120248 28.0495363993204 85.3771417382495 0.365459181641312 0.972153513415324 65.9607671735095 153.247629170572 0.433318395167849 1.05534525780572 0.92923055224365 18.6249999046326 0.109999999403954 8.30099964141846 0.663999974727631 2458362.956968 2458429.897211 0
 5 355 13 0 ZTF_g 1340503654815 0 1.9725 99.7333 16.6528 25.883 2.51585e-05 0.0454113 -0.00409591 6.15939e-05 826 30. 0.048619 0.052711 19.0389 25.883 1 2459095.0036574 355120148 12.8382226207012 72.6885295581021 0.196468902858703 1.07687169669649 -157.508133937839 133.177698894713 -1.19065700637677 1.08100594558301 0.55470626585546 19.0239998817444 0.0780000016093254 6.53700017929077 0.174999997019768 2458362.997824 2458428.815104 0
 6 356 16 1 ZTF_r 1341467846115 0 2.3301 189.736 13.8906 25.8894 7.938e-06 0.0359676 0.0964988 1.41733e-05 1164 30. 0.054623 0.061267 19.0918 25.8894 1 2459095.9678472 356120261 -3.65029347196088 65.3025008270398 -0.0621802937648876 1.01172472909327 -10.6979828642965 112.678625148262 -0.0955818761564039 1.05446426871259 0.716460024334007 18.6389998435974 0.0829999968409538 6.35200023651123 0.270000010728836 2458363.981250 2458449.905486 0
 7 1400 6 0 ZTF_r 1342438472015 0 2.0942 662.867 15.0475 26.1609 6.1034e-06 0.0319544 0.117903 1.10089e-05 1153 30. 0.056866 0.064884 19.3397 26.1609 2 2459096.9384722 1400120220 108.487001787545 74.1077615275259 1.62842894289346 0.887761051901735 126.035267499908 133.214671693774 0.952478587115544 1.04727112720083 0.797085597556226 18.9869998931885 0.0979999974370003 4.72700023651123 0.375999987125397 2458386.896030 2458770.916539 0
 8 1400 6 0 ZTF_r 1342438932015 0 2.3479 660.871 15.1948 26.1755 7.8621e-06 0.0362555 0.10765 1.41356e-05 1156 30. 0.05901 0.060981 19.2476 26.1755 3 2459096.9389352 1400120220 -75.6760019774402 74.163100424808 -1.13507642470823 0.970631014590694 -133.420209295428 128.431327158926 -1.04584142399418 1.04578617129386 0.797085597556226 18.9869998931885 0.0979999974370003 4.72700023651123 0.375999987125397 2458386.896030 2458770.916539 0
