# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 21:38:40
#
# Requested input R.A. = 154.42390833333332 degrees
# Requested input Dec. = 0.4422027777777778 degrees
# Requested JD start = 2459280.997 days
# Requested JD end = 2459780.997 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 418 16 0 ZTF_r 1527247266015 0 3.1315 326.458 4.54076 26.1581 7.1463e-06 0.0224514 0.0883826 1.08259e-05 493 30. 0.083183 0.069391 20.2914 26.1581 1 2459281.7472685 418120260 58.1975245288562 29.9107115058888 2.16437530016015 1.01645892395274 58.1689751081317 43.5236743677024 1.34549178930738 1.08768217455997 2.43735998363556 22.5229999065399 0.305000007152557 0.898000001907349 -0.409000009298325 2458160.791412 2458450.023322 0
 1 418 16 0 ZTF_g 1527315546015 0 3.7126 133.393 4.22818 26.2408 2.28594e-05 0.0390888 -0.022927 3.83941e-05 449 30. 0.094962 0.082825 20.2446 26.2408 1 2459281.815544 418120160 -32.3984797889757 31.4352412927824 -1.14646984289974 1.0988765473392 -49.6382694870845 40.5008099163549 -1.23386633974037 1.21645196464506 null null null null null 2458202.754201 2458451.002338 57
 2 418 16 0 ZTF_r 1537236006015 0 2.1808 325.225 6.13793 26.1401 6.6516e-06 0.0218323 0.0929041 9.97292e-06 497 30. 0.076292 0.061398 20.2672 26.1401 1 2459291.7360069 418120260 -11.0650281280769 30.0052575150186 -0.41021351532442 0.900023899110737 26.3440985425603 53.4819734406323 0.495896577028707 1.04958437193372 2.43735998363556 22.5229999065399 0.305000007152557 0.898000001907349 -0.409000009298325 2458160.791412 2458450.023322 0
 3 418 16 0 ZTF_r 1539232416015 0 3.0182 332.427 6.18087 26.1638 9.0305e-06 0.0255068 0.0882576 1.35899e-05 497 30. 0.07787 0.070396 20.0244 26.1638 1 2459293.732419 418120260 -31.5971267688333 38.3383045162025 -0.916789205297456 0.983137353926459 3.92268353810261 57.4788588811986 0.0687053138195602 1.08791545797465 2.43735998363556 22.5229999065399 0.305000007152557 0.898000001907349 -0.409000009298325 2458160.791412 2458450.023322 0
 4 418 16 0 ZTF_g 1539277166015 0 2.5719 134.312 5.53012 26.2747 1.31446e-05 0.0304859 -0.0636728 2.02255e-05 485 30. 0.077682 0.065083 20.3618 26.2747 1 2459293.7771644 418120160 -46.0372927854304 27.2449693993274 -1.87965547369825 0.990457610412212 -40.1535899394876 44.7308881511674 -0.903716164574036 1.06863763228491 null null null null null 2458202.754201 2458451.002338 57
 5 418 16 0 ZTF_r 1542248916015 0 2.7282 321.025 9.23258 26.1152 1.22565e-05 0.029678 0.0920292 1.84434e-05 496 30. 0.08106 0.068765 19.6131 26.1152 1 2459296.748912 418120260 32.1070629659136 51.8757622218097 0.688479304304401 0.962190990190688 13.5597749317551 81.2096785024208 0.168096968832033 1.06462904989555 2.43735998363556 22.5229999065399 0.305000007152557 0.898000001907349 -0.409000009298325 2458160.791412 2458450.023322 0
 6 418 16 0 ZTF_g 1542307376015 0 4.3482 123.683 10.0442 26.1653 6.04522e-05 0.0472553 -0.0322387 0.000122732 258 30. 0.101273 0.087297 19.1716 26.1653 1 2459296.8073727 418120160 -14.8383571128022 76.7354411127699 -0.215102087981956 1.0008481664576 -71.3021848845545 93.3725019812394 -0.768774614356369 1.24314447009551 null null null null null 2458202.754201 2458451.002338 57
 7 418 16 0 ZTF_g 1544252036015 0 2.252 89.886 24.38 25.8394 5.42683e-05 0.0375166 -0.044769 0.000119033 192 30. 0.084897 0.07257 18.4417 25.8394 1 2459298.752037 418120160 -130.656200151116 118.653836273897 -1.22490678528641 1.01112171915252 -67.3192317563734 202.68317501364 -0.334377190661719 1.07948744848418 null null null null null 2458202.754201 2458451.002338 57
 8 418 16 0 ZTF_r 1544275676015 33554433 2.0683 137.708 36.192 25.3927 0.000182984 0.0673241 0.0763896 0.000307346 189 30. 0.086395 0.068341 17.6237 25.3927 1 2459298.7756713 418120260 -113.056604256817 155.248100227224 -0.810073534195341 1.04114907106496 537.780409582504 282.642443707359 1.91550279738858 1.06095013113106 2.43735998363556 22.5229999065399 0.305000007152557 0.898000001907349 -0.409000009298325 2458160.791412 2458450.023322 0
