# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:44:01
#
# Requested input R.A. = 161.80652916666665 degrees
# Requested input Dec. = 11.929769444444444 degrees
# Requested JD start = 2459276.976 days
# Requested JD end = 2459776.976 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 522 12 2 ZTF_r 1526286494615 0 1.6832 260.073 5.59543 26.3194 1.22138e-05 0.0240235 0.119251 1.68965e-05 333 30. 0.077179 0.068135 20.7796 26.3194 1 2459280.7864931 522120246 -54.1729025598016 20.0132457692036 -3.01105978049873 1.08897974029998 -67.3170612909431 39.7799469716716 -1.703633381414 1.03997975830654 0.570130797118915 22.128000164032 0.150999993085861 0.980000019073486 -0.279000014066696 2458155.835162 2458186.833657 0
 1 522 12 2 ZTF_g 1526359824615 0 2.8993 133.27 5.2075 26.341 2.50534e-05 0.0346292 -0.0579458 3.52304e-05 329 30. 0.08457 0.078682 20.3928 26.341 1 2459280.8598264 522120146 0.741788979288091 30.3055545488575 0.0272278244878879 0.979473282029967 22.0925005317913 45.2961773784152 0.491019244475175 1.09473739598533 0.623607417828474 22.6360001087189 0.316000014543533 1.19700002670288 -0.273999989032745 2458166.835833 2458440.981933 0
 2 522 12 2 ZTF_r 1536255704615 0 1.967 260.497 6.4245 26.2859 1.43906e-05 0.0266946 0.125799 2.01089e-05 341 30. 0.080316 0.075352 20.4802 26.2859 1 2459290.755706 522120246 -18.4654933383701 26.9389522577925 -0.762491515617908 0.98443198381847 -40.1439407397996 49.9843469810173 -0.808539371449794 1.04758966990977 0.570130797118915 22.128000164032 0.150999993085861 0.980000019073486 -0.279000014066696 2458155.835162 2458186.833657 0
 3 522 12 2 ZTF_g 1536295634615 0 1.7744 139.532 9.40362 26.3579 1.47153e-05 0.0268888 -0.064081 2.05373e-05 341 30. 0.068529 0.069194 21.1343 26.3579 1 2459290.7956366 522120146 -14.9691454748822 14.9145683197602 -1.11645474093286 1.01650219308722 -13.3140988849484 25.4907193913325 -0.52582941662767 1.07223740229725 0.623607417828474 22.6360001087189 0.316000014543533 1.19700002670288 -0.273999989032745 2458166.835833 2458440.981933 0
 4 522 12 2 ZTF_r 1538254604615 0 2.1087 247.897 6.76343 26.2511 1.38536e-05 0.025975 0.127795 1.92557e-05 336 30. 0.080274 0.074811 20.2801 26.2511 1 2459292.7546065 522120246 21.1524343535701 29.2070527393475 0.80561477411897 1.04434330932233 8.31268026746188 52.4360723788219 0.159597511172719 1.04766700748842 0.570130797118915 22.128000164032 0.150999993085861 0.980000019073486 -0.279000014066696 2458155.835162 2458186.833657 0
 5 522 12 2 ZTF_g 1538294754615 0 2.2395 132.932 8.79746 26.3208 1.81881e-05 0.0297376 -0.0721415 2.53838e-05 334 30. 0.081499 0.074112 20.7371 26.3208 1 2459292.7947569 522120146 9.7849821089798 21.0129477477618 0.517997729864291 1.0095922479347 -9.67428254274582 33.9124197506699 -0.287193879525149 1.07686335320075 0.623607417828474 22.6360001087189 0.316000014543533 1.19700002670288 -0.273999989032745 2458166.835833 2458440.981933 0
 6 522 12 2 ZTF_g 1540253884615 0 2.8425 130.98 10.3438 26.2893 2.1246e-05 0.0311101 -0.0407473 3.26345e-05 306 30. 0.082409 0.084244 19.9843 26.2893 1 2459294.7538889 522120146 18.2567010327904 42.6635745865015 0.4760141520457 1.04458249710954 7.61761318672834 64.2473367090724 0.119365543268297 1.11301549814742 0.623607417828474 22.6360001087189 0.316000014543533 1.19700002670288 -0.273999989032745 2458166.835833 2458440.981933 0
 7 522 12 2 ZTF_r 1540319284615 0 2.409 241.341 7.83626 26.211 1.5728e-05 0.0273788 0.128158 2.17269e-05 335 30. 0.085692 0.076838 19.9993 26.211 1 2459294.8192824 522120246 35.7221212897677 39.4436830335827 1.00742930914488 0.973536863950844 75.612507937951 65.7329291309108 1.15804610468021 1.06736055386687 0.570130797118915 22.128000164032 0.150999993085861 0.980000019073486 -0.279000014066696 2458155.835162 2458186.833657 0
 8 522 12 2 ZTF_g 1543205984615 0 2.7797 128.928 16.1166 26.269 4.01865e-05 0.0401128 -0.0397494 7.20977e-05 255 30. 0.090088 0.082629 19.367 26.269 1 2459297.7059838 522120146 65.9220328813212 72.3593974402128 1.01342228685119 0.978352224834703 -46.3094809130127 112.20200928413 -0.415512861390154 1.08521676784402 0.623607417828474 22.6360001087189 0.316000014543533 1.19700002670288 -0.273999989032745 2458166.835833 2458440.981933 0
