# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:41:01
#
# Requested input R.A. = 98.27623333333332 degrees
# Requested input Dec. = 28.894305555555555 degrees
# Requested JD start = 2459288.796 days
# Requested JD end = 2459788.796 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 613 15 3 ZTF_g 1536200795915 0 2.235 161.514 6.62892 26.3971 1.5506e-06 0.0148695 -0.0608874 4.98358e-06 1976 30. 0.041059 0.040979 20.5233 26.3971 1 2459290.7007986 613120159 64.8540521480654 29.3417842000502 2.45869919403778 0.969954510019047 23.6855975652689 51.0085786011908 0.467472767944627 1.0622861419552 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
 1 613 15 3 ZTF_g 1538174585915 0 1.7453 160.141 7.44955 26.3733 1.5793e-06 0.0150641 -0.0558748 5.09899e-06 1976 30. 0.032179 0.041728 20.5744 26.3733 1 2459292.6745833 613120159 74.4013499755128 26.3366074751056 3.14250361367444 0.993205074828241 124.905579872445 50.648804504254 2.48272051769269 1.05071216990392 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
 2 613 15 3 ZTF_r 1538215935915 0 1.7343 187.087 8.98449 26.2764 1.4631e-06 0.014421 0.0720314 4.74078e-06 1985 30. 0.032084 0.038102 20.2928 26.2764 1 2459292.7159375 613120259 127.798340218328 29.8408606492272 4.76396618265639 1.00711261137014 123.440210714373 56.701596081552 2.19167706420327 1.03295235132134 4.10596560034336 20.4510001182556 0.0659999996423721 1.80999994277954 0.0270000007003546 2458154.671030 2458362.954606 0
 3 613 15 3 ZTF_r 1543212595915 0 2.1638 175.718 17.8255 26.2095 1.9752e-06 0.016654 0.0808638 6.40788e-06 1982 30. 0.043724 0.047862 19.2404 26.2095 1 2459297.7125926 613120259 0.34713328218996 75.220066092696 0.00513354466550317 0.977548753469613 -188.616298614859 133.612659967583 -1.42117251676691 1.05153588476733 4.10596560034336 20.4510001182556 0.0659999996423721 1.80999994277954 0.0270000007003546 2458154.671030 2458362.954606 0
 4 613 15 3 ZTF_r 1547156265915 0 2.0322 188.808 14.2386 26.3052 1.2881e-06 0.0136547 0.0735908 4.14004e-06 1986 30. 0.03553 0.039817 19.6493 26.3052 1 2459301.6562616 613120259 37.6990312795104 60.8727502103127 0.68890933279336 0.9295343417882 -14.0925920789134 109.854970636989 -0.129147606295057 1.0453132746474 4.10596560034336 20.4510001182556 0.0659999996423721 1.80999994277954 0.0270000007003546 2458154.671030 2458362.954606 0
 5 613 15 3 ZTF_g 1547203275915 0 2.7701 150.977 18.0378 26.331 5.4553e-06 0.0280502 -0.0332963 1.74703e-05 1961 30. 0.051648 0.054463 19.1329 26.331 1 2459301.7032755 613120159 62.7532391989604 89.6253448768006 0.778861271722142 1.0869796408939 168.913713305721 137.330108981557 1.2382671079516 1.09263415060376 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
 6 613 15 3 ZTF_r 1549157315915 0 1.8615 190.63 9.82171 26.306 1.0936e-06 0.0125596 0.074113 3.52469e-06 1991 30. 0.032626 0.037206 20.174 26.306 1 2459303.6573148 613120259 17.0112983022056 35.5622214890824 0.532112399089872 0.930226218672843 -51.0488318467664 66.1672832865302 -0.776707854904575 1.04108522636363 4.10596560034336 20.4510001182556 0.0659999996423721 1.80999994277954 0.0270000007003546 2458154.671030 2458362.954606 0
 7 613 15 3 ZTF_g 1549206185915 0 2.3955 154.757 14.3147 26.3533 2.6706e-06 0.019607 -0.0432824 8.59643e-06 1963 30. 0.040318 0.049843 19.5473 26.3533 1 2459303.7061806 613120159 29.9965947150436 66.8009045627577 0.499510259977115 1.06453844973958 6.09916539294255 111.998655482226 0.0548242619194065 1.07411159823782 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
 8 613 15 3 ZTF_g 1552171455915 0 1.7171 151.666 6.85309 26.3143 1.884e-06 0.0163702 -0.0550591 6.1128e-06 1975 30. 0.035467 0.044065 20.6073 26.3143 1 2459306.6714583 613120159 16.2601567924803 25.4030834073945 0.712021480870931 1.03349362949326 67.6737528120537 50.1837545244906 1.35760148032762 1.04592207014984 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
 9 613 15 3 ZTF_r 1552195715915 0 1.502 184.3 8.67558 26.2377 2.0967e-06 0.0171685 0.0731551 6.78976e-06 1975 30. 0.043534 0.056787 20.3497 26.2377 1 2459306.6957176 613120259 38.7121975146319 24.5637037715119 1.75310841629638 0.957418516386216 65.0234349405334 47.8820742521992 1.36713733768475 1.03490013708769 4.10596560034336 20.4510001182556 0.0659999996423721 1.80999994277954 0.0270000007003546 2458154.671030 2458362.954606 0
 10 613 15 3 ZTF_g 1554159985915 0 1.8126 156.783 6.6018 26.3569 1.3473e-06 0.0138312 -0.0456639 4.3719e-06 1972 30. 0.036013 0.043765 20.6597 26.3569 1 2459308.6599884 613120159 8.8192259223198 23.3888179987338 0.419446905551756 0.96528790445608 18.3669318831728 44.3039569465581 0.417358527330869 1.05263009999336 4.1228014624556 21.096999835968 0.0719999969005585 1.05799996852875 -0.126000002026558 2458167.665231 2458428.839630 0
