# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:21:53
#
# Requested input R.A. = 116.51394166666665 degrees
# Requested input Dec. = 26.696708333333333 degrees
# Requested JD start = 2459281.88 days
# Requested JD end = 2459781.88 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 615 9 2 ZTF_g 1536213953415 0 1.9028 206.859 5.68842 26.3712 4.3176e-06 0.0301655 -0.0861772 8.24061e-06 1309 30. 0.072109 0.048615 20.6915 26.3712 1 2459290.7139583 615120134 27.3335767044135 26.0729232147052 1.16616912752872 1.0085793017256 -14.5064005910547 47.4237961717362 -0.307948819212488 1.05883563589104 1.72152171164678 18.553000164032 0.0489999987185001 3.88700008392334 0.171000003814697 2458166.787164 2458426.956493 0
 1 615 9 2 ZTF_r 1536239163415 0 1.8666 260.733 7.3593 26.3817 2.3587e-06 0.0222455 0.0932671 4.51697e-06 1314 30. 0.050011 0.044846 20.4216 26.3817 1 2459290.7391667 615120234 108.439335701946 27.3076245662324 4.41730845071095 1.08391680144746 127.047229705788 51.1006275429482 2.50296143623695 1.03847543870635 1.74374608096925 17.8250001907349 0.0450000017881393 4.04300022125244 0.12899999320507 2458154.703843 2458368.970069 0
 2 615 9 2 ZTF_g 1538173153415 0 1.9419 202.936 6.92479 26.3411 4.2921e-06 0.0298655 -0.0618632 8.31056e-06 1303 30. 0.056525 0.047881 20.4588 26.3411 1 2459292.6731597 615120134 -13.4280147001512 29.9294543974319 -0.499077291182234 1.03712803334723 -23.4912402326466 54.5707540941657 -0.433372334316125 1.06276032559803 1.72152171164678 18.553000164032 0.0489999987185001 3.88700008392334 0.171000003814697 2458166.787164 2458426.956493 0
 3 615 9 2 ZTF_r 1538214393415 0 1.642 254.635 7.88189 26.3573 2.5185e-06 0.0228283 0.0957256 4.81783e-06 1309 30. 0.048984 0.055832 20.4 26.3573 1 2459292.7143981 615120234 73.893375104464 26.6750230105652 3.08145267290128 1.05137452589808 47.1169945138302 50.9972950306836 0.930134238575065 1.03524303772257 1.74374608096925 17.8250001907349 0.0450000017881393 4.04300022125244 0.12899999320507 2458154.703843 2458368.970069 0
 4 615 9 2 ZTF_g 1540170183415 0 2.1168 196.098 9.51663 26.3163 5.0504e-06 0.0313968 -0.050932 1.04256e-05 1248 30. 0.04113 0.043712 20.0371 26.3163 1 2459294.6701852 615120134 43.1216027939045 41.9911417302617 1.14233113189386 1.06192852589179 130.649142213031 74.3172303603224 1.76983279738779 1.06204216789133 1.72152171164678 18.553000164032 0.0489999987185001 3.88700008392334 0.171000003814697 2458166.787164 2458426.956493 0
 5 615 9 2 ZTF_r 1540208133415 0 1.8847 250.455 10.921 26.338 2.3226e-06 0.0219209 0.102869 4.42729e-06 1307 30. 0.039446 0.043876 19.9492 26.338 1 2459294.7081366 615120234 85.8662678995395 44.1480546426823 2.16354442294061 0.990296610649075 125.159817674237 82.3161215310531 1.53071808904163 1.03913400166099 1.74374608096925 17.8250001907349 0.0450000017881393 4.04300022125244 0.12899999320507 2458154.703843 2458368.970069 0
 6 615 9 2 ZTF_r 1544178653415 33554481 1.7825 75.3916 46.1122 25.0564 5.37383e-05 0.0463839 0.100839 0.000141585 311 30. 0.046412 0.060751 17.0516 25.0564 1 2459298.6786574 615120234 -59.3726681865126 194.003672623468 -0.340432815040163 1.07857614265855 54.5897678342287 368.040150568847 0.149324558683249 1.0666889553673 1.74374608096925 17.8250001907349 0.0450000017881393 4.04300022125244 0.12899999320507 2458154.703843 2458368.970069 0
 7 615 9 2 ZTF_r 1547177973415 0 2.1661 257.033 15.5416 26.3726 3.1893e-06 0.0257374 0.108158 6.08369e-06 1310 30. 0.044192 0.047349 19.4602 26.3726 1 2459301.6779745 615120234 33.4765183223629 65.2021098600946 0.571127977741479 1.03856734216897 2.73003148091415 117.156623944511 0.0234593513151417 1.04592195750623 1.74374608096925 17.8250001907349 0.0450000017881393 4.04300022125244 0.12899999320507 2458154.703843 2458368.970069 0
 8 615 9 2 ZTF_g 1547234603415 0 2.5916 193.665 18.4137 26.3153 1.12696e-05 0.0383167 -0.0345554 2.96705e-05 892 30. 0.051169 0.060834 19.1189 26.3153 1 2459301.7346065 615120134 -36.7588781182073 97.7705467205776 -0.418224052205793 1.07698593784376 -76.5993523434998 156.492349468248 -0.492773312246275 1.08288316352108 1.72152171164678 18.553000164032 0.0489999987185001 3.88700008392334 0.171000003814697 2458166.787164 2458426.956493 0
