# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 10:11:17
#
# Requested input R.A. = 130.3700125 degrees
# Requested input Dec. = 13.52805 degrees
# Requested JD start = 2459300.8591087963 days
# Requested JD end = 2459800.8591087963 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 517 10 0 ZTF_g 1547248043615 0 4.296 112.96 19.3592 26.2589 0.000102024 0.0511227 -0.0183033 0.000270638 267 30. 0.080724 0.101113 18.5623 26.2589 1 2459301.748044 517120136 82.8665088008771 152.642345678642 0.603891354341207 0.9895324398829 71.9581781196871 186.677729919472 0.388063539344948 1.21545738083261 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 1 517 10 0 ZTF_r 1547283253615 0 2.6217 178.143 18.2574 26.263 1.5996e-05 0.0406289 0.11301 2.38705e-05 738 30. 0.059907 0.070044 19.0637 26.263 1 2459301.7832523 517120236 115.345161932751 94.0620807347225 1.36407925025327 0.977937799528094 50.4483351227159 150.572127812533 0.337300855743638 1.07233942517047 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 2 517 10 0 ZTF_g 1549193913615 0 3.0155 118.214 11.4231 26.3234 1.57347e-05 0.0358952 -0.0672405 2.97455e-05 598 30. 0.059868 0.060028 19.5864 26.3234 1 2459303.693912 517120136 -83.226660231939 61.5246397084922 -1.50476329568349 1.07296072042364 -76.5535057285608 95.1676431576881 -0.809824594126408 1.09122823916035 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 3 517 10 0 ZTF_r 1549240393615 0 2.0812 182.471 11.6288 26.2784 7.4014e-06 0.0278173 0.112315 1.09117e-05 755 30. 0.049194 0.055261 19.8022 26.2784 1 2459303.7403935 517120236 -71.1675533267356 46.3306786301725 -1.70870926764485 1.0297125993262 -57.7957965208874 82.8010048720459 -0.702709521770249 1.05757628475126 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 4 517 10 0 ZTF_g 1552184763615 0 1.6386 113.121 5.67995 26.2649 7.7358e-06 0.0286467 -0.0865696 1.14948e-05 759 30. 0.055973 0.058727 20.6398 26.2649 1 2459306.6847685 517120136 135.828774249449 25.8903069572066 5.83592071590893 1.38231352288909 220.142949449422 49.1843134073935 4.50602254105174 1.05480110115428 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 5 517 10 0 ZTF_r 1552192403615 0 1.6147 180.166 6.46335 26.2793 5.9077e-06 0.0250215 0.104532 8.74344e-06 763 30. 0.048835 0.064701 20.578 26.2793 1 2459306.6924074 517120236 -28.2747561026046 24.2382328145406 -1.297635492842 0.973552588346952 -51.4468659838923 48.0737460673822 -1.07737315735056 1.03124558540459 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 6 517 10 0 ZTF_r 1554195633615 0 1.5138 184.738 6.68057 26.2935 5.9111e-06 0.0249195 0.105737 8.73421e-06 759 30. 0.051458 0.062527 20.6004 26.2935 1 2459308.6956366 517120236 0.691745790152252 23.4616747370983 0.032797618981846 0.989128625961026 42.2985058745344 46.503900647903 0.915694987989364 1.03478312216398 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 7 517 10 0 ZTF_g 1554249473615 0 2.0243 115.138 5.93095 26.2795 8.7056e-06 0.0302347 -0.0781454 1.29572e-05 755 30. 0.062237 0.055029 20.5017 26.2795 1 2459308.7494792 517120136 10.9169963764979 26.0331026816116 0.466478933933238 0.980979255577534 47.8393681274299 46.9324841613236 1.02618836153342 1.05888590655152 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 8 517 10 0 ZTF_g 1556220923615 0 3.7706 113.086 5.23889 26.2451 1.89901e-05 0.0417818 -0.0533558 3.27718e-05 662 30. 0.08331 0.069247 20.0661 26.2451 1 2459310.7209259 517120136 41.6107800509024 41.4098708800666 1.11778115147433 0.922307296536092 123.952478058034 53.9228873858724 2.31418069726814 1.17896904981325 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 9 517 10 0 ZTF_r 1558170173615 0 2.1568 186.376 6.85678 26.3041 5.4476e-06 0.0239673 0.10525 8.02876e-06 761 30. 0.052237 0.053525 20.3701 26.3041 1 2459312.6701736 517120236 10.3880089762799 31.6147626923726 0.365508255956724 0.931164764759456 17.8435667814409 56.4887258311048 0.318005831536217 1.0507997306024 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 10 517 10 0 ZTF_g 1558212533615 0 2.2774 117.442 6.08223 26.2979 9.9361e-06 0.0322187 -0.0765188 1.49436e-05 749 30. 0.060835 0.055781 20.4031 26.2979 1 2459312.7125347 517120136 7.89718778610663 29.110769648053 0.301768273757942 0.959080108674533 33.6767069272276 49.5315580004716 0.68448324370588 1.07419741053604 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 11 517 10 0 ZTF_r 1560186743615 0 1.5834 182.677 6.48102 26.292 5.6821e-06 0.0244047 0.104338 8.38723e-06 759 30. 0.045362 0.058764 20.6127 26.292 1 2459314.6867477 517120236 25.3762724324175 22.2549145018077 1.26840136012266 1.16862826097925 5.50231143487882 44.0919361813418 0.125632265187569 1.03200792118286 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 12 517 10 0 ZTF_g 1560215103615 0 2.5075 115.341 5.64192 26.2764 1.04781e-05 0.0327862 -0.0681126 1.60189e-05 739 30. 0.067601 0.060386 20.368 26.2764 1 2459314.7151042 517120136 11.6438985144147 29.6771982247322 0.436445796579118 1.00862938633528 -18.3566988495191 48.2134496423135 -0.383302427217379 1.08025045512372 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 13 517 10 0 ZTF_r 1562175433615 0 1.6195 176.212 5.84844 26.2385 5.936e-06 0.0249435 0.100576 8.72898e-06 761 30. 0.05337 0.059905 20.6224 26.2385 1 2459316.6754398 517120236 17.628478294051 22.7664492435516 0.861339422698738 0.86422319489599 6.49310652058343 44.6191445408614 0.146502987312846 1.03550260080497 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 14 517 10 0 ZTF_g 1562216733615 0 1.6824 109.86 4.47508 26.2257 9.0288e-06 0.0307607 -0.0963642 1.34318e-05 755 30. 0.071138 0.060068 20.7814 26.2257 1 2459316.7167361 517120136 24.1362299284772 18.6652045259075 1.43843910903907 0.970071873654654 62.9495390787957 35.1044674036169 1.805283273996 1.05396995551329 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 15 517 10 0 ZTF_g 1565172173615 0 2.8266 116.809 5.14499 26.2914 1.34885e-05 0.0375151 -0.074993 2.06048e-05 745 30. 0.075906 0.060555 20.3789 26.2914 1 2459319.6721759 517120136 64.5573842317203 33.3436463949127 2.1537120331408 0.869353131246746 105.561659240003 50.9494347802541 2.08584498624608 1.09969446331398 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 16 517 10 0 ZTF_r 1565197393615 0 2.2022 181.223 6.29281 26.2851 5.9592e-06 0.0250694 0.102574 8.77792e-06 762 30. 0.057734 0.052104 20.4174 26.2851 1 2459319.6973958 517120236 -2.53824239927952 27.8759967131611 -0.101287882232312 0.917828743797185 -37.5878324408156 49.259415301427 -0.768198088088568 1.05216900125496 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 17 517 10 0 ZTF_r 1567192383615 0 1.766 175.612 7.09705 26.2372 6.0552e-06 0.0253603 0.108868 8.9685e-06 764 30. 0.049422 0.059888 20.4203 26.2372 1 2459321.6923843 517120236 -8.75338528275169 26.5890031280808 -0.366208812033387 1.01991496601206 24.092685565136 51.0063298728165 0.475528257944985 1.04129299042063 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 18 517 10 0 ZTF_g 1569163103615 0 2.4373 113.371 8.8756 26.2557 1.46414e-05 0.0370829 -0.0558409 2.4905e-05 683 30. 0.05599 0.057604 19.8859 26.2557 1 2459323.6631019 517120136 -19.0944816567208 46.2382106594029 -0.459368969595219 1.01201632330915 -1.96443250090861 76.4104600408988 -0.0258820986782062 1.0762195862574 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 19 517 10 0 ZTF_r 1569205323615 0 2.085 176.657 9.72394 26.2548 5.9406e-06 0.0251025 0.11056 8.79109e-06 760 30. 0.054867 0.05372 19.951 26.2548 1 2459323.7053241 517120236 -26.9849782113743 40.0893850512646 -0.748768349343422 1.02158174715747 -15.6810176012163 73.944327565306 -0.213493457534305 1.0443159801922 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 20 517 10 0 ZTF_r 1574174763615 0 1.6602 178.627 13.9712 26.2553 7.8418e-06 0.0287314 0.108739 1.15592e-05 760 30. 0.046275 0.056571 19.7426 26.2553 1 2459328.6747685 517120236 115.425759443919 53.0430057075402 2.42063560028303 1.00382400238348 161.644742543489 104.30318637204 1.56019614400157 1.0398369264973 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 21 517 10 0 ZTF_g 1574195993615 0 2.0505 110.148 15.6632 26.227 1.48887e-05 0.0345717 -0.0509376 2.84263e-05 572 30. 0.049035 0.056356 19.3961 26.227 1 2459328.6959954 517120136 30.5619545278787 73.8254393294673 0.460500266865689 0.938227866053408 124.588366661262 132.923398129917 0.943607207184968 1.06566197618907 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 22 517 10 0 ZTF_g 1580166273615 0 2.0291 111.777 6.05767 26.2301 9.5382e-06 0.0316376 -0.0664484 1.43325e-05 752 30. 0.062956 0.060217 20.4344 26.2301 1 2459334.6662731 517120136 -11.8752704366212 27.2955515670271 -0.483956620232791 0.972706609879874 -14.7460930528632 49.3934458161759 -0.300554225215193 1.05916156403895 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 23 517 10 0 ZTF_r 1580255393615 0 2.2565 164.59 10.8452 26.1649 1.02376e-05 0.033185 0.119228 1.52857e-05 765 30. 0.070243 0.067663 19.6722 26.1649 1 2459334.7553935 517120236 -115.219332818612 46.680373744318 -2.74565415763005 1.11919143819364 -139.541058748405 80.9498598756661 -1.73540604052098 1.06031392923387 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 24 517 10 0 ZTF_r 1582205333615 0 2.5749 175.785 6.60032 26.2394 5.688e-06 0.0245828 0.113034 8.40077e-06 759 30. 0.062838 0.058633 20.1833 26.2394 1 2459336.7053356 517120236 -66.1915644101812 33.2616409457434 -2.21367456752867 0.969646029842321 -86.3252811455143 54.5843362803022 -1.59215432124084 1.06753396625578 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 25 517 10 0 ZTF_g 1582225603615 0 2.7428 105.216 5.59437 26.1579 1.2247e-05 0.0351347 -0.0601567 1.94531e-05 720 30. 0.076765 0.06077 20.1848 26.1579 1 2459336.7256019 517120136 8.30017241224822 32.1579412771973 0.287113542031573 0.982337491884302 -2.80753539231732 50.339295076508 -0.0561478721626933 1.0887200324259 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 26 517 10 0 ZTF_g 1584185523615 0 1.8055 106.886 6.81155 26.1796 9.58e-06 0.0316981 -0.0629645 1.43346e-05 749 30. 0.05812 0.054353 20.3356 26.1796 1 2459338.6855208 517120136 -21.8763911996711 26.3590970487776 -0.923208837077942 0.952931633071068 -34.7286160414124 49.8633149503997 -0.701167086531194 1.05348774441942 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 27 517 10 0 ZTF_g 1586173353615 0 2.1166 106.842 6.24146 26.1819 1.03938e-05 0.0326135 -0.0648309 1.61324e-05 732 30. 0.061501 0.060704 20.3251 26.1819 1 2459340.6733565 517120136 -12.0534888451893 28.3062330569112 -0.47368048563151 1.12160279273401 30.3217414830363 49.5096336587888 0.616566068067933 1.06956138772916 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 28 517 10 0 ZTF_r 1586238643615 0 2.0452 159.218 8.56498 26.1187 7.5828e-06 0.0285481 0.119013 1.12779e-05 766 30. 0.068165 0.0769 19.9931 26.1187 1 2459340.7386458 517120236 8.83481055063297 36.2784285924499 0.27089661292565 0.989734783900706 -1.88451584067309 64.7884692245159 -0.0292831145108699 1.0548415694921 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 29 517 10 0 ZTF_g 1588217013615 0 2.5959 97.0948 6.02016 26.0816 1.65186e-05 0.0407531 -0.0554899 2.65266e-05 717 30. 0.075459 0.077985 20.0669 26.0816 1 2459342.7170139 517120136 28.3868251116123 35.593169536563 0.887166144149705 0.926013751088948 52.0145692543137 57.1367930757824 0.916482839725388 1.0758026268579 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 30 517 10 0 ZTF_g 1590187113615 0 2.3228 101.381 5.76357 26.1132 2.8538e-05 0.0537501 -0.0618619 4.3973e-05 729 30. 0.072983 0.068764 20.2512 26.1132 1 2459344.6871181 517120136 22.9827428571759 26.6143318940969 0.960596700609849 1.08788072847572 76.6975416053528 44.8052211307449 1.72332826425595 1.06942893189746 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 31 517 10 0 ZTF_r 1590197293615 0 1.7589 162.857 7.45097 26.1588 6.2631e-06 0.0257411 0.110382 9.21423e-06 761 30. 0.054784 0.060923 20.2803 26.1588 1 2459344.6972917 517120236 9.37437734273242 28.4878099787069 0.366048109544425 0.967262728659933 -77.9181915657776 54.7183890146451 -1.43357610634323 1.03865730980368 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 32 517 10 0 ZTF_g 1592187433615 0 2.1061 94.4325 6.5047 26.0514 1.30658e-05 0.0363798 -0.071402 2.04122e-05 725 30. 0.071614 0.060159 20.1295 26.0514 1 2459346.6874306 517120136 18.7074812104403 32.1395709817675 0.647485494655676 0.968514408497448 -9.45342691625187 57.4564560643699 -0.165640155037976 1.05502319324657 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 33 517 10 0 ZTF_r 1594187013615 0 1.7607 169.9 8.28172 26.209 5.8466e-06 0.0248611 0.105388 8.61873e-06 760 30. 0.049402 0.056804 20.2158 26.209 1 2459348.6870139 517120236 -10.4624633559992 31.8641322881762 -0.365246997549766 0.947729623728341 15.4484466445021 62.3245345647992 0.249540456741121 1.03340572037878 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 34 517 10 0 ZTF_g 1594217773615 0 1.9197 94.2305 7.51987 26.0342 1.24857e-05 0.035844 -0.0410792 1.95989e-05 729 30. 0.061037 0.058069 20.0727 26.0342 1 2459348.7177778 517120136 55.6792600276263 32.3356601635071 1.91543105369689 0.995682717844752 151.222844817797 59.4907776401128 2.55907462328389 1.0618627525464 0.470025616579184 20.8100001335144 0.0649999976158142 0.742999970912933 0.0390000008046627 2458166.752234 2458444.002222 0
 35 517 10 0 ZTF_r 1712511753615 0 2.6116 145.861 11.3058 26.0293 1.15325e-05 0.0346936 0.119151 1.69779e-05 753 30. 0.089275 0.07365 19.3457 26.0293 1 2459467.0117593 517120236 -25.6665994641378 58.9706817576356 -0.484157858915861 1.09936285784658 -52.8788859779816 95.1682429820927 -0.559378072446311 1.06109909144178 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 36 517 10 0 ZTF_r 1712514143615 0 2.4897 146.256 12.4039 26.0413 1.51058e-05 0.0395932 0.121414 2.21317e-05 753 30. 0.084208 0.068995 19.3 26.0413 1 2459467.0141435 517120236 33.3427603916241 67.2910699149145 0.551186940415792 0.974407016906106 -32.0694432736602 110.617107207004 -0.291866544284179 1.0636102295525 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 37 517 10 0 ZTF_r 1712516533615 0 2.6186 147.686 14.665 26.0497 1.61728e-05 0.0403422 0.121646 2.37592e-05 740 30. 0.083505 0.07598 19.0779 26.0497 1 2459467.0165394 517120236 -82.712993325898 80.2144302017185 -1.14703332611899 0.957353207072589 -191.281563302141 127.875628202275 -1.50591522672122 1.06330592074386 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 38 517 10 0 ZTF_r 1712518933615 0 2.4976 152.014 17.6704 26.072 1.94932e-05 0.0437508 0.112194 2.87669e-05 716 30. 0.09022 0.074453 18.9426 26.072 1 2459467.0189352 517120236 -172.318979643976 86.1532908687822 -2.22492842386104 1.02300924949331 -238.605812315603 143.048672017945 -1.67923849135474 1.05981988106825 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 39 517 10 0 ZTF_r 1712521333615 0 2.5182 152.621 22.8201 26.0724 2.28969e-05 0.0440109 0.109564 3.51147e-05 617 30. 0.082746 0.07075 18.6653 26.0724 1 2459467.021331 517120236 38.7042030790889 114.590237089365 0.375720864423224 0.988455676531506 53.0430658302983 188.094173340942 0.28390201026429 1.0647897234094 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 40 517 10 0 ZTF_r 1713510843615 0 2.0928 141.16 10.6891 25.9931 9.5771e-06 0.0316323 0.119894 1.40326e-05 754 30. 0.080784 0.076926 19.5773 25.9931 1 2459468.0108449 517120236 68.4706881214524 46.5088122341413 1.63766189936523 0.977063337464179 77.2858821178325 84.1464983410209 0.924654127200943 1.04782547311456 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 41 517 10 0 ZTF_r 1713513243615 0 2.1191 141.85 11.623 26.0116 9.3202e-06 0.031209 0.118306 1.36496e-05 754 30. 0.084678 0.075331 19.4737 26.0116 1 2459468.0132407 517120236 -61.0852465323129 49.3887791697888 -1.3758238731236 0.943034668289383 -4.42659098822839 89.5629993559572 -0.0497572029215567 1.05291826190542 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 42 517 10 0 ZTF_r 1713515633615 0 2.247 142.475 13.0251 26.0126 1.33531e-05 0.0374143 0.1119 1.95894e-05 754 30. 0.084942 0.068777 19.2969 26.0126 1 2459468.0156366 517120236 22.622014382682 61.8776450026881 0.406679516641836 0.945309348632603 -64.5879164708196 109.532403017004 -0.593640950196408 1.04757205536563 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 43 517 10 0 ZTF_r 1713518033615 0 1.9572 148.009 21.4799 25.9979 2.02515e-05 0.045932 0.108443 2.96381e-05 754 30. 0.072208 0.068309 18.8358 25.9979 1 2459468.0180324 517120236 -50.2011110870532 63.246075567371 -0.882946822220877 1.00320192567098 168.429322194058 118.92587191352 1.42579323271982 1.0502626742825 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 44 517 10 0 ZTF_r 1713520423615 33554432 1.9752 124.446 19.8678 25.8594 4.05849e-05 0.0627591 0.119854 6.04016e-05 698 30. 0.070996 0.069176 18.8189 25.8594 1 2459468.0204282 517120236 -91.3108876609912 84.8979157670234 -1.19641083457478 0.97917731373569 175.365739320525 158.386998207857 1.11465486221799 1.05184927054031 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
 45 517 10 0 ZTF_r 1714511073615 0 2.222 153.382 10.0653 26.0903 8.5015e-06 0.0297793 0.113218 1.25169e-05 755 30. 0.066659 0.061608 19.6555 26.0903 1 2459469.0110764 517120236 -33.6495115141868 47.3404715457474 -0.790680422380738 0.962131610445799 40.5494683681976 85.1134227246364 0.479625540412572 1.04109184432512 0.40195406533123 20.2220000267029 0.0480000004172325 1.62100005149841 0.046000000089407 2458154.731539 2458184.750544 0
