# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:44:07
#
# Requested input R.A. = 71.90062916666666 degrees
# Requested input Dec. = -1.1620472222222222 degrees
# Requested JD start = 2458966.7494 days
# Requested JD end = 2459466.7494 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 406 11 0 ZTF_g 1326464254015 0 2.3868 69.755 5.71713 25.7042 9.8352e-06 0.0390561 -0.0241226 2.02801e-05 940 30. 0.070431 0.071524 19.8479 25.7042 3 2459080.9642593 406120140 146.758532397222 27.8623467697065 5.85922894580361 1.26532605688275 213.641864061768 46.9954294477837 4.57663132001089 1.05875886340559 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
 1 406 11 0 ZTF_r 1326499164015 0 1.8099 166.83 7.63009 26.1071 2.7891e-06 0.0220705 0.112056 4.91628e-06 1032 30. 0.051285 0.060474 20.2309 26.1071 3 2459080.9991667 406120240 659.878372335052 33.7838861253367 21.7274666024488 2.36439564467221 1051.40664581637 62.3436361683223 16.9782835125417 1.03602794689413 1.47681888788344 15.2159999847412 0.061999998986721 5.49300003051758 0.43299999833107 2458338.981493 2458383.019074 0
 2 406 11 0 ZTF_r 1327445344015 0 1.9194 148.768 7.05615 25.9699 4.1603e-06 0.0267887 0.111931 7.35537e-06 1027 30. 0.071498 0.066684 20.1245 25.9699 3 2459081.9453472 406120240 170.256070991077 32.9496216848486 5.74787050785421 2.06372595770891 136.856492900488 61.3869716956053 2.24442133971665 1.03609349653328 1.47681888788344 15.2159999847412 0.061999998986721 5.49300003051758 0.43299999833107 2458338.981493 2458383.019074 0
 3 406 11 0 ZTF_g 1327488884015 0 1.9423 79.6228 5.42717 25.8423 6.3717e-06 0.0328526 -0.0307335 1.18397e-05 1003 30. 0.053954 0.0587 20.228 25.8423 3 2459081.9888889 406120140 186.067353248306 25.9896634601676 7.96387299059339 1.21842137565597 400.935794879512 47.3413218208979 8.52608471839611 1.05739901813593 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
 4 406 11 0 ZTF_g 1328452704015 0 3.3452 67.282 5.45657 25.6704 1.54838e-05 0.0450235 -0.0115559 3.64601e-05 809 30. 0.08524 0.082067 19.5802 25.6704 3 2459082.9527083 406120140 6.54071983019723 37.4525069722268 0.194267188162355 1.33577743985078 147.31281191704 51.9725171425058 2.85352683177315 1.11420993356378 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
 5 406 11 0 ZTF_r 1329477504015 0 1.9529 132.541 6.90832 25.8583 3.7727e-06 0.0257185 0.10963 6.64996e-06 1032 30. 0.058151 0.062011 20.0029 25.8583 3 2459083.9775 406120240 -81.3094582577991 28.6407492353198 -3.15799540500416 3.23559402968752 521.949519473754 56.6182947677996 9.28083195851695 1.0318208018194 1.47681888788344 15.2159999847412 0.061999998986721 5.49300003051758 0.43299999833107 2458338.981493 2458383.019074 0
 6 406 11 0 ZTF_g 1329489354015 0 2.2651 67.1266 5.36673 25.6719 7.7276e-06 0.0352334 -0.0386931 1.52127e-05 962 30. 0.065054 0.059814 19.915 25.6719 3 2459083.9893519 406120140 108.355347125499 26.3861296763428 4.56803535344461 1.2246161647499 181.167299413483 46.8326663111063 3.89444987793112 1.04621770324102 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
 7 406 11 0 ZTF_g 1330464034015 0 2.3851 100.883 5.69689 26.117 7.6895e-06 0.0362021 -0.0488888 1.40845e-05 1008 30. 0.0619 0.055076 20.2509 26.117 3 2459084.9640394 406120140 83.6789762507172 29.9442954955562 3.10854429044042 1.15947757249453 168.953591506258 50.712244287328 3.35405198598723 1.0567629648742 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
 8 406 11 0 ZTF_g 1331446404015 0 2.2881 87.5144 5.51656 25.9535 7.059e-06 0.0346506 -0.0469514 1.31038e-05 1005 30. 0.068766 0.058406 20.1504 25.9535 3 2459085.9464005 406120140 35.364365771467 28.2199052802271 1.39400754118956 1.10041961365082 98.3746602422317 49.4074862668616 2.00449823947765 1.05645579971999 1.40280578443875 16.1700002670288 0.0689999982714653 5.70800018310547 0.483999997377396 2458344.983229 2458372.000440 0
