# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 11:16:36
#
# Requested input R.A. = 132.84979999999996 degrees
# Requested input Dec. = -1.3437944444444443 degrees
# Requested JD start = 2458246.944 days
# Requested JD end = 2458746.944 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 415 12 0 ZTF_g 493171344415 0 2.3116 109.147 5.94635 26.2519 4.9455e-06 0.0283111 -0.0821905 8.68333e-06 1043 30. 0.043525 0.046228 20.4895 26.2519 1 2458247.6713426 415120144 33.2514018647465 26.1945791200262 1.41206060211372 0.925787447230278 -8.85423657421292 46.5487193572424 -0.191495501703444 1.04292081907531 0.522437419529519 22.0330001831055 0.157000005245209 0.933000028133392 0.0309999994933605 2458227.669363 2458441.983391 0
 1 415 12 0 ZTF_r 493218404415 0 2.2323 312.167 8.10578 26.1769 4.7027e-06 0.0276918 0.110111 8.16679e-06 1054 30. 0.05845 0.057337 20.0621 26.1769 1 2458247.7184028 415120244 -40.4009530495205 42.6728530298352 -1.05316091040128 0.849822188143696 -53.0105925452177 76.1292060839554 -0.701013772258645 1.04836134961584 0.254619625774695 20.8270000457764 0.0549999997019768 0.695999979972839 -0.0549999997019768 2458160.769734 2458450.043183 0
 2 415 12 0 ZTF_g 501171534415 0 2.5371 101.986 7.00898 26.1892 7.8066e-06 0.0346434 -0.0831229 1.46223e-05 996 30. 0.048065 0.04445 20.0935 26.1892 1 2458255.6715394 415120144 -25.9129630086761 32.9071727100247 -0.875954011009653 1.04732935108582 -73.716377101392 55.4219957640204 -1.33905068049919 1.04821558639195 0.522437419529519 22.0330001831055 0.157000005245209 0.933000028133392 0.0309999994933605 2458227.669363 2458441.983391 0
 3 415 12 0 ZTF_i 507159314415 0 3.8645 253.792 16.7194 25.6231 7.3722e-06 0.0465778 0.165088 4.02763e-05 830 30. 0.073926 0.072291 18.2488 25.6231 1 2458261.6593171 415120344 -94.590937117512 97.9352255567751 -1.07439851963754 1.01512908780632 -14.2267164539361 139.388695228546 -0.10275248063914 1.06323093239241 0.0477998685025258 20.1120001411438 0.0890000015497208 1.5789999961853 -0.0780000016093254 2458174.785440 2459270.768507 0
 4 415 12 0 ZTF_g 669481144415 0 3.0879 101.726 10.0669 26.1364 1.46646e-05 0.0417172 -0.0258433 3.39628e-05 811 30. 0.060522 0.058855 19.4859 26.1364 3 2458423.9811458 415120144 -4.90858703584614 56.576211367711 -0.0965111377813926 0.972540951819793 -1.26482167612915 82.2015520186494 -0.0154904657104332 1.0833216792754 0.522437419529519 22.0330001831055 0.157000005245209 0.933000028133392 0.0309999994933605 2458227.669363 2458441.983391 0
 5 415 12 0 ZTF_g 669498964415 0 2.9359 111.265 8.92414 26.233 1.07706e-05 0.0384962 -0.0271927 2.2921e-05 907 30. 0.050885 0.052088 19.7506 26.233 1 2458423.9989699 415120144 -28.8070158730227 49.5148723972999 -0.647168557182825 0.975092885596911 34.0433824487458 74.0743916958661 0.462679015022322 1.08081589435341 0.522437419529519 22.0330001831055 0.157000005245209 0.933000028133392 0.0309999994933605 2458227.669363 2458441.983391 0
 6 415 12 0 ZTF_r 669504164415 0 2.5558 323.04 10.2401 26.2355 4.4543e-06 0.0270828 0.0948647 7.75864e-06 1056 30. 0.058155 0.044476 19.707 26.2355 3 2458424.0041667 415120244 -21.3397355370777 54.9100880168112 -0.432306429014288 0.940080118119089 -5.98085882431605 91.4432605684316 -0.0658456425894838 1.04553771708774 0.254619625774695 20.8270000457764 0.0549999997019768 0.695999979972839 -0.0549999997019768 2458160.769734 2458450.043183 0
 7 415 12 0 ZTF_r 669505164415 0 2.6675 326.965 11.0498 26.212 5.5786e-06 0.0301864 0.111933 9.72137e-06 1053 30. 0.049334 0.051905 19.6421 26.212 1 2458424.005162 415120244 7.37967140303319 54.5884886695907 0.150380233465466 0.966001461870121 -91.5402768868575 86.7617152636098 -1.06218284918008 1.07131640684026 0.254619625774695 20.8270000457764 0.0549999997019768 0.695999979972839 -0.0549999997019768 2458160.769734 2458450.043183 0
 8 415 12 0 ZTF_r 671500024415 0 3.6878 335.555 7.39419 26.278 5.9442e-06 0.0312258 0.0880627 1.03642e-05 1053 30. 0.075427 0.06509 19.7768 26.278 3 2458426.0000231 415120244 10.9976091992839 52.9359677270496 0.231101214153289 0.913695044238671 -80.2189300808854 70.9782424283295 -1.1378023240279 1.10579586029802 0.254619625774695 20.8270000457764 0.0549999997019768 0.695999979972839 -0.0549999997019768 2458160.769734 2458450.043183 0
