# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 18:35:00
#
# Requested input R.A. = 119.09144583333332 degrees
# Requested input Dec. = -14.709591666666666 degrees
# Requested JD start = 2459001.893 days
# Requested JD end = 2459501.893 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1353 5 2 ZTF_r 1380507141815 0 2.3512 568.177 10.3674 26.2104 1.608e-06 0.0170382 0.0912092 6.47657e-06 2148 30. 0.044158 0.051717 20.0199 26.2104 2 2459135.0071412 1353120218 1.90738682530973 38.8743480762102 0.0545796140966763 0.910917846060509 131.15384501062 66.1334950188339 1.99652496310816 1.05234919272147 0.601119145898567 19.3850001335144 0.0540000014007092 1.94400000572205 0.122000001370907 2458784.026979 2459194.847315 0
 1 1353 5 2 ZTF_r 1380507601815 0 2.5062 568.005 10.6628 26.2095 1.6611e-06 0.0172934 0.0917376 6.68127e-06 2145 30. 0.04837 0.055049 19.8825 26.2095 3 2459135.0076042 1353120218 21.9991139778603 42.634321358858 0.573985123463592 0.961619434477994 65.7888152135022 69.7593760101487 0.949433760122555 1.06027369297713 0.601119145898567 19.3850001335144 0.0540000014007092 1.94400000572205 0.122000001370907 2458784.026979 2459194.847315 0
 2 1353 5 2 ZTF_r 1382532041815 0 1.4986 606.172 10.4678 26.2827 1.4825e-06 0.0163102 0.0835272 5.99788e-06 2136 30. 0.045152 0.057427 20.309 26.2827 2 2459137.0320486 1353120218 -9.68758559047168 30.0485662446217 -0.358629985792845 0.968030605744824 158.960069147356 59.1279305961053 2.70651573199752 1.02822537031814 0.601119145898567 19.3850001335144 0.0540000014007092 1.94400000572205 0.122000001370907 2458784.026979 2459194.847315 0
 3 1353 5 2 ZTF_r 1382532521815 0 1.4346 610.139 10.6298 26.2638 1.8269e-06 0.0180938 0.0930919 7.37317e-06 2136 30. 0.057635 0.062892 20.2849 26.2638 3 2459137.0325231 1353120218 29.4947826753241 27.496152164562 1.19324075738611 1.06061587656546 118.430719767392 54.0531823494372 2.20576018462986 1.02929278516791 0.601119145898567 19.3850001335144 0.0540000014007092 1.94400000572205 0.122000001370907 2458784.026979 2459194.847315 0
 4 311 16 2 ZTF_r 1385498406215 0 1.9792 127.15 7.54344 25.7865 1.6347e-06 0.0165592 0.0891372 6.6179e-06 2119 30. 0.03782 0.052558 20.0369 25.7865 1 2459139.9984028 311120262 null null null null null null null null null null null null null 2458430.044410 2458494.935648 57,61
 5 311 16 3 ZTF_r 1387482906315 0 2.9524 165.877 7.29734 26.1239 2.8181e-06 0.0231045 0.0835919 1.14682e-05 2092 30. 0.056136 0.063364 20.0448 26.1239 1 2459141.9829051 311120263 null null null null null null null null 0.483260127187349 19.3489998817444 0.0549999997019768 3.29500007629395 0.223000004887581 2458430.044410 2458494.935648 61
 6 311 16 2 ZTF_r 1389479986215 0 1.9546 168.35 7.21637 26.0981 1.4599e-06 0.0158147 0.0812544 5.9007e-06 2170 30. 0.04573 0.060934 20.4319 26.0981 1 2459143.9799884 311120262 null null null null null null null null null null null null null 2458430.044410 2458494.935648 57,61
 7 311 16 3 ZTF_g 1395501136315 0 3.1328 173.338 6.17652 26.1716 3.5264e-06 0.0260762 -0.0121298 1.4353e-05 2107 30. 0.065066 0.058182 20.0839 26.1716 1 2459150.0011343 311120163 6.94764113926311 38.7233058438547 0.199581256676526 0.93585119174487 -21.4819186569192 56.0130641197307 -0.386099224438175 1.08828876270089 0.359515103337057 19.8760001182556 0.0590000003576279 1.32299995422363 0.0419999994337559 2458204.699954 2458539.730347 0
 8 311 16 3 ZTF_g 1396440116315 0 2.9978 169.423 11.8754 26.1478 5.1845e-06 0.0314701 -0.00867854 2.12092e-05 2115 30. 0.077807 0.071856 19.3824 26.1478 1 2459150.9401157 311120163 -69.7523098458867 65.3351206952222 -1.18759045176586 1.09156852103481 -129.340861368688 96.7113106711621 -1.34639866431309 1.08510280467191 0.359515103337057 19.8760001182556 0.0590000003576279 1.32299995422363 0.0419999994337559 2458204.699954 2458539.730347 0
