# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-03 at 11:16:37
#
# Requested input R.A. = 109.48879166666664 degrees
# Requested input Dec. = -1.6174055555555555 degrees
# Requested JD start = 2458968.92396 days
# Requested JD end = 2459468.92396 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1456 2 1 ZTF_r 1370426950515 0 1.7802 636.193 19.0854 26.1491 3.4571e-06 0.0256371 0.0710215 1.53891e-05 2023 30. 0.055114 0.056068 19.4003 26.1491 2 2459124.926956 1456120205 53.7486490485038 62.5224679124078 0.956282573575659 1.01781769908783 -215.965273646522 122.499303599417 -1.77486569965372 1.03633377840574 null null null null null 2458432.884803 2458873.735590 57
 1 1456 2 1 ZTF_r 1370430320515 0 1.8694 636.517 18.9236 26.158 2.7936e-06 0.0230558 0.079042 1.24175e-05 2028 30. 0.054687 0.055486 19.387 26.158 3 2459124.9303241 1456120205 93.2361175413903 66.2691383808045 1.56504798521516 0.896611037278231 8.68524986263029 126.409507921211 0.0691699988707334 1.03827485562764 null null null null null 2458432.884803 2458873.735590 57
 2 411 9 1 ZTF_r 1370430793315 0 1.8263 234.569 18.7185 26.157 1.8662e-06 0.0196531 0.0821239 8.55374e-06 2185 30. 0.053357 0.052609 19.4318 26.157 1 2459124.9307986 411120233 155.63815982298 59.0739895293963 2.93072174540475 1.1303490767547 185.946844668613 112.981206747697 1.65690571692983 1.03898304161789 3.02844559351798 17.4270004272461 0.0920000001788139 3.26099991798401 0.296000003814697 2458160.785602 2458430.960637 0
 3 411 9 1 ZTF_g 1370521903315 0 1.9316 129.094 15.8939 26.2328 2.2693e-06 0.0218556 -0.025824 1.03975e-05 2188 30. 0.034332 0.042895 19.6946 26.2328 1 2459125.0219097 411120133 -28.1532147822372 51.740072021905 -0.605279222060513 0.914634431908667 -164.567383846946 95.5018607398259 -1.73479085498525 1.05284295180833 4.98081584951499 17.3669998168945 0.0659999996423721 6.2020001411438 0.340000003576279 2458369.003368 2458438.940474 0
 4 411 9 2 ZTF_g 1372479223415 0 2.1162 124.363 15.2921 26.2216 2.9868e-06 0.0225262 -0.0194338 1.37549e-05 2000 30. 0.043037 0.043147 19.5679 26.2216 1 2459126.9792245 411120134 null null null null null null null null null null null null null 2458369.003368 2458438.940474 56,57
 5 411 9 2 ZTF_r 1372505893415 0 2.2908 270.184 14.6446 26.3294 1.7787e-06 0.0174154 0.0919951 8.16458e-06 2015 30. 0.045115 0.0448 19.7804 26.3294 1 2459127.0058912 411120234 null null null null null null null null null null null null null 2458160.785602 2458430.960637 56,57
 6 411 9 1 ZTF_g 1374462693315 0 2.1686 75.1529 18.1668 25.5559 1.9237e-05 0.0632048 0.00288836 8.70725e-05 2130 30. 0.043495 0.050198 18.6694 25.5559 1 2459128.9626968 411120133 16.0818483613286 69.6465510506541 0.256856848183116 1.07646218961219 -18.6091016480605 124.265804970004 -0.150760983867247 1.06043095839357 4.98081584951499 17.3669998168945 0.0659999996423721 6.2020001411438 0.340000003576279 2458369.003368 2458438.940474 0
 7 411 9 1 ZTF_r 1374502123315 0 1.6469 209.891 18.3446 26.0555 4.9406e-06 0.0322737 0.0674671 2.27027e-05 2194 30. 0.038215 0.046844 19.4163 26.0555 1 2459129.0021296 411120233 240.319598915378 49.6766540947005 5.38135514894126 1.4021670318955 727.79206670799 98.5340118545463 7.43594799765491 1.03804682824012 3.02844559351798 17.4270004272461 0.0920000001788139 3.26099991798401 0.296000003814697 2458160.785602 2458430.960637 0
 8 1456 2 1 ZTF_r 1374533860515 0 1.6217 496.384 26.5977 25.8454 1.73297e-05 0.0564759 0.0619097 7.72459e-05 1935 30. 0.042235 0.045988 18.6781 25.8454 2 2459129.0338657 1456120205 98.5449653883481 69.5802043997339 1.57544607366879 1.05475970348569 -92.5442907197432 136.63538106856 -0.681870106510106 1.04216337755232 null null null null null 2458432.884803 2458873.735590 57
