# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:36:30
#
# Requested input R.A. = 207.49835416666664 degrees
# Requested input Dec. = -25.032155555555555 degrees
# Requested JD start = 2459061.81375 days
# Requested JD end = 2459561.81375 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 273 6 1 ZTF_g 1496480332115 0 2.7295 353.603 9.90969 26.1584 9.5406e-06 0.040439 -0.0452763 2.33864e-05 1200 30. 0.083636 0.085502 19.5793 26.1584 1 2459250.9803356 273120121 23.6845132617129 50.2376678187635 0.524432738250045 1.01488582700047 -33.0147684977796 80.2410453145618 -0.414216000462324 1.0523563515255 2.62170437799628 20.1409999847412 0.0710000023245811 1.61300003528595 0.11599999666214 2458205.843229 2458607.794132 0
 1 273 6 1 ZTF_r 1496523692115 0 2.4608 328.622 11.0342 26.2622 3.3248e-06 0.026165 0.0984676 6.93351e-06 1333 30. 0.075464 0.067492 19.6099 26.2622 1 2459251.0236921 273120221 -49.2566390014796 49.3748775707661 -1.10972033422849 0.99023023820996 -229.150090356582 83.3251890810355 -2.76859173010588 1.05170635319317 2.57500397624896 19.5510000228882 0.0879999995231628 3.8199999332428 0.340999990701675 2458218.836829 2458607.837176 0
 2 273 6 1 ZTF_r 1498520762115 0 1.904 355.262 8.32368 26.2582 2.5675e-06 0.0229035 0.0981467 5.39212e-06 1334 30. 0.073566 0.050982 20.2012 26.2582 1 2459253.0207639 273120221 -48.7562697554841 31.3834006096163 -1.72816526434049 1.08159939226454 -92.0337286805103 60.1589993807559 -1.54014498399327 1.03506211630403 2.57500397624896 19.5510000228882 0.0879999995231628 3.8199999332428 0.340999990701675 2458218.836829 2458607.837176 0
 3 273 6 1 ZTF_g 1502487102115 0 2.8616 356.363 6.17383 26.158 1.14961e-05 0.0469275 -0.0865859 2.56009e-05 1291 30. 0.143048 0.076385 20.0244 26.158 1 2459256.9871065 273120121 -22.1042497631828 35.7700634188566 -0.687402124638027 0.953026724909822 -77.454121027976 56.4697956038951 -1.38084046799767 1.05315467419434 2.62170437799628 20.1409999847412 0.0710000023245811 1.61300003528595 0.11599999666214 2458205.843229 2458607.794132 0
 4 273 6 1 ZTF_g 1506482222115 33554432 2.789 82.8978 9.14639 24.5762 7.04234e-05 0.052774 -0.0500681 0.000220844 455 30. 0.092397 0.070903 18.069 24.5762 1 2459260.9822222 273120121 -72.3931387961181 46.7156578513899 -1.7238113629187 1.05396504046848 -1.66474059616932 74.1980458961724 -0.0225875587371996 1.04966160830002 2.62170437799628 20.1409999847412 0.0710000023245811 1.61300003528595 0.11599999666214 2458205.843229 2458607.794132 0
 5 273 6 1 ZTF_r 1510502102115 0 2.0557 331.511 9.57042 26.2775 2.6093e-06 0.0230234 0.102007 5.50848e-06 1330 30. 0.069846 0.055133 20.0378 26.2775 1 2459265.0021065 273120221 -46.8786904225492 32.0546009925758 -1.62682147530066 0.951654058526225 -56.9657365126182 57.2100297659156 -1.00243618575631 1.04695805383475 2.57500397624896 19.5510000228882 0.0879999995231628 3.8199999332428 0.340999990701675 2458218.836829 2458607.837176 0
 6 273 6 1 ZTF_g 1513523222115 0 3.2208 363.899 7.20797 26.1799 8.7249e-06 0.038653 -0.073897 2.1454e-05 1200 30. 0.103872 0.091052 19.772 26.1799 1 2459268.0232292 273120121 -7.05024445398052 48.3506122580556 -0.162202296519381 0.881065570274221 101.084103075933 71.8104248814326 1.41713282568707 1.05472846523324 2.62170437799628 20.1409999847412 0.0710000023245811 1.61300003528595 0.11599999666214 2458205.843229 2458607.794132 0
 7 273 6 1 ZTF_r 1515502262115 0 1.8087 349.124 11.9862 26.2461 2.7842e-06 0.0238191 0.104908 5.82095e-06 1320 30. 0.063801 0.053841 19.9242 26.2461 1 2459270.0022685 273120221 -76.9069797638246 37.7598307319648 -2.26563799211987 1.05722062893574 -278.886525672016 72.5409785234343 -3.87043086794628 1.03954245367967 2.57500397624896 19.5510000228882 0.0879999995231628 3.8199999332428 0.340999990701675 2458218.836829 2458607.837176 0
 8 273 6 1 ZTF_g 1517419522115 0 4.357 349.829 19.3028 26.1393 6.31785e-05 0.0483003 -0.032573 0.000194803 410 30. 0.124837 0.105585 18.4246 26.1393 1 2459271.9195255 273120121 11.2542291161495 159.175279348614 0.0786493128790406 0.989375156589444 -66.3491702223158 193.772603476547 -0.34471351730195 1.18533891160124 2.62170437799628 20.1409999847412 0.0710000023245811 1.61300003528595 0.11599999666214 2458205.843229 2458607.794132 0
