# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:39:33
#
# Requested input R.A. = 205.42576666666665 degrees
# Requested input Dec. = -18.586719444444444 degrees
# Requested JD start = 2459063.836261597 days
# Requested JD end = 2459563.836261597 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 323 7 3 ZTF_r 1438550102715 0 3.3131 551.233 15.3543 26.0322 2.94987e-05 0.067236 0.113013 5.70221e-05 1011 30. 0.093798 0.080641 18.8439 26.0322 1 2459193.0501042 323120227 -16.2627315032058 76.6929765967666 -0.23588085815207 0.969348248953724 36.7174813776721 106.898915169703 0.345791869530253 1.08497763221043 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 1 323 7 3 ZTF_r 1438554812715 0 3.2856 510.411 14.5528 25.9783 2.69176e-05 0.0627026 0.111664 5.20952e-05 979 30. 0.111154 0.082161 18.8196 25.9783 1 2459193.0548148 323120227 -6.11747056584307 89.4731369899916 -0.0760560953282108 0.937771326633725 1.40091070985928 125.895220310415 0.0112025374800887 1.08697067798709 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 2 323 7 3 ZTF_r 1438559512715 32 3.0283 133.423 23.2437 24.7833 0.000224062 0.0909051 0.0963459 0.000505765 315 30. 0.100992 0.086235 17.191 24.7833 1 2459193.0595139 323120227 -60.6720142691385 116.307002057254 -0.580279666942789 1.04394224619499 -66.9549398985186 171.473867958001 -0.39309712945585 1.07188469548532 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 3 323 7 3 ZTF_r 1438564212715 0 3.0974 407.827 20.6318 25.6764 6.37783e-05 0.0759734 0.121744 0.000131111 662 30. 0.104453 0.081716 18.2074 25.6764 1 2459193.064213 323120227 143.439167424443 111.101197211949 1.43616327847994 1.00106408518589 265.720319276282 161.436560083087 1.65705934750544 1.07878155507725 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 4 323 7 3 ZTF_r 1439550792715 0 2.8545 616.076 10.971 26.16 6.0502e-06 0.0315727 0.130904 1.16954e-05 1088 30. 0.07711 0.070813 19.4307 26.16 1 2459194.0507986 323120227 16.4304213041489 65.7383618387276 0.278025495360867 1.05002410539333 -10.3783040805514 99.9868611620825 -0.104495755084378 1.06970689242022 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 5 323 7 3 ZTF_r 1439555492715 0 2.6738 625.657 11.066 26.1782 5.5165e-06 0.0300978 0.113263 1.07331e-05 1087 30. 0.078381 0.066258 19.4984 26.1782 1 2459194.0554977 323120227 19.9524395985484 55.9078620441802 0.396988495188467 1.17129541988901 -53.2872612912905 88.831604593081 -0.603908420969168 1.0604712570032 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 6 323 7 3 ZTF_r 1439560202715 0 2.9688 620.686 11.5935 26.1981 6.6055e-06 0.0328513 0.102613 1.2804e-05 1082 30. 0.085342 0.071143 19.3699 26.1981 1 2459194.0602083 323120227 -0.35560635827058 68.9030116857389 -0.00574098105554241 1.01437027778431 -19.0447048776364 103.108941157482 -0.185948685395178 1.07069670935834 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 7 323 7 3 ZTF_r 1439564912715 0 2.514 636.104 13.6448 26.2133 6.0734e-06 0.0315663 0.102767 1.18121e-05 1086 30. 0.076947 0.061191 19.3526 26.2133 1 2459194.064919 323120227 46.1736247943929 67.4143213808269 0.761897596522243 1.05773905174636 97.8424832899071 111.251641797282 0.885393298048654 1.05105637054543 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 8 323 7 3 ZTF_r 1439569622715 0 2.667 641.063 19.6203 26.2193 1.04519e-05 0.0396702 0.105569 2.04091e-05 1004 30. 0.080428 0.069905 18.9213 26.2193 1 2459194.0696296 323120227 53.3810022486236 111.445681130695 0.532817256242547 0.934028917590355 34.6558655506407 176.007755637347 0.19822578086237 1.06513295701972 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 9 323 7 3 ZTF_r 1440550752715 0 3.774 622.648 9.31087 26.1961 9.4819e-06 0.0394369 0.113505 1.83153e-05 1077 30. 0.081397 0.079519 19.4025 26.1961 1 2459195.0507523 323120227 -27.3911315513424 68.9315884275942 -0.442024649558513 0.986368896430596 11.2183525297155 89.6619657670699 0.125960976684251 1.14658268565245 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 10 323 7 3 ZTF_r 1440555492715 0 2.8638 639.468 9.41499 26.2169 5.484e-06 0.0299347 0.108334 1.06515e-05 1086 30. 0.074024 0.067103 19.6371 26.2169 1 2459195.0554977 323120227 39.5481256501633 55.3172346359631 0.79528033775529 1.01557659026485 28.6466367748324 84.8167383963121 0.340022194521766 1.06529616856773 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 11 323 7 3 ZTF_r 1440560242715 0 2.8936 642.467 10.2748 26.2214 5.7039e-06 0.0305394 0.106184 1.10515e-05 1087 30. 0.078231 0.069954 19.5412 26.2214 1 2459195.0602431 323120227 -40.4681484077094 63.447670091516 -0.709500092506769 0.892197940397581 57.3728366218083 96.5706492887879 0.598103527342681 1.06706598734809 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 12 323 7 3 ZTF_r 1440564982715 0 2.3669 646.673 11.9691 26.2314 4.4302e-06 0.0269655 0.106125 8.5814e-06 1087 30. 0.065416 0.0608 19.557 26.2314 1 2459195.0649884 323120227 33.4680017697747 63.3562531044374 0.587618011582798 0.994391272313225 83.7812194755119 108.863962644508 0.774778804299564 1.04237414997848 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 13 323 7 3 ZTF_r 1440569722715 0 3.1479 659.618 17.1875 26.2384 1.05328e-05 0.039233 0.106647 2.0513e-05 982 30. 0.082037 0.070761 18.9515 26.2384 1 2459195.0697222 323120227 129.511451253724 108.383951780262 1.32922343419184 0.92997888850938 117.537950246606 155.658418261706 0.76018744392678 1.08518198045464 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 14 323 7 3 ZTF_r 1441551122715 0 3.6638 514.737 9.13994 25.9746 1.04381e-05 0.0406876 0.117022 2.0237e-05 1049 30. 0.090846 0.085317 19.2425 25.9746 1 2459196.0511227 323120227 -56.4243923574989 65.2334710653257 -0.962168653675595 1.02471116504648 -75.2578449466839 85.768966646638 -0.883358093545632 1.13999167482027 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 15 323 7 3 ZTF_r 1441555872715 0 3.9253 466.03 9.27181 25.8675 2.05378e-05 0.0541584 0.101396 4.02223e-05 955 30. 0.095181 0.095361 19.0605 25.8675 1 2459196.0558796 323120227 115.639069607633 75.8257942525989 1.69645530362953 0.949965623981597 111.63957348154 96.6840713899002 1.16246110467222 1.16632550933439 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 16 323 7 3 ZTF_r 1441560632715 0 3.857 456.119 10.3334 25.8521 1.41674e-05 0.0438 0.108588 2.7767e-05 915 30. 0.095356 0.092933 18.9482 25.8521 1 2459196.0606366 323120227 47.6255837581248 77.0356154310331 0.687707176815599 0.956255373734301 6.08771938231972 98.6408241342115 0.0621316840811998 1.16605568238154 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
 17 323 7 3 ZTF_r 1441565382715 0 3.112 594.609 11.1718 26.1305 7.5203e-06 0.0349343 0.114786 1.45956e-05 1075 30. 0.078414 0.079875 19.3151 26.1305 1 2459196.0653819 323120227 -117.264392049459 66.0294098570721 -1.97552960195173 1.11488697735857 -215.951088622301 95.5792806869741 -2.27460941394726 1.0852217041694 3.14453615584127 21.9710000991821 0.337999999523163 1.21099996566772 -0.602999985218048 2458198.857917 2458482.054144 0
