# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 16:05:14
#
# Requested input R.A. = 287.5998666666667 degrees
# Requested input Dec. = 77.80721666666666 degrees
# Requested JD start = 2459142.86439 days
# Requested JD end = 2459642.86439 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 866 12 0 ZTF_r 1389125114415 0 2.0276 286.621 7.04332 26.3316 4.7033e-06 0.0289865 0.105579 8.45279e-06 1348 30. 0.04425 0.056027 20.3337 26.3316 1 2459143.6251157 866120244 -9.68080227332803 32.7452103110703 -0.328865538760409 1.0624489666149 -101.644159996377 60.2641365575238 -1.69800390592777 1.04611039103574 0.361969978029183 22.330999994278 0.261000007390976 0.943000018596649 -0.412999987602234 2458217.995949 2458342.833299 0
 1 865 9 1 ZTF_g 1389200603315 0 2.0013 157.404 5.34623 26.1885 5.0023e-06 0.0320012 -0.0798441 9.28145e-06 1476 30. 0.064566 0.055996 20.5788 26.1885 1 2459143.7006019 865120133 12.2618878812256 21.8031868253357 0.625593410698172 1.01432857254387 16.8661541973523 38.5009046438707 0.441022071385725 1.0768554129001 0.274644989817685 22.9230000495911 0.342999994754791 0.83899998664856 -0.490000009536743 2458244.943333 2458317.888808 0
 2 866 12 0 ZTF_g 1389202044415 0 1.9341 118.042 5.40071 26.2793 3.0693e-06 0.0246276 -0.0794955 5.67822e-06 1444 30. 0.04656 0.05066 20.6692 26.2793 1 2459143.7020486 866120144 54.5301161709761 25.9452605994189 2.33793906011851 1.0538164265453 48.0418531607387 47.1565570512263 1.02563505120445 1.06184572909062 null null null null null 2458244.944317 2458349.724618 57
 3 866 12 0 ZTF_r 1391109534415 0 1.5603 297.637 7.89415 26.3152 2.1586e-06 0.0205083 0.0987267 3.96856e-06 1428 30. 0.041841 0.057801 20.4331 26.3152 1 2459145.609537 866120244 -37.6537626981084 28.7241174902549 -1.45819796529547 0.972547314870512 -13.093386552037 55.9721830743731 -0.235502182330046 1.0418057301974 0.361969978029183 22.330999994278 0.261000007390976 0.943000018596649 -0.412999987602234 2458217.995949 2458342.833299 0
 4 865 9 1 ZTF_r 1391110503315 0 1.5414 251.349 8.06388 26.2758 2.2951e-06 0.0217153 0.0966441 4.20463e-06 1492 30. 0.046134 0.060178 20.3035 26.2758 1 2459145.6105093 865120233 -25.3219469199179 27.2910468422349 -1.03212358052972 0.97753789638532 -29.2410055404339 52.2362065290321 -0.563554426157768 1.03941923615385 0.430487822457794 22.1919998168945 0.140000000596046 0.30799999833107 -0.0890000015497208 2458187.020382 2458293.803900 0
 5 865 9 1 ZTF_g 1391214463315 0 1.9827 157.315 6.95638 26.1972 4.1978e-06 0.0291593 -0.0657134 7.87753e-06 1466 30. 0.047747 0.050727 20.2921 26.1972 1 2459145.7144676 865120133 -2.2587950867926 28.739716584389 -0.0874277203540182 0.974416735597993 73.4744005891857 52.0657055815563 1.42069053090293 1.0581839067012 0.274644989817685 22.9230000495911 0.342999994754791 0.83899998664856 -0.490000009536743 2458244.943333 2458317.888808 0
 6 866 12 0 ZTF_g 1391281204415 0 2.008 113.412 5.10402 26.241 3.3543e-06 0.0256163 -0.0685951 6.20741e-06 1436 30. 0.053942 0.048734 20.6507 26.241 1 2459145.7812037 866120144 10.8154714827853 25.8860326662444 0.4647664420454 1.02121738871947 36.2530536131377 47.2981200896804 0.77164208526337 1.06160774222787 null null null null null 2458244.944317 2458349.724618 57
 7 865 9 1 ZTF_g 1393169283315 2080 3.3032 33.0435 16.4442 24.4692 0.00479076 0.225535 -0.0108489 0.0158835 202 30. 0.08384 0.084279 17.185 24.4692 1 2459147.6692824 865120133 22.1204948525416 101.755841068318 0.241818927685244 0.972447798456639 113.463755953065 140.680819469672 0.811965279333343 1.13263279544693 0.274644989817685 22.9230000495911 0.342999994754791 0.83899998664856 -0.490000009536743 2458244.943333 2458317.888808 0
 8 866 12 0 ZTF_r 1393284604415 8 5.2283 276.301 11.7992 26.2644 2.27519e-05 0.0539861 0.110921 4.40167e-05 952 30. 0.102545 0.095853 18.9497 26.2644 1 2459147.7846065 866120244 -9.98256167324628 99.2785131532385 -0.111851429464455 1.05020227976288 105.345668260266 115.439049932914 0.91871145386838 1.35785980909231 0.361969978029183 22.330999994278 0.261000007390976 0.943000018596649 -0.412999987602234 2458217.995949 2458342.833299 0
