# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 15:31:56
#
# Requested input R.A. = 270.3322208333333 degrees
# Requested input Dec. = 42.203808333333335 degrees
# Requested JD start = 2459146.83196 days
# Requested JD end = 2459646.83196 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 725 10 1 ZTF_g 1393095833715 48 1.8829 3.33044 15.5326 22.5333 0.0686066 0.106248 0.382789 0.240502 20 30. 0.059504 0.089731 15.7499 22.5333 1 2459147.5958333 725120137 58.238518076356 69.4296569792455 0.933082613188788 0.976763591984079 188.510260304735 128.203926436063 1.48029700048582 1.08822644898435 null null null null null 2458203.997975 2458229.993380 57
 1 725 10 1 ZTF_r 1396115573715 0 2.5685 243.355 10.7707 26.2879 2.8342e-06 0.0269984 0.101682 6.26939e-06 1633 30. 0.058957 0.06742 19.7167 26.2879 1 2459150.6155787 725120237 34.1399488767105 52.4398973854364 0.724195520793679 1.00120358880854 31.7102837916067 85.0576717250252 0.375320106111005 1.06960201743938 null null null null null 2458156.052002 2458220.002813 57
 2 725 10 1 ZTF_g 1396156553715 0 2.4855 79.3346 12.0485 26.2114 6.1729e-06 0.0352715 -0.0416228 1.66987e-05 1423 30. 0.05632 0.063955 19.5114 26.2114 1 2459150.6565509 725120137 -16.9721162594254 61.0229628821866 -0.309383756828001 0.997265121826636 37.4134908077643 100.051622013789 0.376460391774013 1.06924368764523 null null null null null 2458203.997975 2458229.993380 57
 3 725 10 1 ZTF_r 1398199073715 0 2.1307 226.603 16.0367 26.2045 3.916e-06 0.0317447 0.108703 8.67699e-06 1642 30. 0.0987 0.082651 19.3331 26.2045 1 2459152.6990741 725120237 -36.7694849704478 62.8346264547419 -0.650943523311528 1.07121004382607 -81.0196874433875 111.520563070006 -0.73139300461187 1.05384799394581 null null null null null 2458156.052002 2458220.002813 57
 4 725 10 1 ZTF_r 1400135963715 33554432 2.2742 117.152 18.8877 25.4546 7.48266e-05 0.112795 0.103449 0.000180248 1138 30. 0.053904 0.072735 18.3387 25.4546 1 2459154.6359606 725120237 47.0312505042653 87.6505704853391 0.596879386038897 0.985036906007011 7.40929517379355 148.558215545539 0.0502106004416541 1.06433677254034 null null null null null 2458156.052002 2458220.002813 57
 5 725 10 1 ZTF_r 1403090843715 0 1.5708 235.36 7.96357 26.2571 1.3379e-06 0.0185301 0.0948027 2.94748e-06 1632 30. 0.04112 0.060177 20.3611 26.2571 1 2459157.5908449 725120237 -12.3146240017416 27.1505650723923 -0.504541721302431 0.968286332445296 139.545748253624 53.3787119498748 2.63186562142575 1.03466978880229 null null null null null 2458156.052002 2458220.002813 57
 6 725 10 1 ZTF_g 1403182303715 0 2.3663 71.3063 17.4416 26.0423 9.9632e-06 0.0403434 -0.0235041 2.86541e-05 1195 30. 0.066535 0.060693 18.973 26.0423 1 2459157.6823032 725120137 -0.271800294151801 8.5074218532169 -0.0355391269702153 0.443355222628047 -5.03637109868735 54.6081070469811 -0.092848692657338 1.05706750823093 null null null null null 2458203.997975 2458229.993380 56,57
 7 725 10 1 ZTF_r 1410116163715 0 2.693 238.421 8.8384 26.2795 2.2874e-06 0.0242066 0.0995285 5.01007e-06 1630 30. 0.055748 0.065384 19.8359 26.2795 1 2459164.616169 725120237 -35.6272988103865 45.1330381091045 -0.878098284177977 0.975586282938975 -117.691746421182 71.1176436380819 -1.66603392693493 1.07200342447155 null null null null null 2458156.052002 2458220.002813 57
 8 725 10 1 ZTF_g 1413141213715 0 3.6395 76.151 8.09746 26.1613 7.694e-06 0.0379574 -0.026602 2.14205e-05 1314 30. 0.069779 0.082566 19.6038 26.1613 1 2459167.6412153 725120137 10.1378316088113 57.0599577760737 0.197637079831299 0.921437299445804 -19.1374730773655 74.5722704510423 -0.258358300519534 1.18004635186136 null null null null null 2458203.997975 2458229.993380 57
