# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 14:55:35
#
# Requested input R.A. = 277.77238333333327 degrees
# Requested input Dec. = 29.91610833333333 degrees
# Requested JD start = 2459151.8708912036 days
# Requested JD end = 2459651.8708912036 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 683 1 2 ZTF_r 1398199530215 0 2.5427 184.427 15.9214 26.1131 1.22447e-05 0.0365471 0.0639846 3.31737e-05 2023 30. 0.097843 0.076828 19.1247 26.1131 1 2459152.699537 683120202 128.876605547375 76.0354748676542 1.88543961262995 0.980850376927824 262.734419837116 128.60928869945 2.0566473381969 1.04621220444585 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
 1 683 1 2 ZTF_r 1400136890215 0 2.4757 107.011 22.4793 25.4994 0.00018047 0.138788 0.0791865 0.000484608 1923 30. 0.058594 0.065066 18.1431 25.4994 1 2459154.6368981 683120202 34.1127578691053 76.3350377291059 0.497104515564241 1.10385914051338 -26.1814177929763 131.341214300317 -0.200681494293859 1.03846361365417 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
 2 683 1 2 ZTF_r 1403089890215 0 1.7377 192.913 8.19897 26.154 1.8406e-06 0.0140354 0.0711112 4.93864e-06 1946 30. 0.043074 0.050475 20.2515 26.154 1 2459157.5898958 683120202 25.1991739111378 28.9277099230808 0.969007304964989 0.918890861792708 103.330468863898 57.1887123854681 1.81900240760166 1.03302998773163 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
 3 683 1 2 ZTF_g 1403181840215 0 2.1636 83.6529 13.1008 26.0239 6.0008e-06 0.0253679 -0.0299214 1.61714e-05 1929 30. 0.064364 0.058167 19.3657 26.0239 1 2459157.6818403 683120102 115.698041644731 59.3794379043917 2.16742823634816 0.882562329786149 68.2192540707173 109.66011142886 0.626287113673288 1.03049137348563 0.0479671394201267 18.4930002212524 0.0430000014603138 3.92700004577637 0.127000004053116 2458204.975035 2458230.903299 0
 4 683 1 2 ZTF_r 1410117100215 0 2.9576 195.162 8.51465 26.1703 2.9024e-06 0.0174596 0.0775254 7.84277e-06 1932 30. 0.065905 0.070473 19.7848 26.1703 1 2459164.6171065 683120202 23.5805695813671 46.4817671107962 0.564321324747956 1.02981327856989 77.7993925910575 68.4349452570167 1.14449387929201 1.08847877192954 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
 5 683 1 2 ZTF_g 1413141670215 0 4.1188 92.6541 7.7426 26.1458 1.14981e-05 0.0353024 -0.0302935 3.08515e-05 1919 30. 0.081135 0.094717 19.5347 26.1458 1 2459167.6416782 683120102 0.591312433617754 58.5448529004612 0.0112352591195618 1.02287685486513 2.8597876900924 72.5254439872352 0.0396970823815917 1.20340768890344 0.0479671394201267 18.4930002212524 0.0430000014603138 3.92700004577637 0.127000004053116 2458204.975035 2458230.903299 0
 6 683 1 2 ZTF_g 1415094610215 0 2.8651 99.9159 6.62188 26.2394 4.7344e-06 0.0226112 -0.0475384 1.27294e-05 1930 30. 0.063251 0.067635 20.0996 26.2394 1 2459169.5946181 683120102 6.23312877572296 37.1443889121904 0.186667057971089 0.973846304375739 -35.8139295708961 57.1285602322168 -0.631122827190987 1.06017517093158 0.0479671394201267 18.4930002212524 0.0430000014603138 3.92700004577637 0.127000004053116 2458204.975035 2458230.903299 0
 7 683 1 2 ZTF_r 1415158170215 0 2.8874 185.143 11.8766 26.1145 4.4974e-06 0.0223564 0.0785987 1.21514e-05 2031 30. 0.082084 0.068098 19.3561 26.1145 1 2459169.6581713 683120202 32.224109947262 59.5964167579684 0.601472233470957 1.02724609221741 -20.6353927567689 90.7778363856734 -0.22884851789131 1.07141687621426 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
 8 683 1 2 ZTF_r 1417077740215 0 1.6348 196.51 9.83311 26.1744 2.106e-06 0.0149845 0.070905 5.65888e-06 1956 30. 0.041549 0.048188 20.11 26.1744 1 2459171.5777431 683120202 5.94698490043871 30.1227821326088 0.219612247341016 1.07571732183049 4.29386502203418 61.4648900917782 0.0703293285573278 1.02913761835692 0.114269766201636 17.5630001068115 0.0520000010728836 3.85899996757507 0.28099998831749 2458187.023368 2458218.011505 0
