# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:45:53
#
# Requested input R.A. = 264.3543625 degrees
# Requested input Dec. = 48.611897222222225 degrees
# Requested JD start = 2459149.8242014004 days
# Requested JD end = 2459649.8242014004 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 763 10 2 ZTF_r 1396118373815 0 2.5228 209.156 12.1743 26.3193 6.5204e-06 0.0321999 0.115265 1.25653e-05 1003 30. 0.061598 0.07244 19.6139 26.3193 1 2459150.6183796 763120238 -37.9965781807318 61.9934258086831 -0.681794749120101 0.993971801738403 -110.016979522801 100.600692854158 -1.10096607754254 1.06707097330046 0.683013726535248 20.8460000991821 0.0649999976158142 1.08299994468689 0.096000000834465 2458155.060220 2458220.001366 0
 1 763 10 2 ZTF_g 1396139453815 0 3.0681 110.383 12.8806 26.2483 1.84628e-05 0.042663 -0.0392531 4.85553e-05 706 30. 0.072105 0.073506 19.3266 26.2483 2 2459150.639456 763120138 -48.8472543428721 78.3426467607614 -0.693580251269137 0.875707552575728 56.3984480799875 114.280998862121 0.496830579344065 1.08235024537062 0.461470547647651 21.2479998588562 0.0710000023245811 0.776000022888184 -0.0359999984502792 2458204.934965 2458228.995775 0
 2 763 10 2 ZTF_g 1396157503815 0 2.6999 107.96 13.388 26.2362 1.34837e-05 0.0382109 -0.0548007 3.44382e-05 767 30. 0.059031 0.066734 19.3621 26.2362 1 2459150.6575 763120138 36.1573795650665 70.2678832500094 0.572393743841081 0.988511086036169 57.1475224879641 111.248573386658 0.517151929130245 1.0570985472852 0.461470547647651 21.2479998588562 0.0710000023245811 0.776000022888184 -0.0359999984502792 2458204.934965 2458228.995775 0
 3 763 10 2 ZTF_g 1396176943815 0 3.491 104.054 14.0651 26.1867 2.57874e-05 0.0425984 -0.0370028 7.15296e-05 541 30. 0.075748 0.087272 19.0492 26.1867 2 2459150.6769444 763120138 22.1029968847619 92.8954693689133 0.264674090969831 0.914281323020496 98.2345020244592 125.719962174168 0.786638138742836 1.10394975994906 0.461470547647651 21.2479998588562 0.0710000023245811 0.776000022888184 -0.0359999984502792 2458204.934965 2458228.995775 0
 4 763 10 2 ZTF_g 1398116083815 0 2.2079 113.237 15.0115 26.27 1.18525e-05 0.0375132 -0.0403012 2.98186e-05 823 30. 0.066165 0.061075 19.4767 26.27 1 2459152.616088 763120138 -25.2615836056325 62.8068248389922 -0.447412934180449 1.0148865633627 -45.1353400337434 111.692949421951 -0.406823612241348 1.05116286332383 0.461470547647651 21.2479998588562 0.0710000023245811 0.776000022888184 -0.0359999984502792 2458204.934965 2458228.995775 0
 5 763 10 2 ZTF_g 1398119493815 0 2.2363 113.337 14.8338 26.2612 1.45139e-05 0.0406036 -0.0184565 3.6739e-05 804 30. 0.079063 0.066359 19.4458 26.2612 2 2459152.6194907 763120138 -19.1803946908159 64.5733557663846 -0.330414413695767 1.06856437202523 -84.9382532849645 111.612739951029 -0.766134021486007 1.05648704531741 0.461470547647651 21.2479998588562 0.0710000023245811 0.776000022888184 -0.0359999984502792 2458204.934965 2458228.995775 0
 6 763 10 2 ZTF_i 1398135093815 0 1.6188 494.613 13.451 26.5223 8.931e-07 0.0177273 0.191928 5.68525e-06 1000 60. 0.054649 0.062352 20.0525 26.5223 2 2459152.6350926 763120338 60.0082130472959 50.6618840091573 1.31760173845168 0.913820027594272 141.439696631069 102.321042820328 1.39162284903248 1.03425422319065 0.469044323624715 20.5740000343323 0.0729999989271164 1.16499996185303 0.166999995708466 2458227.891019 2458371.787130 0
 7 763 10 2 ZTF_r 1398180703815 0 2.083 200.922 16.4095 26.2592 7.0886e-06 0.0332535 0.121649 1.36154e-05 995 30. 0.077694 0.070789 19.3624 26.2592 2 2459152.680706 763120238 101.659832519629 70.5787980514022 1.60224871840552 1.01417177239533 266.367481722975 124.337529495752 2.15672197385078 1.05550885920478 0.683013726535248 20.8460000991821 0.0649999976158142 1.08299994468689 0.096000000834465 2458155.060220 2458220.001366 0
 8 763 10 2 ZTF_r 1398181643815 0 2.1374 201.375 16.2572 26.2578 8.3172e-06 0.0360604 0.120972 1.59914e-05 998 30. 0.076196 0.071359 19.3525 26.2578 1 2459152.6816435 763120238 60.3868591959796 72.4814235787541 0.926766930200798 1.01024583166389 173.456503564866 127.519044020791 1.36940128776144 1.05211612925126 0.683013726535248 20.8460000991821 0.0649999976158142 1.08299994468689 0.096000000834465 2458155.060220 2458220.001366 0
