# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 15:50:06
#
# Requested input R.A. = 294.7771083333333 degrees
# Requested input Dec. = 75.00119722222222 degrees
# Requested JD start = 2459147.864872697 days
# Requested JD end = 2459647.864872697 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1877 14 2 ZTF_r 1395217815415 0 4.0064 693.703 11.6222 26.1783 1.01899e-05 0.0413695 0.0935984 1.91833e-05 1418 30. 0.084893 0.083475 19.1077 26.1783 2 2459149.7178125 1877120254 -1.31979112889176 89.4725966449048 -0.0164085409219644 0.93084056371194 3.26196169979111 113.486207956657 0.0289368308153365 1.15807112580793 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 1 1877 14 2 ZTF_r 1395218285415 0 4.3694 694.798 11.7595 26.183 1.18236e-05 0.0432335 0.0913661 2.2508e-05 1344 30. 0.076274 0.08496 19.0241 26.183 3 2459149.718287 1877120254 -73.4873929299501 93.363205270254 -0.875572047612694 0.992173974956688 -125.908429441148 114.021239742594 -1.11169138525173 1.1997727248403 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 2 866 7 2 ZTF_g 1396174462615 0 2.8782 116.746 12.0773 26.306 1.21686e-05 0.0381641 -0.0740182 2.69304e-05 1244 30. 0.05988 0.061711 19.4857 26.306 1 2459150.6744676 866120126 25.4842524402111 64.7466850762966 0.437833675064151 0.964926986470082 38.1029369828597 99.0507763499602 0.387271699114791 1.06325040520269 0.17047906799166 20.1920001029968 0.0570000000298023 2.23099994659424 0.155000001192093 2458262.922141 2458423.747766 0
 3 866 7 2 ZTF_r 1396201362615 0 2.5709 225.013 11.8855 26.314 4.0197e-06 0.0265561 0.101403 7.25324e-06 1532 30. 0.06156 0.057331 19.6237 26.314 1 2459150.7013657 866120226 -8.10183970950151 62.7391186476243 -0.14364814902221 0.912492556207039 64.1704057833289 102.78909678342 0.628496593315126 1.06069592341526 0.301452057888461 19.4240001678467 0.046000000089407 2.19400000572205 0.203999996185303 2458218.019294 2458379.804745 0
 4 1877 14 2 ZTF_r 1396257375415 0 3.1422 737.046 12.6135 26.2591 6.7907e-06 0.0352602 0.0798183 1.25461e-05 1556 30. 0.073946 0.071506 19.3253 26.2591 2 2459150.7573727 1877120254 -33.7788317310611 74.635780186884 -0.503445367703113 1.05868355209821 -94.9045846854393 107.295383536962 -0.890474215889338 1.09393076456222 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 5 1877 14 2 ZTF_r 1396257835415 0 3.0331 737.429 12.4714 26.2621 8.132e-06 0.0387068 0.0747476 1.49718e-05 1562 30. 0.078461 0.071841 19.3794 26.2621 3 2459150.7578356 1877120254 24.6889152802181 71.3750826883363 0.384777958522642 1.0531014830433 -1.77345973531125 104.682098684505 -0.017055486192012 1.085414917805 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 6 1877 14 2 ZTF_r 1397082045415 0 1.9186 762.06 14.3852 26.2768 3.2427e-06 0.0246073 0.0828825 6.00128e-06 1569 30. 0.046741 0.055321 19.6379 26.2768 2 2459151.5820486 1877120254 -65.5466811793896 59.677540679025 -1.22178444196721 1.02672111499503 20.0045876072544 113.019467752716 0.178193368418756 1.04066079361142 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 7 1877 14 2 ZTF_r 1397082515415 0 1.834 755.559 13.9183 26.2768 2.9161e-06 0.023406 0.0863639 5.37606e-06 1571 30. 0.044912 0.054786 19.6844 26.2768 3 2459151.5825116 1877120254 -69.8839627035094 50.6995807215962 -1.53330289819639 0.952165065166704 -99.1873315300208 96.6488958258727 -1.03317645857552 1.04159257658864 0.36016342718457 19.4139999389648 0.0509999990463257 1.48500001430511 0.108000002801418 2458357.827650 2459150.757836 0
 8 866 7 2 ZTF_r 1398196622615 0 1.7521 226.487 13.448 26.3099 3.5692e-06 0.0251265 0.102165 6.44661e-06 1538 30. 0.076542 0.068757 19.8106 26.3099 1 2459152.6966204 866120226 23.7114115242439 47.94040056857 0.550187286426293 1.00533634234139 76.4278265897997 95.3998949710155 0.806526804065422 1.03459131188842 0.301452057888461 19.4240001678467 0.046000000089407 2.19400000572205 0.203999996185303 2458218.019294 2458379.804745 0
