# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 16:29:17
#
# Requested input R.A. = 271.36952499999995 degrees
# Requested input Dec. = 45.37421111111111 degrees
# Requested JD start = 2459153.874965301 days
# Requested JD end = 2459653.874965301 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 764 3 1 ZTF_r 1400177280915 0 2.4418 216.37 15.5097 26.2343 4.384e-06 0.0335695 0.0929657 9.29489e-06 1704 30. 0.059106 0.077942 19.2852 26.2343 1 2459154.6772801 764120209 53.4370829776008 71.6231975076824 0.829934538304958 1.14618228237031 198.528351911061 119.896466610158 1.66698366877944 1.05459884041762 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 1 764 3 1 ZTF_r 1403091300915 0 1.5791 219.007 7.74623 26.242 1.5732e-06 0.0200726 0.0852254 3.32944e-06 1696 30. 0.044323 0.059838 20.4031 26.242 1 2459157.5913079 764120209 -53.4141150409589 27.4319773097341 -2.16597642653972 1.13430940401918 -63.2024772852017 54.7358956838651 -1.16245744791607 1.03128454403874 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 2 764 3 1 ZTF_g 1403182770915 4194304 2.364 81.065 15.8719 26.1703 1.03317e-05 0.0422424 -0.0370464 2.79422e-05 1274 30. 0.073867 0.062069 19.2053 26.1703 1 2459157.6827778 764120109 -83.0377496321857 73.8340579613469 -1.25104702359133 1.07584116672293 -174.010602345278 128.690954565228 -1.36126563328089 1.04386735674931 0.81975711309605 18.0330001831055 0.0529999993741512 5.70100021362305 0.158999994397163 2458204.966400 2458230.907616 0
 3 764 3 1 ZTF_r 1410115700915 0 2.6227 222.695 8.62035 26.2632 2.0438e-06 0.0229948 0.0892658 4.32452e-06 1691 30. 0.052596 0.067225 19.8908 26.2632 1 2459164.615706 764120209 48.6928122964026 46.3564646728296 1.1684478986817 1.01648348401686 31.4011573498292 73.7285194256319 0.428770931486424 1.0702178956681 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 4 764 3 1 ZTF_r 1413093020915 0 3.0387 224.786 8.54932 26.2799 2.6e-06 0.0258042 0.0956446 5.51388e-06 1688 30. 0.054916 0.073725 19.7995 26.2799 1 2459167.5930208 764120209 84.3031617398933 49.0945994564426 1.91013887253215 1.22852148229953 140.626433514743 71.3912931652454 1.98306480186179 1.0983020454466 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 5 764 3 1 ZTF_g 1413159730915 0 4.4432 84.9837 8.65758 26.2106 1.22137e-05 0.0418786 -0.0350751 3.54338e-05 1133 30. 0.073341 0.084601 19.3777 26.2106 1 2459167.6597338 764120109 41.9090512637695 68.6334840207954 0.679245210938923 0.957808154448174 12.4072614198316 83.0870223511984 0.150334248187974 1.21629327549866 0.81975711309605 18.0330001831055 0.0529999993741512 5.70100021362305 0.158999994397163 2458204.966400 2458230.907616 0
 6 764 3 1 ZTF_g 1415096480915 0 2.6547 93.9938 6.98649 26.3268 3.3949e-06 0.0293692 -0.0588271 7.37151e-06 1677 30. 0.05869 0.060559 20.1698 26.3268 1 2459169.5964815 764120109 93.8907175173122 37.6600941429254 2.77329493020672 1.04049213411214 148.226505840953 59.7400311148314 2.49790328363158 1.06491482063574 0.81975711309605 18.0330001831055 0.0529999993741512 5.70100021362305 0.158999994397163 2458204.966400 2458230.907616 0
 7 764 3 1 ZTF_r 1415157230915 0 2.6161 213.473 10.979 26.205 3.151e-06 0.028549 0.101327 6.70202e-06 1714 30. 0.071224 0.064477 19.5756 26.205 1 2459169.6572338 764120209 -53.2480296683368 58.4717623657364 -1.01300633074632 1.08484214953451 -71.3012106899116 92.279048545042 -0.77787352143298 1.07245172830109 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 8 764 3 1 ZTF_r 1417076800915 0 1.6682 219.883 9.84935 26.2355 1.7538e-06 0.0212553 0.0888735 3.72836e-06 1706 30. 0.042966 0.059957 20.1066 26.2355 1 2459171.5768056 764120209 -17.9142420663999 35.2758713155593 -0.564905092425837 1.08329701853257 -150.337779710423 68.4522971371261 -2.21103337121401 1.04122319062714 0.659218321315198 16.9190000534058 0.0750000029802322 6.44299983978271 0.546999990940094 2458157.047755 2458227.007477 0
 9 764 3 1 ZTF_g 1419139720915 4194304 2.5451 84.4688 10.9797 26.2202 8.7677e-06 0.0424239 -0.0514158 2.11482e-05 1424 30. 0.065767 0.060685 19.5984 26.2202 1 2459173.6397222 764120109 25.5574738184899 52.8832399341662 0.537594319351281 1.06144143863616 159.408260165506 89.2810198955932 1.79749160747637 1.04668991930165 0.81975711309605 18.0330001831055 0.0529999993741512 5.70100021362305 0.158999994397163 2458204.966400 2458230.907616 0
