# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:56:09
#
# Requested input R.A. = 2.998220833333333 degrees
# Requested input Dec. = 4.6802472222222224 degrees
# Requested JD start = 2459207.074 days
# Requested JD end = 2459707.074 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 447 12 3 ZTF_g 1457110784715 0 2.6132 116.408 13.253 26.3659 2.51441e-05 0.0300842 -0.0266844 4.52837e-05 226 30. 0.084021 0.069024 19.524 26.3659 1 2459211.610787 447120147 65.6515908737791 68.0738568112425 1.07280230680378 1.06208091700762 -3.23040073937701 110.09104347289 -0.0295406199416973 1.06491444333083 1.70693848942263 23.1460000991821 0.326999992132187 0.760999977588654 -0.35699999332428 2458280.946493 2458382.912685 0
 1 447 12 3 ZTF_r 1457132394715 0 2.4365 207.2 11.7342 26.3286 2.21464e-05 0.0298274 0.121647 3.39998e-05 262 30. 0.089532 0.074268 19.6577 26.3286 1 2459211.6323958 447120247 -92.1304066159651 62.9026250925585 -1.62925483667283 1.59997299289758 -27.7370703072456 104.406810722588 -0.267452677448498 1.06010866436106 0.783095540571451 22.0050000190735 0.193000003695488 2.04399991035461 0.243000000715256 2458283.964039 2458447.817986 0
 2 447 12 3 ZTF_i 1457182954715 0 2.2754 224.951 9.75327 25.7769 5.8096e-06 0.0229491 0.179813 2.72581e-05 262 30. 0.088578 0.073462 19.3705 25.7769 2 2459211.6829514 447120347 -22.3146207964717 46.1644229975475 -0.537696117240878 6.54409055736385 -150.718835026604 79.922739120043 -1.8985076928382 1.049169634054 1.91962121853596 21.9109999275208 0.204999998211861 0.836000025272369 0.143999993801117 2458302.960914 2458697.939595 0
 3 447 12 3 ZTF_g 1462133224715 0 2.0088 101.996 6.79886 26.2271 2.10135e-05 0.0293779 -0.0600324 3.2836e-05 263 30. 0.07928 0.072299 20.3182 26.2271 1 2459216.6332292 447120147 9.38756995874023 33.5186318665774 0.311545658742315 1.63166210779647 112.566280288379 62.2958364176791 1.81913314242702 1.049216395314 1.70693848942263 23.1460000991821 0.326999992132187 0.760999977588654 -0.35699999332428 2458280.946493 2458382.912685 0
 4 447 12 3 ZTF_g 1464125184715 0 2.6697 114.063 6.0459 26.3501 2.37969e-05 0.0310268 -0.04668 3.75977e-05 260 30. 0.082718 0.07407 20.3212 26.3501 1 2459218.6251852 447120147 -15.4444818723205 36.3341298910544 -0.472839097741912 1.1440450997228 9.29326647089222 57.605192526271 0.16241343436174 1.07115232656044 1.70693848942263 23.1460000991821 0.326999992132187 0.760999977588654 -0.35699999332428 2458280.946493 2458382.912685 0
 5 447 12 3 ZTF_r 1464130464715 0 2.0625 201.956 7.47472 26.3066 1.36569e-05 0.0235337 0.117904 2.09079e-05 264 30. 0.079078 0.071307 20.2859 26.3066 1 2459218.630463 447120247 -17.9060729483506 37.1106479422859 -0.536730918287106 20.6413281994743 -21.7760832407119 67.596550097799 -0.324317533698171 1.05255673619756 0.783095540571451 22.0050000190735 0.193000003695488 2.04399991035461 0.243000000715256 2458283.964039 2458447.817986 0
 6 447 12 3 ZTF_r 1466108554715 0 2.268 203.109 7.68944 26.307 1.40941e-05 0.0238886 0.122555 2.16701e-05 263 30. 0.079744 0.072796 20.1606 26.307 1 2459220.6085532 447120247 -40.4927576619566 45.3284361254302 -0.993714025773175 7.07433336390494 -16.3191037199438 78.8266333951005 -0.208419579966952 1.0591938087694 0.783095540571451 22.0050000190735 0.193000003695488 2.04399991035461 0.243000000715256 2458283.964039 2458447.817986 0
 7 447 12 3 ZTF_g 1468137974715 0 1.8373 10.1608 9.49392 23.6786 0.00097457 0.0790144 -0.0488624 0.00267667 60 30. 0.099833 0.085912 17.4589 23.6786 1 2459222.6379745 447120147 22.6210467339791 43.8350953055795 0.574044477104701 0.975421723609011 -18.0235715847823 83.3614616490581 -0.217666065558909 1.04879337156715 1.70693848942263 23.1460000991821 0.326999992132187 0.760999977588654 -0.35699999332428 2458280.946493 2458382.912685 0
 8 447 12 3 ZTF_r 1470143414715 0 2.3985 202.746 8.47386 26.3134 1.60641e-05 0.0253795 0.113106 2.44731e-05 263 30. 0.080614 0.073447 20.0173 26.3134 1 2459224.6434144 447120247 -23.9947065539756 47.4985111065042 -0.561940388963446 6.07396902508265 -83.7470125875405 79.0740452474912 -1.06622916877228 1.06043940923351 0.783095540571451 22.0050000190735 0.193000003695488 2.04399991035461 0.243000000715256 2458283.964039 2458447.817986 0
