# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:06:37
#
# Requested input R.A. = 32.628587499999995 degrees
# Requested input Dec. = 10.8491 degrees
# Requested JD start = 2459209.881226898 days
# Requested JD end = 2459709.881226898 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 503 5 0 ZTF_r 1456152431615 1 2.2436 92.8662 33.4467 25.5292 0.000135525 0.0419369 0.090933 0.00018654 118 30. 0.106247 0.078131 17.7858 25.5292 1 2459210.6524306 503120216 -57.9535367515867 146.115672264157 -0.441202480560577 0.929088107148548 -295.304241742863 252.713643424239 -1.17640317623148 1.067104498937 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 1 503 5 0 ZTF_g 1456211881615 0 2.4686 93.9542 14.747 26.2931 8.55616e-05 0.0426704 -0.0199405 0.000123015 185 30. 0.088332 0.069166 19.3737 26.2931 1 2459210.7118866 503120116 4.63024975323578 76.8667871654672 0.0670070485896574 1.00401689099564 -41.4414467394721 123.757547639503 -0.337115255298379 1.09825347131415 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 2 503 5 0 ZTF_i 1457186721615 0 1.984 248.649 9.93684 25.718 7.4769e-06 0.020767 0.19309 3.00108e-05 251 30. 0.075962 0.063921 19.5419 25.718 2 2459211.6867245 503120316 -127.192116794608 40.4304569394934 -3.49950280958179 0.96505404549631 -86.6547828676821 74.9857244643438 -1.16340021302926 1.04607946933741 0.365803744908156 21.699999961853 0.202999994158745 0.680000007152557 -0.0109999999403954 2458390.783727 2459229.662419 0
 3 503 5 0 ZTF_r 1462108331615 0 1.7842 111.171 8.79097 25.91 2.72444e-05 0.0285489 0.0979712 3.20581e-05 253 30. 0.074864 0.067176 19.8418 25.91 1 2459216.6083333 503120216 -38.9415088641054 36.4250093171926 -1.18923560886079 1.07511075135581 -44.0584248004008 70.0652989080394 -0.6330546150177 1.05258471892066 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 4 503 5 0 ZTF_g 1462148921615 0 1.7502 87.8979 6.31427 26.2277 3.22346e-05 0.0310325 -0.0717491 3.82607e-05 252 30. 0.07829 0.066014 20.5229 26.2277 1 2459216.6489236 503120116 -5.58865190164666 25.4148907948522 -0.244609665017568 1.19593360873349 -0.372917448487687 48.1350508090165 -0.00779949460214755 1.07178131331956 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 5 503 5 0 ZTF_i 1463204981615 33554432 1.9337 134.372 8.9557 25.0334 2.92643e-05 0.0415822 0.189188 0.000114047 252 30. 0.082603 0.063158 18.8452 25.0334 2 2459217.7049884 503120316 27.3433891491263 37.3915678365361 0.813454879950033 1.10616408210455 23.9019773727631 73.1721187886375 0.328854199713339 1.03611551103845 0.365803744908156 21.699999961853 0.202999994158745 0.680000007152557 -0.0109999999403954 2458390.783727 2459229.662419 0
 6 503 5 0 ZTF_r 1464154941615 0 2.5108 150.684 7.40391 26.2551 2.41776e-05 0.0266218 0.0973856 2.83173e-05 253 30. 0.086069 0.065044 20.063 26.2551 1 2459218.6549421 503120216 59.8948624283953 41.8817277578256 1.59081538838353 1.07406284306191 -6.47775294747431 67.6782896362474 -0.0963585371516204 1.0779722816868 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 7 503 5 0 ZTF_g 1464199181615 0 2.6084 90.6839 5.53114 26.2802 4.34978e-05 0.0351826 -0.0658738 5.40947e-05 244 30. 0.102364 0.068356 20.3589 26.2802 1 2459218.6991898 503120116 11.9512213942033 32.9709883358694 0.403213558279771 0.915519569839723 16.6835426438375 51.1972371728523 0.32806276648725 1.12721105781596 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 8 503 5 0 ZTF_r 1466124291615 0 1.9695 155.11 7.11564 26.2713 1.78888e-05 0.0229909 0.0986086 2.12166e-05 254 30. 0.076013 0.058456 20.3283 26.2713 1 2459220.624294 503120216 -27.6246223459261 31.4643887610539 -0.976634026359692 1.21361524785218 -78.2325665771812 58.0385048726281 -1.35702095681183 1.05452617753738 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 9 503 5 0 ZTF_g 1466155411615 0 2.3334 91.2685 5.43064 26.2877 3.83684e-05 0.0331706 -0.0721592 4.64578e-05 248 30. 0.093627 0.063786 20.4678 26.2877 1 2459220.6554167 503120116 20.8155678800558 29.3849341629146 0.787985711772057 0.996904975430645 57.8115956514459 49.4443306926974 1.17710077695397 1.08587392516125 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 10 503 5 0 ZTF_g 1468162591615 0 1.9632 63.4073 6.48089 25.911 6.50408e-05 0.0419238 -0.0870099 7.93884e-05 240 30. 0.07954 0.060721 20.0543 25.911 1 2459222.6625926 503120116 19.5110860992784 31.2625984445546 0.694242463988747 0.979419900109316 32.9224764998954 58.2840393181747 0.5686670255021 1.05891715630764 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 11 503 5 0 ZTF_r 1470124401615 0 2.2976 157.321 6.95821 26.2805 1.5842e-05 0.0212319 0.0941721 1.85889e-05 251 30. 0.077167 0.059139 20.2583 26.2805 1 2459224.6244097 503120216 27.8107485965154 36.1954211028815 0.854700280735974 1.08388440665399 45.8780744581759 63.1544630693216 0.731334947437447 1.05864636164422 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 12 503 5 0 ZTF_g 1470186411615 0 4.3648 91.3007 5.6453 26.2807 6.74697e-05 0.0381774 -0.0487543 9.84039e-05 185 30. 0.114462 0.084637 19.885 26.2807 1 2459224.686412 503120116 3.19907927369843 49.9234656069669 0.0712812123309688 1.01850883559752 -17.869193698072 61.2539247249496 -0.293688017976153 1.21475043544685 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 13 503 5 0 ZTF_r 1472108721615 0 2.6475 151.328 8.26123 26.2401 2.35888e-05 0.0259715 0.105051 2.74369e-05 251 30. 0.079656 0.06645 19.9002 26.2401 1 2459226.6087269 503120216 -7.29663670512855 47.4331189586323 -0.17111805770099 0.889186323615412 -93.8201911057666 74.8477872760364 -1.26192208117608 1.08202748968947 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 14 503 5 0 ZTF_g 1472173681615 0 3.0065 86.6167 6.20663 26.2152 5.28986e-05 0.036511 -0.0560314 7.0643e-05 222 30. 0.107466 0.076421 20.0571 26.2152 1 2459226.6736806 503120116 22.4052500220225 38.3999908378311 0.649043006854226 0.969169346173947 32.2972239031326 56.1364829463499 0.579208847041818 1.13381534738906 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 15 503 5 0 ZTF_r 1474110791615 0 1.9375 101.491 10.4737 25.8028 2.58911e-05 0.0271873 0.102185 3.02076e-05 249 30. 0.073122 0.061995 19.4507 25.8028 1 2459228.6107986 503120216 -5.33573689950706 44.8192394910651 -0.132429495584731 1.10964716755831 -11.6932038564572 84.5497880396225 -0.139231079463868 1.05131291602619 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 16 503 5 0 ZTF_g 1474173581615 0 2.6907 81.8456 6.18366 26.1416 5.8669e-05 0.039708 -0.0403641 7.49339e-05 230 30. 0.09082 0.074344 20.1272 26.1416 1 2459228.673588 503120116 -28.9737080817506 34.983872137279 -0.921278644534573 1.04210252120391 -2.11083382248481 55.5370311796739 -0.0382636659646226 1.11411092738603 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 17 503 5 0 ZTF_r 1476144931615 0 2.2722 156.543 7.12322 26.2866 1.70771e-05 0.021897 0.0941105 1.97555e-05 248 30. 0.080022 0.059169 20.2226 26.2866 1 2459230.6449306 503120216 38.4467988488148 34.0523507858344 1.25593709552792 1.35037790922551 81.0585568002979 60.4525976937968 1.34989221236424 1.05243962707746 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 18 503 5 0 ZTF_g 1476173651615 0 2.3827 91.7959 6.09304 26.303 4.71713e-05 0.0362026 -0.0793193 5.78603e-05 243 30. 0.091113 0.065237 20.3464 26.303 1 2459230.6736574 503120116 5.64542254438493 32.8321510496767 0.191272228211854 1.02084705246888 73.8917075000041 54.4057622786737 1.36730686761334 1.09064161815572 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
 19 503 5 0 ZTF_r 1478162811615 0 1.5541 156.848 7.53494 26.2746 1.81561e-05 0.0230574 0.0983564 2.12485e-05 251 30. 0.071013 0.069231 20.4748 26.2746 1 2459232.6628125 503120216 -16.1123229822556 30.4074626821747 -0.589430734916254 1.97591436608589 10.0413890632313 62.1600878102405 0.162628766342205 1.03517711293939 0.608897338656708 21.8219999313354 0.111000001430511 0.871999979019165 0.142000004649162 2458310.954676 2458353.985718 0
 20 503 5 0 ZTF_g 1478196201615 0 1.739 90.0407 6.74924 26.2748 3.63361e-05 0.0321697 -0.0623378 4.32021e-05 247 30. 0.07387 0.058653 20.4824 26.2748 1 2459232.6962037 503120116 13.0730444821446 29.5455774836643 0.492197107430943 1.01253311719104 -31.4357471899676 56.2798377396874 -0.562323383061706 1.06756523087744 0.305210918285877 21.8399998664856 0.177000001072884 1.61199998855591 0.00600000005215406 2458304.963669 2458352.939062 0
