# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 10:23:17
#
# Requested input R.A. = 26.04125833333333 degrees
# Requested input Dec. = 12.817130555555556 degrees
# Requested JD start = 2459208.8620601967 days
# Requested JD end = 2459708.8620601967 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 503 12 1 ZTF_r 1456152434515 0 2.4158 117.387 22.0732 26.0008 4.8133e-05 0.0452712 0.131076 6.45391e-05 289 30. 0.07515 0.065669 18.6651 26.0008 1 2459210.6524306 503120245 18.6763311653524 99.064460300435 0.209714514519148 1.91184451316211 228.714184415768 167.432166217673 1.37521118437607 1.06820831650068 0.121737282310826 18.8720001220703 0.0719999969005585 4.50500011444092 0.386999994516373 2458310.954676 2458365.888414 0
 1 502 9 0 ZTF_r 1456155263215 0 2.2037 141.692 13.4771 26.2411 2.1979e-05 0.0313768 0.115839 2.91354e-05 322 30. 0.067098 0.061622 19.4948 26.2411 1 2459210.6552662 502120232 -24.9627411937388 63.1729205772868 -0.439557930277861 1.04298618897392 6.23561589353459 112.943239176314 0.0555820177562225 1.0559535593654 0.258619706159187 18.8730000495911 0.0900000035762787 5.83599996566772 0.367000013589859 2458315.967396 2458352.000440 0
 2 502 9 0 ZTF_g 1456194603215 0 2.3257 115.162 14.2492 26.2849 4.65346e-05 0.0401235 -0.0395551 8.01239e-05 241 30. 0.069242 0.066915 19.4588 26.2849 1 2459210.6946065 502120132 7.82007318236955 78.5064281699902 0.110805265791969 0.941331638640518 39.5993340475966 127.878700800322 0.311748849427245 1.11509176468126 0.0751777172641675 19.468000125885 0.0930000022053719 5.0770001411438 0.35699999332428 2458304.962292 2458349.001285 0
 3 503 12 1 ZTF_g 1456211884515 0 2.537 90.084 14.9416 26.3682 5.26516e-05 0.0430677 -0.0505899 9.69985e-05 226 30. 0.076043 0.06506 19.4087 26.3682 1 2459210.7118866 503120145 -27.688697669578 79.1249171277901 -0.389263839718414 1.02118890045763 98.4998393753479 128.614407915015 0.771011919024226 1.08327646931711 0.0496677723247696 19.4389998435974 0.0839999988675117 4.61600017547607 0.524999976158142 2458304.963669 2458352.939062 0
 4 503 12 1 ZTF_i 1457186724515 0 2.153 279.249 9.95283 25.7521 4.6387e-06 0.0227563 0.187959 1.55435e-05 325 30. 0.072359 0.061889 19.3745 25.7521 2 2459211.6867245 503120345 -27.224041915669 46.9564331685769 -0.644929593423413 0.97096915200988 -103.903954045466 82.5976464910947 -1.26642534742614 1.05269082334132 0.206202677826552 18.5590001678467 0.0729999989271164 4.26399993896484 0.514999985694885 2458390.783727 2458765.838495 0
 5 502 9 0 ZTF_i 1457191953215 0 1.9834 215.381 10.1871 25.7175 5.0303e-06 0.0234679 0.181968 1.70813e-05 324 30. 0.075468 0.06916 19.3828 25.7175 2 2459211.691956 502120332 10.166122193925 45.6216949940655 0.2478784146612 1.04612376146716 -74.788187014588 83.9902769686007 -0.896435783694465 1.05151086710798 0.103687743119949 18.458999786377 0.0689999982714653 4.14799976348877 0.324000000953674 2458390.780984 2458757.873032 0
 6 503 12 1 ZTF_r 1462108334515 0 1.7458 108.996 9.15755 25.933 2.01085e-05 0.0305508 0.120556 2.63114e-05 317 30. 0.064532 0.062712 19.8492 25.933 1 2459216.6083333 503120245 -36.6027558445734 36.9382662698259 -1.10228038295542 0.984761333958186 -44.3018553629829 70.6567366406086 -0.631224042154852 1.05190237303303 0.121737282310826 18.8720001220703 0.0719999969005585 4.50500011444092 0.386999994516373 2458310.954676 2458365.888414 0
 7 502 9 0 ZTF_r 1462109283215 0 1.4851 103.403 9.42953 25.8724 2.7486e-05 0.034772 0.115153 3.60921e-05 321 30. 0.067149 0.07402 19.8873 25.8724 2 2459216.6092824 502120232 -1.57061267410525 30.7513903152772 -0.0568144940008375 1.08023453515315 31.7410725224938 61.85089633968 0.516643288347174 1.0488984450408 0.258619706159187 18.8730000495911 0.0900000035762787 5.83599996566772 0.367000013589859 2458315.967396 2458352.000440 0
 8 502 9 0 ZTF_r 1462110233215 0 1.5184 98.2307 9.71848 25.7907 2.35856e-05 0.0324167 0.124499 3.10614e-05 323 30. 0.074371 0.072033 19.7613 25.7907 1 2459216.6102315 502120232 -42.6200113500136 34.0416643284763 -1.39270000494925 1.10529899914802 -65.9205014995137 69.0785911561353 -0.960709805442359 1.04724246997729 0.258619706159187 18.8730000495911 0.0900000035762787 5.83599996566772 0.367000013589859 2458315.967396 2458352.000440 0
 9 503 12 1 ZTF_g 1462148924515 0 1.881 82.7832 6.97734 26.2976 1.97122e-05 0.030449 -0.07151 2.61474e-05 319 30. 0.067729 0.063211 20.4042 26.2976 1 2459216.6489236 503120145 -64.3548293553972 29.0578501274773 -2.46361287283386 0.992602209209766 -62.4178539625618 54.6834476952546 -1.14912728528743 1.05900331294013 0.0496677723247696 19.4389998435974 0.0839999988675117 4.61600017547607 0.524999976158142 2458304.963669 2458352.939062 0
