# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:31:03
#
# Requested input R.A. = 335.38863749999996 degrees
# Requested input Dec. = -8.341366666666667 degrees
# Requested JD start = 2459205.8179629976 days
# Requested JD end = 2459705.8179629976 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 392 11 1 ZTF_r 1457139504115 0 2.9483 195.052 17.688 26.2903 1.41577e-05 0.0407861 0.120792 2.38832e-05 723 30. 0.091521 0.075362 19.0214 26.2903 3 2459211.6395023 392120241 -19.4473758008757 102.612063245536 -0.210822708003382 0.982967194585648 -47.5256814927591 153.706203623643 -0.311280667689582 1.07656470658225 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 1 392 11 1 ZTF_r 1457141374115 0 3.1112 195.945 18.1332 26.2933 1.54794e-05 0.0413531 0.108661 2.60713e-05 697 30. 0.089981 0.078586 18.9567 26.2933 1 2459211.6413773 392120241 -2.78325395511087 107.557722391987 -0.0287849870771345 1.05610093045073 121.544111274327 155.659042816632 0.786094502719853 1.08817464698137 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 2 392 11 1 ZTF_r 1610482894115 0 1.9068 201.287 17.0019 26.3027 5.9717e-06 0.0273955 0.114778 1.00187e-05 766 30. 0.074384 0.068622 19.4428 26.3027 1 2459364.9828935 392120241 8.89678624370687 72.0284062849124 0.137399183440197 0.979749279949675 49.7052278840989 136.810562609481 0.365761199276118 1.04197901999028 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 3 392 11 1 ZTF_r 1614427894115 0 2.0454 191.067 9.92506 26.2403 6.1095e-06 0.0278228 0.121883 1.02737e-05 768 30. 0.087502 0.070449 19.909 26.2403 1 2459368.9278935 392120241 13.8526800630118 40.8516728271428 0.377206145777722 0.964489096790798 42.4769258480951 75.4360557227076 0.56687760220098 1.04264401179242 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 4 392 11 1 ZTF_g 1616426164115 0 2.5094 101.885 6.36119 26.1465 1.0287e-05 0.0355539 -0.043611 1.82289e-05 740 30. 0.086705 0.081128 20.1125 26.1465 1 2459370.926169 392120141 -36.1012733948462 32.2455506642908 -1.24539616543043 1.01528147309233 -28.7568548764877 53.2632907927585 -0.543536336522037 1.06004128750695 0.550250590603675 22.4469999790192 0.165999993681908 0.649999976158142 -0.0850000008940697 2458279.971736 2458379.833218 0
 5 392 11 1 ZTF_r 1619402764115 4194304 2.8774 195.898 7.13452 26.2747 5.4121e-06 0.0258253 0.123156 9.02055e-06 753 30. 0.082349 0.071066 20.0275 26.2747 1 2459373.9027662 392120241 1.53792417486833 38.0917273673021 0.0449116548298893 0.920598153057278 17.4446831166356 58.3841120991189 0.300803993238589 1.07937562716039 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 6 392 11 1 ZTF_g 1619439184115 0 2.5533 112.258 5.77011 26.2666 7.3734e-06 0.0302958 -0.0724513 1.25659e-05 752 30. 0.083149 0.067615 20.3225 26.2666 1 2459373.9391898 392120141 8.71887927049351 26.5687362550563 0.365043456100831 1.01824007777659 52.8290787305046 43.9304109026834 1.21066214775656 1.05802924572225 0.550250590603675 22.4469999790192 0.165999993681908 0.649999976158142 -0.0850000008940697 2458279.971736 2458379.833218 0
 7 392 11 1 ZTF_g 1621434584115 0 2.9598 112.807 6.90131 26.2645 8.8341e-06 0.0320392 -0.0511526 1.64042e-05 713 30. 0.084839 0.074396 20.0069 26.2645 1 2459375.9345833 392120141 33.4096594455964 33.9524528096115 1.09460063462671 1.13436404370543 62.272537268589 50.4863228557575 1.24176099275545 1.08261845906696 0.550250590603675 22.4469999790192 0.165999993681908 0.649999976158142 -0.0850000008940697 2458279.971736 2458379.833218 0
 8 392 11 1 ZTF_r 1623435464115 0 1.8804 211.375 8.1931 26.3498 3.9606e-06 0.0222232 0.117572 6.60863e-06 762 30. 0.067277 0.065201 20.341 26.3498 1 2459377.935463 392120241 -18.5950991694978 32.0220852638911 -0.645957121187299 0.986883705011947 -62.7989863204506 60.7190656447978 -1.04122058590784 1.05103084834204 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 9 392 11 1 ZTF_r 1625398314115 0 2.024 201.058 8.3297 26.3032 4.1775e-06 0.0229398 0.120741 6.97967e-06 770 30. 0.077454 0.068564 20.2141 26.3032 1 2459379.8983102 392120241 -46.3801591409517 35.9629640117485 -1.43460241354601 0.924521810800081 21.4895909115115 66.138411210727 0.327106807476398 1.05052279910749 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
 10 392 11 1 ZTF_g 1625437524115 0 2.2425 112.866 6.27414 26.2617 7.6363e-06 0.030944 -0.0492579 1.30598e-05 761 30. 0.074921 0.064105 20.3527 26.2617 1 2459379.9375231 392120141 -15.2324726023091 30.0608460759702 -0.563668813432997 0.871680329579094 34.595332046452 52.4072944785563 0.664570341681633 1.0651928333073 0.550250590603675 22.4469999790192 0.165999993681908 0.649999976158142 -0.0850000008940697 2458279.971736 2458379.833218 0
 11 392 11 1 ZTF_r 1628457734115 0 1.9152 185.993 6.8434 26.2217 3.4696e-06 0.0208067 0.116565 5.80662e-06 762 30. 0.070225 0.063743 20.379 26.2217 1 2459382.9577315 392120241 -27.720272603223 26.0258762035095 -1.18480516367233 1.09776325433796 -14.3005066840504 49.2969631458525 -0.292042764921455 1.0412848235229 0.290728430547812 21.7499999046326 0.140000000596046 1.0460000038147 -0.194000005722046 2458285.900857 2458423.643461 0
