# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:07:43
#
# Requested input R.A. = 16.576604166666666 degrees
# Requested input Dec. = 13.158222222222223 degrees
# Requested JD start = 2459211.884189803 days
# Requested JD end = 2459711.884189803 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 501 10 1 ZTF_g 1461140533715 0 3.4147 93.1377 10.2291 26.2889 2.95588e-05 0.0378485 -0.0538935 5.54675e-05 298 30. 0.085512 0.079724 19.485 26.2889 1 2459215.6405324 501120137 114.171898655886 70.4313791209666 1.80321633128622 0.96578745221318 181.976450484736 97.0578993724172 1.88755447555888 1.13379264598471 4.45306669509647 20.0779997825623 0.0750000029802322 3.11299991607666 0.363999992609024 2458312.977569 2458349.936238 0
 1 501 10 1 ZTF_g 1461141943715 0 3.4031 93.2054 10.3023 26.282 2.56122e-05 0.034378 -0.0404597 4.71441e-05 298 30. 0.087611 0.082477 19.473 26.282 2 2459215.6419444 501120137 -7.44645886090499 66.0827754487633 -0.125347685921178 1.0029601313747 -40.6537530551729 91.5496167142717 -0.447053301694809 1.13512716660354 4.45306669509647 20.0779997825623 0.0750000029802322 3.11299991607666 0.363999992609024 2458312.977569 2458349.936238 0
 2 501 10 1 ZTF_r 1461248393715 0 3.4539 105.616 15.9831 26.0641 3.57703e-05 0.0433266 0.107587 5.34325e-05 341 30. 0.10502 0.102016 18.7681 26.0641 1 2459215.7483912 501120237 -111.805311615615 103.792622893586 -1.19825914049623 0.964079627675701 -86.7228773865609 141.595966029565 -0.61659214879838 1.10674579707952 2.70260543161346 20.3320001602173 0.122000001370907 2.25500011444092 0.389999985694885 2458281.965174 2458372.878403 0
 3 501 10 1 ZTF_r 1461248863715 0 3.2146 104 16.0439 26.0455 4.92752e-05 0.0515569 0.115671 7.02604e-05 360 30. 0.091812 0.095316 18.8061 26.0455 2 2459215.7488657 501120237 27.9399673354828 106.530432280371 0.291747407691674 0.876290365200174 192.855765471123 150.911716155714 1.28654464406976 1.09515989413445 2.70260543161346 20.3320001602173 0.122000001370907 2.25500011444092 0.389999985694885 2458281.965174 2458372.878403 0
 4 501 10 1 ZTF_r 1462111643715 0 1.6487 69.8636 10.5097 25.5938 1.39122e-05 0.0294254 0.11564 1.92708e-05 411 30. 0.069415 0.068169 19.3505 25.5938 2 2459216.6116435 501120237 -24.4270273086826 45.8785210383455 -0.592264919543884 0.987106954637581 37.1218964551111 92.9792023530428 0.401938429431129 1.03912675682567 2.70260543161346 20.3320001602173 0.122000001370907 2.25500011444092 0.389999985694885 2458281.965174 2458372.878403 0
 5 501 10 1 ZTF_g 1462132743715 0 1.8179 85.4062 6.31619 26.1912 1.35291e-05 0.0289364 -0.0720383 1.90538e-05 407 30. 0.064034 0.070726 20.4356 26.1912 2 2459216.6327431 501120137 -23.218958081616 28.4808129345877 -0.906870233753994 0.880373438327758 -110.545730116137 52.5234128145669 -2.1188695860571 1.07599484721797 4.45306669509647 20.0779997825623 0.0750000029802322 3.11299991607666 0.363999992609024 2458312.977569 2458349.936238 0
 6 501 10 1 ZTF_r 1463122593715 0 1.9153 24.5558 12.6953 24.4515 5.59788e-05 0.0450877 0.106305 8.79449e-05 247 30. 0.079612 0.071691 17.8687 24.4515 1 2459217.6225926 501120237 32.9438678382377 56.06140164641 0.653680359469566 0.986797639117721 85.8557942347124 105.281920948754 0.820977022167556 1.04859697185244 2.70260543161346 20.3320001602173 0.122000001370907 2.25500011444092 0.389999985694885 2458281.965174 2458372.878403 0
 7 501 10 1 ZTF_r 1463123533715 32 2.284 14.6275 13.427 23.9974 0.000131525 0.0555175 0.0743455 0.000225702 166 30. 0.085066 0.076123 17.2278 23.9974 2 2459217.6235301 501120237 92.7976063391293 61.8869351621982 1.66798676187794 1.01515350118713 144.294365967076 111.693268002873 1.30058148911975 1.04376164858167 2.70260543161346 20.3320001602173 0.122000001370907 2.25500011444092 0.389999985694885 2458281.965174 2458372.878403 0
 8 501 10 1 ZTF_g 1463185083715 0 1.8996 31.0484 7.81426 25.0627 3.7823e-05 0.0412734 -0.0582551 7.14347e-05 282 30. 0.070006 0.066862 19.0233 25.0627 2 2459217.685081 501120137 -13.9477346749692 35.0970062720471 -0.442067314270278 1.04766695912274 -104.166867260071 64.0916667070958 -1.63622577617705 1.07642979550011 4.45306669509647 20.0779997825623 0.0750000029802322 3.11299991607666 0.363999992609024 2458312.977569 2458349.936238 0
