# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 09:19:49
#
# Requested input R.A. = 338.3698083333333 degrees
# Requested input Dec. = -14.606744444444445 degrees
# Requested JD start = 2459213.793344896 days
# Requested JD end = 2459713.793344896 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 342 16 3 ZTF_g 1621435046315 0 2.8441 117.808 6.19774 26.1184 1.48078e-05 0.0351824 -0.0370713 2.758e-05 537 30. 0.088466 0.089539 20.0192 26.1184 1 2459375.9350463 342120163 -61.1682371244742 33.3084689818318 -2.04280115380167 0.954465874585117 -64.5084724636078 50.421330184589 -1.28800530448895 1.08595959529011 2.06096154865581 22.2390000343323 0.178000003099442 0.871999979019165 0.017000000923872 2458277.959097 2458379.833681 0
 1 342 16 3 ZTF_r 1623434986315 0 1.6606 219.033 7.26563 26.1231 5.8295e-06 0.0230174 0.100312 9.71395e-06 579 30. 0.077374 0.068938 20.2963 26.1231 1 2459377.9349884 342120263 -33.2694035481303 26.170036796544 -1.41415001590332 1.19599138574009 -83.47673196232 51.234450254255 -1.64028211755689 1.04331750730193 1.96823456717209 21.3400000572205 0.0790000036358833 0.750999987125397 -0.0109999999403954 2458280.980139 2458443.640405 0
 2 342 16 3 ZTF_g 1623457846315 0 2.2632 126.443 6.1078 26.192 9.4372e-06 0.0291136 -0.051847 1.61774e-05 566 30. 0.08049 0.075459 20.3332 26.192 1 2459377.9578472 342120163 -2.8669790280788 27.6263287319334 -0.115439953172845 1.0617038316275 -19.2548857917414 47.6455590815503 -0.406849430021342 1.05797677318036 2.06096154865581 22.2390000343323 0.178000003099442 0.871999979019165 0.017000000923872 2458277.959097 2458379.833681 0
 3 342 16 3 ZTF_r 1626457496315 33554432 1.9007 49.2238 9.42132 24.5082 3.73566e-05 0.0471976 0.0893281 6.65893e-05 400 30. 0.095669 0.088734 18.2669 24.5082 1 2459380.9575 342120263 7.59434127414536 38.2296289210552 0.220975857629943 1.07812393650629 39.985763472329 71.8312368752921 0.560411760134107 1.04719667157699 1.96823456717209 21.3400000572205 0.0790000036358833 0.750999987125397 -0.0109999999403954 2458280.980139 2458443.640405 0
 4 342 16 3 ZTF_g 1630482906315 0 2.4591 97.1144 13.7181 25.922 3.02202e-05 0.0414328 -0.0328243 6.91383e-05 388 30. 0.09025 0.089986 19.0709 25.922 1 2459384.9829051 342120163 98.5792750735396 65.7098337962003 1.66882213882211 1.03732468134975 106.527596423566 110.416960417547 0.971273484698202 1.04314527723532 2.06096154865581 22.2390000343323 0.178000003099442 0.871999979019165 0.017000000923872 2458277.959097 2458379.833681 0
 5 342 16 3 ZTF_r 1636378846315 0 1.9044 211.987 18.1011 26.0846 1.20217e-05 0.0328637 0.109422 2.01154e-05 573 30. 0.079942 0.071966 19.1503 26.0846 1 2459390.8788426 342120263 -15.4014294423516 75.4495636447203 -0.227069654556127 1.03445396439012 141.480437354809 141.521291244588 1.00644443664871 1.04217955499845 1.96823456717209 21.3400000572205 0.0790000036358833 0.750999987125397 -0.0109999999403954 2458280.980139 2458443.640405 0
 6 342 16 3 ZTF_g 1636439646315 0 2.2602 126.393 18.7912 26.191 3.28164e-05 0.0429339 -0.0334459 7.45353e-05 374 30. 0.087061 0.088203 19.0787 26.191 1 2459390.9396412 342120163 -9.15157572493939 83.0295840202528 -0.122607720061948 1.09141869676659 62.7161187712597 144.271148119582 0.437637852491593 1.05127034778342 2.06096154865581 22.2390000343323 0.178000003099442 0.871999979019165 0.017000000923872 2458277.959097 2458379.833681 0
 7 342 16 3 ZTF_r 1638423136315 33554432 4.305 212.974 17.4092 26.1207 7.88816e-05 0.0645156 0.0882656 0.000143429 349 30. 0.133479 0.143429 18.5637 26.1207 1 2459392.9231366 342120263 137.970342789207 129.508869693012 1.18506188823685 0.976986153571499 129.652214263054 159.449025361591 0.818602867528634 1.21240281830507 1.96823456717209 21.3400000572205 0.0790000036358833 0.750999987125397 -0.0109999999403954 2458280.980139 2458443.640405 0
 8 342 16 3 ZTF_r 1642398076315 0 1.8369 199.572 10.7112 26.0214 8.3814e-06 0.0273797 0.104264 1.39017e-05 569 30. 0.079163 0.078661 19.7092 26.0214 1 2459396.8980787 342120263 -37.0289264561375 43.5563796864845 -0.945679875816106 1.00855124783784 -43.7986835840385 82.7296182481113 -0.532985298030635 1.04538024840652 1.96823456717209 21.3400000572205 0.0790000036358833 0.750999987125397 -0.0109999999403954 2458280.980139 2458443.640405 0
