# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 10:26:17
#
# Requested input R.A. = 10.35585 degrees
# Requested input Dec. = -4.437633333333333 degrees
# Requested JD start = 2459215.858518495 days
# Requested JD end = 2459715.858518495 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 397 6 3 ZTF_g 1462132262315 0 2.2856 94.5428 7.1678 26.2136 3.13434e-05 0.0364927 -0.0918511 4.31002e-05 288 30. 0.11518 0.087277 20.139 26.2136 1 2459216.6322685 397120123 12.5287622809004 36.3469117207436 0.383438267757255 0.995630494470719 6.39615432477472 64.1334009338076 0.100403731883799 1.05572763618984 1.05717750043647 22.8679999828339 0.349999994039536 1.03999996185303 -0.574000000953674 2458312.978947 2458349.916956 0
 1 397 6 3 ZTF_r 1462219282315 0 2.1246 185.865 16.4599 26.1807 2.65147e-05 0.0344848 0.107583 3.49355e-05 305 30. 0.101474 0.077062 19.2065 26.1807 1 2459216.7192824 397120223 16.9076180342696 73.7203176105803 0.255123245721306 0.941577668769588 -11.0648554239582 138.163451185094 -0.0806246352874528 1.03354018048303 null null null null null 2458289.964792 2458366.872396 57
 2 397 6 3 ZTF_r 1464128112315 0 2.1173 215.871 7.84547 26.3364 1.78881e-05 0.0277411 0.116376 2.31737e-05 300 30. 0.100501 0.071391 20.1914 26.3364 1 2459218.6281134 397120223 -46.3166068765209 39.4130439091534 -1.30722865646127 0.940584830462955 -16.2799736998496 72.0869136544918 -0.227359161718857 1.04337626955068 null null null null null 2458289.964792 2458366.872396 57
 3 397 6 3 ZTF_r 1466107612315 0 2.1345 214.54 8.1144 26.318 1.95739e-05 0.0290747 0.130791 2.54491e-05 304 30. 0.102504 0.07623 20.1625 26.318 1 2459220.6076157 397120223 24.2004188692828 39.3414389990846 0.684269910176353 0.931028329923004 79.8480729511493 70.5555058238989 1.13932787211765 1.05109279319417 null null null null null 2458289.964792 2458366.872396 57
 4 397 6 3 ZTF_g 1466129072315 0 2.3948 104.046 6.4159 26.326 4.31843e-05 0.0427449 -0.118094 5.83852e-05 289 30. 0.120797 0.078564 20.2975 26.326 1 2459220.6290741 397120123 6.61135693252687 32.2626404178061 0.227953097407503 1.01053393182917 44.4819788520266 55.1737898162572 0.811645668858268 1.06088999583706 1.05717750043647 22.8679999828339 0.349999994039536 1.03999996185303 -0.574000000953674 2458312.978947 2458349.916956 0
 5 397 6 3 ZTF_r 1469110812315 0 2.1716 215.112 8.22939 26.3222 1.92884e-05 0.0291149 0.128726 2.50405e-05 307 30. 0.099613 0.08014 20.1209 26.3222 1 2459223.6108102 397120223 61.9214663151825 38.3081568417572 1.79806246962931 1.02180346696568 169.788835501851 68.349626221655 2.50085307743183 1.04382500858901 null null null null null 2458289.964792 2458366.872396 57
 6 397 6 3 ZTF_g 1469152042315 0 2.5806 100.322 6.89382 26.2626 3.69833e-05 0.0401667 -0.0644252 5.20067e-05 284 30. 0.115679 0.081779 20.1251 26.2626 1 2459223.6520486 397120123 4.20719793449354 36.3935932825848 0.128594622648595 0.962541123838939 -11.8618844957775 59.6124164292991 -0.200323618561781 1.06934594822257 1.05717750043647 22.8679999828339 0.349999994039536 1.03999996185303 -0.574000000953674 2458312.978947 2458349.916956 0
 7 397 6 3 ZTF_g 1473109502315 0 2.3643 95.245 7.3579 26.2182 4.13444e-05 0.0416864 -0.0920378 5.81028e-05 279 30. 0.108991 0.078599 20.0654 26.2182 1 2459227.6095023 397120123 -19.7240571332944 39.6022001183002 -0.554028031696298 0.969708466933474 -35.5649072274026 67.4079097464973 -0.531160794904538 1.06254728877871 1.05717750043647 22.8679999828339 0.349999994039536 1.03999996185303 -0.574000000953674 2458312.978947 2458349.916956 0
 8 397 6 3 ZTF_r 1473145782315 0 2.2793 167.272 11.3694 26.0703 2.52957e-05 0.0335472 0.114334 3.35344e-05 305 30. 0.099057 0.075614 19.4839 26.0703 1 2459227.645787 397120223 71.8986908739043 60.8677544237681 1.31397924146476 0.899773000398525 114.380190120128 105.449169521448 1.0920005136505 1.05065451919906 null null null null null 2458289.964792 2458366.872396 57
